,MaxTemperature,MinTemperature,Precipitation,Snowfall,SnowDepth
1/1/1991,45,30, T,0,0
1/2/1991,44,37,1.3,0,0
1/3/1991,45,41,0.62,0,0
1/4/1991,48,35,0,0,0
1/5/1991,55,34, T,0,0
1/6/1991,67,49,0.01,0,0
1/7/1991,65,42,1.02,0,0
1/8/1991,44,39, T,0,0
1/9/1991,48,42,0.31,0,0
1/10/1991,58,47,2.13,0,0
1/11/1991,58,45,0.1,0,0
1/12/1991,47,38,0,0,0
1/13/1991,54,26,0,0,0
1/14/1991,59,29,0,0,0
1/15/1991,62,47,0.69,0,0
1/16/1991,61,40,0,0,0
1/17/1991,63,33,0,0,0
1/18/1991,51,44,1.07,0,0
1/19/1991,51,45,0.07,0,0
1/20/1991,65,33,0,0,0
1/21/1991,54,37, T,0,0
1/22/1991,47,28,0,0,0
1/23/1991,52,37,0.17,0,0
1/24/1991,49,42,0.93,0,0
1/25/1991,54,30,0,0,0
1/26/1991,60,32,0,0,0
1/27/1991,55,37,0.08,0,0
1/28/1991,63,52,0.01,0,0
1/29/1991,63,50, T,0,0
1/30/1991,61,46,0.36,0,0
1/31/1991,53,32,0,0,0
2/1/1991,60,29,0,0,0
2/2/1991,65,28,0,0,0
2/3/1991,70,35,0,0,0
2/4/1991,67,48,0.01,0,0
2/5/1991,64,59,1.27,0,0
2/6/1991,64,57, T,0,0
2/7/1991,65,44,0,0,0
2/8/1991,67,36,0,0,0
2/9/1991,65,34,0,0,0
2/10/1991,71,37,0,0,0
2/11/1991,66,42,0,0,0
2/12/1991,66,43, T,0,0
2/13/1991,70,55,0.05,0,0
2/14/1991,68,40,0,0,0
2/15/1991,62,38,0,0,0
2/16/1991,50,25, T,0,0
2/17/1991,69,39,0.25,0,0
2/18/1991,68,64,0.69,0,0
2/19/1991,68,59,0.8,0,0
2/20/1991,61,46,0.04,0,0
2/21/1991,55,46,0.73,0,0
2/22/1991,59,48,0.17,0,0
2/23/1991,61,37,0,0,0
2/24/1991,63,36,0,0,0
2/25/1991,57,41,0.19,0,0
2/26/1991,55,31,0,0,0
2/27/1991,63,33,0,0,0
2/28/1991,67,39,0,0,0
3/1/1991,74,59,2.24,0,0
3/2/1991,72,59,0.16,0,0
3/3/1991,60,46,0.04,0,0
3/4/1991,65,35,0,0,0
3/5/1991,76,44,0,0,0
3/6/1991,80,62,0,0,0
3/7/1991,73,54,0,0,0
3/8/1991,63,45,0,0,0
3/9/1991,67,36,0,0,0
3/10/1991,65,32,0,0,0
3/11/1991,68,34,0,0,0
3/12/1991,65,57,0.01,0,0
3/13/1991,71,45,0,0,0
3/14/1991,65,39,0,0,0
3/15/1991,56,41,0,0,0
3/16/1991,56,48,0.41,0,0
3/17/1991,66,54,0.33,0,0
3/18/1991,65,48,0,0,0
3/19/1991,73,41,0,0,0
3/20/1991,73,49,0,0,0
3/21/1991,77,60, T,0,0
3/22/1991,75,69, T,0,0
3/23/1991,77,53,0,0,0
3/24/1991,80,46,0,0,0
3/25/1991,80,47,0,0,0
3/26/1991,82,65,0,0,0
3/27/1991,83,69,0,0,0
3/28/1991,74,63,0.01,0,0
3/29/1991,72,55,2.99,0,0
3/30/1991,57,37,0,0,0
3/31/1991,67,35,0,0,0
4/1/1991,73,38,0,0,0
4/2/1991,74,42,0,0,0
4/3/1991,76,58, T,0,0
4/4/1991,79,60, T,0,0
4/5/1991,76,62,0,0,0
4/6/1991,79,64,0,0,0
4/7/1991,78,66,1.39,0,0
4/8/1991,83,65,0.18,0,0
4/9/1991,84,69,0,0,0
4/10/1991,80,63,0,0,0
4/11/1991,70,62,1.42,0,0
4/12/1991,82,64, T,0,0
4/13/1991,85,69, T,0,0
4/14/1991,76,63,1.82,0,0
4/15/1991,78,63, T,0,0
4/16/1991,80,60,0,0,0
4/17/1991,83,60,0.01,0,0
4/18/1991,85,64,1.58,0,0
4/19/1991,88,70, T,0,0
4/20/1991,81,64,0,0,0
4/21/1991,77,52,0,0,0
4/22/1991,72,60, T,0,0
4/23/1991,74,60, T,0,0
4/24/1991,80,53,0,0,0
4/25/1991,87,65,0.01,0,0
4/26/1991,82,71, T,0,0
4/27/1991,85,66,1.87,0,0
4/28/1991,80,74,0.2,0,0
4/29/1991,76,65,2.45,0,0
4/30/1991,82,56,0,0,0
5/1/1991,84,65,0,0,0
5/2/1991,83,68,0,0,0
5/3/1991,81,71,0.1,0,0
5/4/1991,86,65,1.75,0,0
5/5/1991,83,71,0.25,0,0
5/6/1991,76,55, T,0,0
5/7/1991,73,54,0.04,0,0
5/8/1991,72,62,0.58,0,0
5/9/1991,77,66,0.68,0,0
5/10/1991,79,64,0.07,0,0
5/11/1991,88,71, T,0,0
5/12/1991,88,73,0,0,0
5/13/1991,88,72,0,0,0
5/14/1991,87,68,0,0,0
5/15/1991,78,66,0.66,0,0
5/16/1991,87,64,0.11,0,0
5/17/1991,84,67,0.07,0,0
5/18/1991,78,69,0.03,0,0
5/19/1991,83,68,0,0,0
5/20/1991,84,68,0.1,0,0
5/21/1991,72,70,0.26,0,0
5/22/1991,83,70,0.05,0,0
5/23/1991,79,73,0.02,0,0
5/24/1991,86,72,0.95,0,0
5/25/1991,82,70,0.73,0,0
5/26/1991,86,69,0,0,0
5/27/1991,89,69,0,0,0
5/28/1991,88,70,0,0,0
5/29/1991,86,71,0.36,0,0
5/30/1991,86,72,0.03,0,0
5/31/1991,86,72,0.03,0,0
6/1/1991,89,70,0,0,0
6/2/1991,90,70,0,0,0
6/3/1991,91,73,0,0,0
6/4/1991,92,71,0,0,0
6/5/1991,94,73,0,0,0
6/6/1991,90,70,0.01,0,0
6/7/1991,84,69,0.3,0,0
6/8/1991,85,62,0,0,0
6/9/1991,88,66,0,0,0
6/10/1991,82,73,0.14,0,0
6/11/1991,86,72,2.25,0,0
6/12/1991,87,74,0.35,0,0
6/13/1991,89,73,0,0,0
6/14/1991,90,74,0,0,0
6/15/1991,88,74, T,0,0
6/16/1991,91,72,0,0,0
6/17/1991,93,72,0.19,0,0
6/18/1991,92,70,0.34,0,0
6/19/1991,90,70,0,0,0
6/20/1991,91,70,0,0,0
6/21/1991,90,70,0.08,0,0
6/22/1991,89,72,0.82,0,0
6/23/1991,89,69,0.07,0,0
6/24/1991,91,70,0.85,0,0
6/25/1991,91,69,0,0,0
6/26/1991,92,72,0,0,0
6/27/1991,89,71, T,0,0
6/28/1991,89,70, T,0,0
6/29/1991,90,68,0,0,0
6/30/1991,94,71,0,0,0
7/1/1991,95,75,0.19,0,0
7/2/1991,96,74,0.08,0,0
7/3/1991,94,73, T,0,0
7/4/1991,91,73,0.89,0,0
7/5/1991,88,72,0.1,0,0
7/6/1991,82,72,0,0,0
7/7/1991,89,72, T,0,0
7/8/1991,90,72,0.07,0,0
7/9/1991,91,71,0,0,0
7/10/1991,92,72,0,0,0
7/11/1991,93,73,0,0,0
7/12/1991,94,74,0,0,0
7/13/1991,95,75,0,0,0
7/14/1991,95,74,0,0,0
7/15/1991,93,74,0.02,0,0
7/16/1991,92,71,0,0,0
7/17/1991,94,70,0,0,0
7/18/1991,93,69,0,0,0
7/19/1991,92,69,0.14,0,0
7/20/1991,93,72,0,0,0
7/21/1991,92,69,0.03,0,0
7/22/1991,92,70,0,0,0
7/23/1991,94,72,0,0,0
7/24/1991,92,73,0,0,0
7/25/1991,92,74,0,0,0
7/26/1991,88,72,0.18,0,0
7/27/1991,93,70,0.05,0,0
7/28/1991,93,71,0,0,0
7/29/1991,91,72,0,0,0
7/30/1991,92,74,0.51,0,0
7/31/1991,91,72,0,0,0
8/1/1991,92,65,0,0,0
8/2/1991,94,70,0,0,0
8/3/1991,94,71,0,0,0
8/4/1991,96,73,0,0,0
8/5/1991,95,73,0,0,0
8/6/1991,93,70,0,0,0
8/7/1991,91,78,0.14,0,0
8/8/1991,92,71,0.01,0,0
8/9/1991,93,72, T,0,0
8/10/1991,91,72,0.39,0,0
8/11/1991,91,71,0.32,0,0
8/12/1991,88,71,1.2,0,0
8/13/1991,83,72,0.02,0,0
8/14/1991,80,69,0.53,0,0
8/15/1991,83,70,0.98,0,0
8/16/1991,88,67,0,0,0
8/17/1991,91,69,0,0,0
8/18/1991,91,73,0.34,0,0
8/19/1991,91,71,0,0,0
8/20/1991,93,69,0,0,0
8/21/1991,93,69,0.35,0,0
