Date,MaxTemperature,MinTemperature,Precipitation,Snowfall,SnowDepth
1/1/1991,46,37, T,0,0
1/2/1991,46,40, T,0,0
1/3/1991,50,37,0.01,0,0
1/4/1991,54,44, T,0,0
1/5/1991,48,44, T,0,0
1/6/1991,52,46,0.02,0,0
1/7/1991,59,43,0.38,0,0
1/8/1991,43,37,0.1,0,0
1/9/1991,48,37, T,0,0
1/10/1991,47,42,0.34,0,0
1/11/1991,45,42,1.13,0,0
1/12/1991,49,37,0.25,0,0
1/13/1991,48,30,0,0,0
1/14/1991,54,23,0,0,0
1/15/1991,52,31,0.42,0,0
1/16/1991,64,43, T,0,0
1/17/1991,55,39,0,0,0
1/18/1991,61,34,0,0,0
1/19/1991,46,42,0.96,0,0
1/20/1991,56,42, T,0,0
1/21/1991,47,28,0,0,0
1/22/1991,41,21,0,0,0
1/23/1991,46,20,0,0,0
1/24/1991,39,33,0.67,1.9,0
1/25/1991,50,29,0,0,0
1/26/1991,52,24,0,0,0
1/27/1991,56,26, T,0,0
1/28/1991,62,45,0,0,0
1/29/1991,56,46,0.49,0,0
1/30/1991,60,54,1.55,0,0
1/31/1991,58,36,0,0,0
2/1/1991,53,30,0,0,0
2/2/1991,63,33,0,0,0
2/3/1991,68,33,0,0,0
2/4/1991,72,36,0,0,0
2/5/1991,69,44,0.02,0,0
2/6/1991,59,55,0.33,0,0
2/7/1991,62,46,0,0,0
2/8/1991,61,44,0,0,0
2/9/1991,72,33,0,0,0
2/10/1991,70,44,0,0,0
2/11/1991,60,41,0,0,0
2/12/1991,64,36,0,0,0
2/13/1991,58,43,0.46,0,0
2/14/1991,59,39,0.25,0,0
2/15/1991,39,17, T, T, T
2/16/1991,40,12,0,0,0
2/17/1991,44,28,0.06,0,0
2/18/1991,54,38,0.01,0,0
2/19/1991,74,46, T,0,0
2/20/1991,66,57,0.3,0,0
2/21/1991,73,50, T,0,0
2/22/1991,60,52,1.75,0,0
2/23/1991,53,42,0.1,0,0
2/24/1991,57,40,0,0,0
2/25/1991,61,44,0.04,0,0
2/26/1991,50,34,0,0,0
2/27/1991,57,28,0,0,0
2/28/1991,63,34,0,0,0
3/1/1991,67,46,1.4,0,0
3/2/1991,68,52,0.2,0,0
3/3/1991,61,42,0.49,0,0
3/4/1991,51,37, T,0,0
3/5/1991,67,35,0,0,0
3/6/1991,72,52, T,0,0
3/7/1991,68,53, T,0,0
3/8/1991,53,39,0.11,0,0
3/9/1991,59,37,0,0,0
3/10/1991,56,34,0,0,0
3/11/1991,65,34,0,0,0
3/12/1991,68,42,0.05,0,0
3/13/1991,56,45,0.65,0,0
3/14/1991,54,40,0,0,0
3/15/1991,62,35,0,0,0
3/16/1991,60,43,0,0,0
3/17/1991,47,44,0.13,0,0
3/18/1991,69,47,0.07,0,0
3/19/1991,69,41,0,0,0
3/20/1991,73,40,0,0,0
3/21/1991,75,49,0,0,0
3/22/1991,82,58,0,0,0
3/23/1991,76,58,0.01,0,0
3/24/1991,80,52,0,0,0
3/25/1991,82,48,0,0,0
3/26/1991,83,51,0,0,0
3/27/1991,75,56,0,0,0
3/28/1991,70,55,1,0,0
3/29/1991,66,55,1.96,0,0
3/30/1991,63,40,0,0,0
3/31/1991,62,41,0,0,0
4/1/1991,71,40,0,0,0
4/2/1991,77,46,0,0,0
4/3/1991,72,52,0,0,0
4/4/1991,66,51,0.16,0,0
4/5/1991,68,54,0.14,0,0
4/6/1991,78,56,0,0,0
4/7/1991,81,54,0,0,0
4/8/1991,79,61,0.09,0,0
4/9/1991,79,61,0.35,0,0
4/10/1991,77,56,0.01,0,0
4/11/1991,75,47,0,0,0
4/12/1991,64,57,0.03,0,0
4/13/1991,59,54,0.14,0,0
4/14/1991,72,55,0.01,0,0
4/15/1991,80,64,0.29,0,0
4/16/1991,82,58,0,0,0
4/17/1991,84,56,0,0,0
4/18/1991,81,61, T,0,0
4/19/1991,78,54,0.56,0,0
4/20/1991,69,52, T,0,0
