Date,MaxTemperature,MinTemperature,Precipitation,Snowfall,SnowDepth
1/1/1990,46,33,0.52, M, M
1/2/1990,42,27,0, M, M
1/3/1990,47,30,0, M, M
1/4/1990,47,33,0.01, M, M
1/5/1990,49,36,0, M, M
1/6/1990,44,33,0.12, M, M
1/7/1990,40,28,0, M, M
1/8/1990,38,35,0.49, M, M
1/9/1990,43,32,0, M, M
1/10/1990,51,39,0, M, M
1/11/1990,42,33,0, M, M
1/12/1990,43,32,0, M, M
1/13/1990,37,28,0, M, M
1/14/1990,41,24,0, M, M
1/15/1990,44,39,0, M, M
1/16/1990,55,37,0, M, M
1/17/1990,51,43,0, M, M
1/18/1990,59,47,0, M, M
1/19/1990,53,36,0, M, M
1/20/1990,40,36,0.12, M, M
1/21/1990,50,37,0.11, M, M
1/22/1990,46,32,0, M, M
1/23/1990,47,35,0, M, M
1/24/1990,52,43,0, M, M
1/25/1990,54,43,0.74, M, M
1/26/1990,52,35,0.32, M, M
1/27/1990,43,30,0, M, M
1/28/1990,50,41,0, M, M
1/29/1990,52,40,0.11, M, M
1/30/1990,52,42,0.21, M, M
1/31/1990,49,36,0, M, M
2/1/1990,49,38,0, M, M
2/2/1990,52,43,0, M, M
2/3/1990,44,39,0.13, M, M
2/4/1990,44,37,0.32, M, M
2/5/1990,44,25,0, M, M
2/6/1990,59,37,0, M, M
2/7/1990,59,42,0, M, M
2/8/1990,53,38,0, M, M
2/9/1990,53,44,0, M, M
2/10/1990,53,38,0.35, M, M
2/11/1990,48,32,0, M, M
2/12/1990,43,34,0.1, M, M
2/13/1990,48,33,0, M, M
2/14/1990,71,42,0, M, M
2/15/1990,51,42,0, M, M
2/16/1990,60,49,0.02, M, M
2/17/1990,58,30,0, M, M
2/18/1990,42,23,0, M, M
2/19/1990,57,42,0, M, M
2/20/1990,43,30,0, M, M
2/21/1990,42,28,0, M, M
2/22/1990,53,42,0.06, M, M
2/23/1990,54,49,0.05, M, M
2/24/1990,51,35,0.11, M, M
2/25/1990,37,17,0, M, M
2/26/1990,30,10,0, M, M
2/27/1990,38,21,0, M, M
2/28/1990,45,31,0, M, M
3/1/1990,41,24,0, M, M
3/2/1990,46,38,0.02, M, M
