Date,MaxTemperature,MinTemperature,Precipitation,Snowfall,SnowDepth
1/1/1990,32,25,0,0, M
1/2/1990,39,16,0,0, M
1/3/1990,44,17,0,0, M
1/4/1990,47,30,0.2,0, M
1/5/1990,40,19,0,0, M
1/6/1990,38,15,0,0, M
1/7/1990,41,15,0,0, M
1/8/1990,40,19,0,0, M
1/9/1990,46,25,0.01,0, M
1/10/1990,39,30,0.07,0, M
1/11/1990,42,29, M, M, M
1/12/1990,31,16,0,0, M
1/13/1990,28,15,0,0, M
1/14/1990,33,24, M, M, M
1/15/1990,38,26,0.12, M, M
1/16/1990,52,30,0,0, M
1/17/1990,57,37,0.03,0, M
1/18/1990,55,25,0.01, M, M
1/19/1990,30,20,0,0, M
1/20/1990,34,27,0.56, M, M
1/21/1990,41,33,0.2, M, M
1/22/1990,39,27,0,0, M
1/23/1990,40,25,0.12,0, M
1/24/1990,55,30,0,0, M
1/25/1990,53,32,0.38, M, M
1/26/1990,33,20,0,0, M
1/27/1990,44,20,0,0, M
1/28/1990,39,29,0.5, M, M
1/29/1990,45,14,0,0, M
1/30/1990,38,14,0.03, M, M
1/31/1990,35, M,1.5,0, M
2/1/1990,42,20,0.18,0,0
2/2/1990,38,20,0.41,0,0
2/3/1990,36,21,0.42,0,0
2/4/1990,34,17,0.18,0,0
2/5/1990,32,20,0,0,0
2/6/1990,46,24,0,0,0
2/7/1990,45,26,0,0,0
2/8/1990,51,27,0,0,0
2/9/1990,54,34,0.39,0,0
2/10/1990,42,19,0,0,0
2/11/1990,40,19,0,0,0
2/12/1990,35,20,0,0,0
2/13/1990,54,33,0.01,0,0
2/14/1990,36,26,0.07,0,0
2/15/1990,40,30,1.19,0,0
2/16/1990,60,32,0.1,0,0
2/17/1990,32,9,0.01,0,0
2/18/1990,40,9,0,0,0
2/19/1990,48,18,0,0,0
2/20/1990,25,9,0,0,0
2/21/1990,51,10,0,0,0
2/22/1990,58,40,0.11,0,0
2/23/1990,59,20,0,0,0
2/24/1990,32,14,1, M, M
2/25/1990,14,-2,0,0, M
2/26/1990,20,-2,0,0, M
2/27/1990,33,20,0,0, M
2/28/1990,26,13,0,0, M
3/1/1990,41,15,0,0,0
3/2/1990,55,27,0,0,0
3/3/1990,39,13,0,0,0
3/4/1990,27,14,0,0,0
3/5/1990,34,16,0.01, M, M
3/6/1990,27,0, T, M, M
3/7/1990,34,0,0,0, M
3/8/1990,47,10,0,0,0
3/9/1990,41,20,0.06,0,0
3/10/1990,58,35,0.06,0,0
3/11/1990,58,35,0.1,0,0
3/12/1990,76,35,0,0,0
3/13/1990,79,41,0,0,0
3/14/1990,81,43,0,0,0
3/15/1990,81,44,0,0,0
3/16/1990,81,44,0.04,0,0
3/17/1990,68,39,0.35,0,0
3/18/1990,46,27,0,0,0
3/19/1990,46,27,0.52, M, M
3/20/1990,33,28, M,0, M
3/21/1990,46,28,0,0,0
3/22/1990,63,33, T,0,0
3/23/1990,53,22,0,0,0
3/24/1990,35,19,0,0,0
3/25/1990,46,19,0,0,0
3/26/1990,41,15,0,0,0
3/27/1990,34,13,0,0,0
3/28/1990,48,17,0,0,0
3/29/1990,51,17,0,0,0
3/30/1990, M, M, M,0,0
3/31/1990,51,17,0,0,0
4/1/1990,47, M,0.05,0,0
4/2/1990,62,38,0.54,0,0
4/3/1990,62,33,0.53,0,0
4/4/1990,62,33,0.49,0,0
4/5/1990,44,32,0.05,0,0
4/6/1990,42,28,0.02,0,0
4/7/1990,44,26,0,0,0
4/8/1990,46,24,0,0,0
4/9/1990,62,28,0,0,0
4/10/1990,59,35,0.71,0,0
4/11/1990,40,27,0,0,0
4/12/1990,38,23,0,0,0
4/13/1990, M, M, M,0,0
4/14/1990,50,23,0,0,0
4/15/1990,62,34,0,0,0
4/16/1990,61,34,0,0,0
4/17/1990,55,31,0.2,0,0
4/18/1990,46,24,0,0,0
4/19/1990,63,25,0,0,0
4/20/1990,58,48,0.43,0,0
4/21/1990,56,37,0,0,0
4/22/1990,69,40,0,0,0
