Date,MaxTemperature,MinTemperature,Precipitation,Snowfall,SnowDepth
1/1/1999,31,13, T, T,0
1/2/1999,25,10,0,0,0
1/3/1999,53,25,3.78, T,0
1/4/1999,33,21,0,0,0
1/5/1999,29,18,0,0,0
1/6/1999,33,18,0,0,0
1/7/1999,36,24,0,0,0
1/8/1999,37,22,0.38,3.1,0
1/9/1999,50,30,0.24,0,1
1/10/1999,31,24,0,0,0
1/11/1999,27,21,0,0,0
1/12/1999,49,27,0,0,0
1/13/1999,51,26,0.02,0.1,0
1/14/1999,26,17,0.04,0.5, T
1/15/1999,47,26,1.18, T, T
1/16/1999,42,23,0,0,0
1/17/1999,52,32,0,0,0
1/18/1999,54,35,0.87,0,0
1/19/1999,50,33,0,0,0
1/20/1999,46,35,0,0,0
1/21/1999,48,31,0.1,0,0
1/22/1999,44,40, T,0,0
1/23/1999,51,42,0.01,0,0
1/24/1999,55,41,1.24,0,0
1/25/1999,42,33,0.11, T,0
1/26/1999,41,29,0,0,0
1/27/1999,43,30,0.01,0,0
1/28/1999,42,36,0.07,0,0
1/29/1999,37,26, T, T,0
1/30/1999,38,23, T, T,0
1/31/1999,31,16,0,0,0
2/1/1999,39,23,0,0,0
2/2/1999,50,37,0.78,0,0
2/3/1999,54,36,0,0,0
2/4/1999,48,33,0.09,0,0
2/5/1999,46,32,0,0,0
2/6/1999,43,31, T, T,0
2/7/1999,42,33,0.03, T,0
2/8/1999,36,28,0.12,0.9,1
2/9/1999,42,24,0,0,0
2/10/1999,51,33,0,0,0
2/11/1999,46,30,0,0,0
2/12/1999,52,38,0.07,0,0
2/13/1999,43,28, T,0,0
2/14/1999,32,22,0,0,0
2/15/1999,43,20,0,0,0
2/16/1999,50,31,0,0,0
2/17/1999,52,33,0,0,0
2/18/1999,44,36,1.11,0,0
2/19/1999,43,33,0,0,0
2/20/1999,40,32,0,0,0
2/21/1999,35,26, T, T,0
2/22/1999,27,17,0,0,0
2/23/1999,26,14,0,0,0
2/24/1999,38,24,0,0,0
2/25/1999,38,27,0.02,0.3,0
2/26/1999,48,30,0.03,0.5,1
2/27/1999,49,31,0,0,0
2/28/1999,49,37,0.6,0,0
3/1/1999,45,37,0.1,0,0
3/2/1999,49,34,0,0,0
3/3/1999,54,34,0.21,0,0
3/4/1999,51,33,0.15, T,0
3/5/1999,43,29,0,0,0
3/6/1999,46,32,0.37,0,0
3/7/1999,43,19,0.14,0.2, T
3/8/1999,36,17,0,0,0
3/9/1999,36,21,0,0,0
3/10/1999,41,28,0,0,0
3/11/1999,43,26,0,0,0
3/12/1999,40,26, T, T, T
3/13/1999,49,28,0,0,0
3/14/1999,43,32,0.75,2.1,0
3/15/1999,40,32,0.5,2.3,4
