Date,MaxTemperature,MinTemperature,Precipitation,Snowfall,SnowDepth
1/1/1990,44,28,0.63, T, T
1/2/1990,41,25,0,0,0
1/3/1990,41,23,0,0,0
1/4/1990,53,23,0,0,0
1/5/1990,48,28,0.01,0,0
1/6/1990,48,26, T, T, T
1/7/1990,46,18,0,0,0
1/8/1990,45, M,0,0,0
1/9/1990,38,26,0.72,2.8,3
1/10/1990,48,30,0.01,0,0
1/11/1990,46,34, T,0,0
1/12/1990,44,26,0,0,0
1/13/1990,42,22, T, T, T
1/14/1990,33,21,0,0,0
1/15/1990,37,25,0.05,0.5,1
1/16/1990,37,23,0.04,0, T
1/17/1990,56,26,0,0,0
1/18/1990,62, M, T,0,0
1/19/1990,64,32,0,0,0
1/20/1990,40,22, T, T, T
1/21/1990,34,24,0.51,0.5,1
1/22/1990,36,26,0.23,0, T
1/23/1990,47,27, T,0,0
1/24/1990,46,30, T,0,0
1/25/1990,53,37,0.2,0,0
1/26/1990,60,40,1,0,0
1/27/1990,41,28,0.15,0,0
1/28/1990,45,27,0,0,0
1/29/1990,56,32, T, T, T
1/30/1990,42,34,1.63,0,0
1/31/1990,44,24,0,0,0
2/1/1990,52,24,0,0,0
2/2/1990,54,28,0,0,0
2/3/1990,52,29,0.05,0,0
2/4/1990,39,28,0.21,0,0
2/5/1990,38,20,0.13, T, T
2/6/1990,35, M,0,0,0
2/7/1990,57,31,0,0,0
2/8/1990,55,25, T,0,0
2/9/1990,59,29,0,0,0
2/10/1990,62,42,0.17,0,0
2/11/1990,61,23,0.15,0,0
2/12/1990,49,30,0.06, T, T
2/13/1990,45,21, T, T, T
2/14/1990,54,32,0,0,0
2/15/1990,57,35,0.02,0,0
2/16/1990,38,32,0.16,0,0
2/17/1990,56,36,0.01,0,0
2/18/1990,45,16,0,0,0
2/19/1990,42,16,0,0,0
2/20/1990,56,24,0,0,0
2/21/1990,35,15,0,0,0
2/22/1990,51,25,0,0,0
2/23/1990,62,36,0.3,0,0
2/24/1990,65,28,0.42,0.3, T
2/25/1990,37,22,0.19,2.3,3
2/26/1990,25,5,0,0,1
2/27/1990,26,10,0,0,1
2/28/1990,35,23, T, T,1
3/1/1990,38,18,0,0, T
3/2/1990,41,25,0,0,0
3/3/1990,54,31,0,0,0
3/4/1990,56,20,0,0,0
3/5/1990,36,18,0,0,0
3/6/1990,42,26,0.15,2,2
3/7/1990,30,10,0.05,0.5,3
3/8/1990,36,10,0,0,2
3/9/1990,48,20,0,0, T
3/10/1990,42,32,0.08,0,0
3/11/1990,50,40,0.04,0,0
3/12/1990,70,44,0.01,0,0
3/13/1990,66,40,0,0,0
3/14/1990,83,45,0,0,0
3/15/1990,71,43,0,0,0
3/16/1990,79,45,0,0,0
3/17/1990,76,64, T,0,0
3/18/1990,75,45,0.93,0,0
3/19/1990,59,31,0,0,0
3/20/1990,55,43,0.28,0,0
3/21/1990,45,35,0.79, T, T
3/22/1990,54,30,0,0,0
3/23/1990,64,41,0,0,0
3/24/1990,66,31,0,0,0
3/25/1990,39,31,0,0,0
3/26/1990,48,36,0,0,0
3/27/1990,53,23,0,0,0
3/28/1990,42,18,0,0,0
3/29/1990,52,26,0,0,0
3/30/1990,48,34,0.43, T, T
3/31/1990,39,34,0.33,0,0
4/1/1990,47,37,0.05,0,0
4/2/1990,44,40,0.05,0,0
4/3/1990,53,41,1,0,0
4/4/1990,44,38,0.22,0,0
4/5/1990,46,36, T,0,0
4/6/1990,57,41, T,0,0
4/7/1990,51,31,0.21,1,1
4/8/1990,48,22, T, T, T
4/9/1990,49,25, T, T, T
4/10/1990,62,38,0,0,0
4/11/1990,68, M,0.47,0,0
4/12/1990,56,28,0,0,0
4/13/1990,52,25,0,0,0
4/14/1990,52,28,0,0,0
4/15/1990,58,32,0.97,0,0
4/16/1990,63,39,0.06,0,0
4/17/1990,67,43,0,0,0
4/18/1990,63,34,0.16,0,0
4/19/1990,53,28,0,0,0
4/20/1990,63,42,0,0,0
4/21/1990,67,45,0.07,0,0
4/22/1990,64,40,0.13,0,0
4/23/1990,71,43,0,0,0
4/24/1990,79,43,0,0,0
4/25/1990,83,45,0,0,0
4/26/1990,70,50,0.14,0,0
4/27/1990,81,49,0,0,0
4/28/1990,93,57,0,0,0
4/29/1990,91,52, T,0,0
4/30/1990, M,50,0.31,0,0
5/1/1990,58,52, T,0,0
5/2/1990,81,55,0,0,0
5/3/1990,66,38,0,0,0
5/4/1990,70,50, T,0,0
5/5/1990,59,42,0.78,0,0
5/6/1990,70,46,0.05,0,0
5/7/1990,66,42,0,0,0
5/8/1990,68,44, T,0,0
5/9/1990,75,47,0,0,0
5/10/1990,80,56,0.21,0,0
5/11/1990,66,46,1.62,0,0
5/12/1990,62,35,0,0,0
5/13/1990,64,45,0.03,0,0
5/14/1990,70,52,1,0,0
5/15/1990,76,48,0,0,0
5/16/1990,76,56,0.04,0,0
5/17/1990,65,57,1.55,0,0
5/18/1990,64,46,0.51,0,0
5/19/1990,68,45,0,0,0
5/20/1990,73,49, T,0,0
5/21/1990,65,47,0.07,0,0
5/22/1990,51,45,0.03,0,0
5/23/1990,66,44,0,0,0
5/24/1990,65,51, T,0,0
5/25/1990,70,40,0,0,0
5/26/1990,78,54,0.06,0,0
5/27/1990, M,49,0.19,0,0
5/28/1990,76,49,0,0,0
5/29/1990,65,55,0.17,0,0
5/30/1990, M,50,2.4,0,0
5/31/1990,69,41,0,0,0
6/1/1990,77,46,0,0,0
6/2/1990,81,59,0,0,0
6/3/1990,85,62,0,0,0
6/4/1990,82,66,0.05,0,0
6/5/1990,74,46,0,0,0
6/6/1990,74,45,0,0,0
6/7/1990,79,62,0.2,0,0
6/8/1990,84,50, T,0,0
6/9/1990,78,62,0.3,0,0
6/10/1990,82,61,0.02,0,0
6/11/1990,81,59,0.12,0,0
6/12/1990,70,48,0.03,0,0
6/13/1990,80,48,0,0,0
6/14/1990,82,60, T,0,0
6/15/1990,71,59,0.46,0,0
6/16/1990,80,56,0,0,0
6/17/1990,83,57,0,0,0
6/18/1990,84,60,0,0,0
6/19/1990,87,63,0.97,0,0
6/20/1990,85,59,0.1,0,0
6/21/1990,80,62,0.03,0,0
6/22/1990,80,60,0.2,0,0
6/23/1990,89,67,0.05,0,0
6/24/1990,83,59, T,0,0
6/25/1990,80,56,0,0,0
6/26/1990,77,55,0,0,0
6/27/1990,85,63,0,0,0
6/28/1990,88,62, T,0,0
6/29/1990,86,68, T,0,0
6/30/1990,90,68,0.05,0,0
7/1/1990,92,65,0.01,0,0
7/2/1990,82,60,0.58,0,0
7/3/1990,78,56,0,0,0
7/4/1990,87,66,0,0,0
7/5/1990,94, M,0,0,0
7/6/1990,96,62, T,0,0
7/7/1990,83,59,0,0,0
7/8/1990,82,56,0,0,0
7/9/1990,81,61,0,0,0
7/10/1990,96,66,0.24,0,0
7/11/1990,89,61,0,0,0
7/12/1990,68,60,0.38,0,0
7/13/1990,64,56,1,0,0
7/14/1990,70,58, T,0,0
7/15/1990,73,64,0.03,0,0
7/16/1990,88,70,1.05,0,0
7/17/1990,81,65,0,0,0
7/18/1990,88,66,0,0,0
7/19/1990,92,70,0,0,0
7/20/1990,93,67,0,0,0
7/21/1990,91,70, T,0,0
7/22/1990,87,69,0.55,0,0
7/23/1990,86,72, T,0,0
7/24/1990,89,65,0.38,0,0
7/25/1990,85,63,0,0,0
7/26/1990,87,63,0,0,0
7/27/1990,87,65,0.01,0,0
7/28/1990,83,67,0,0,0
7/29/1990,82,70,0.01,0,0
7/30/1990,85,67,0,0,0
7/31/1990,83,63,0,0,0
8/1/1990,87,61,0.1,0,0
8/2/1990,81,55,0,0,0
8/3/1990,87,59,0,0,0
8/4/1990,92,60,0,0,0
8/5/1990,89,65,0,0,0
8/6/1990,79,67,1.81,0,0
8/7/1990,82,67,1.31,0,0
8/8/1990,82,63, T,0,0
8/9/1990,86,58,0,0,0
8/10/1990,85,64,0.16,0,0
8/11/1990,73,65,3.2,0,0
8/12/1990,85,67,0.65,0,0
8/13/1990,88,65,0,0,0
8/14/1990,89,64,0.65,0,0
8/15/1990,83,61,0,0,0
8/16/1990,84,60,0,0,0
8/17/1990,88,63,0,0,0
8/18/1990,89,66,0,0,0
8/19/1990,89,69,0,0,0
8/20/1990,83,57, T,0,0
8/21/1990,66,58,0.03,0,0
8/22/1990,65,57,0.04,0,0
8/23/1990,75,63,0.05,0,0
8/24/1990,70,62,0.75,0,0
8/25/1990,71, M,0.07,0,0
8/26/1990,86,65,0,0,0
8/27/1990,87,65,0,0,0
8/28/1990,88,64,0.2,0,0
8/29/1990,89,65,0.35,0,0
8/30/1990,87,57,0.53,0,0
8/31/1990,83,57,0,0,0
9/1/1990,87,61,0,0,0
9/2/1990,84,61,0,0,0
9/3/1990,91,62,0.43,0,0
9/4/1990,77,53,0,0,0
9/5/1990,77,57,0,0,0
9/6/1990,79,61, T,0,0
9/7/1990,85,67,0,0,0
9/8/1990,86,56,0,0,0
9/9/1990,71,47,0,0,0
9/10/1990,68,50,0.02,0,0
9/11/1990,82,58,0,0,0
9/12/1990,87, M,0,0,0
9/13/1990,85,67,0,0,0
9/14/1990,81,61,0,0,0
9/15/1990,80,64,0.86,0,0
9/16/1990,79,51,0,0,0
9/17/1990,72,50,0.88,0,0
9/18/1990,62,38,0,0,0
9/19/1990,67,41,0,0,0
9/20/1990,65,45,0.25,0,0
9/21/1990,71,41,0,0,0
9/22/1990,70,50,0.2,0,0
9/23/1990,64,48,0.62,0,0
9/24/1990,67,45,0,0,0
9/25/1990,64,40,0,0,0
9/26/1990,70,46,0,0,0
9/27/1990,69,51, T,0,0
9/28/1990,75,51,0,0,0
9/29/1990,76, M,0,0,0
9/30/1990,65,53,0,0,0
10/1/1990,76,48,0.03,0,0
10/2/1990,68,46,0,0,0
10/3/1990,70,38,0,0,0
10/4/1990,71,41,0,0,0
10/5/1990,74,48,0.43,0,0
10/6/1990,75,51,0,0,0
10/7/1990,86,52,0,0,0
