Date,MaxTemperature,MinTemperature,Precipitation,Snowfall,SnowDepth
12/31/1990, M, M, M, M, M
1/1/1991, M, M, M, M, M
1/2/1991, M, M, M, M, M
1/3/1991, M, M, M, M, M
1/4/1991, M, M, M, M, M
1/5/1991, M, M, M, M, M
1/6/1991, M, M, M, M, M
1/7/1991, M, M, M, M, M
1/8/1991, M, M, M, M, M
1/9/1991, M, M, M, M, M
1/10/1991, M, M, M, M, M
1/11/1991, M, M, M, M, M
1/12/1991, M, M, M, M, M
1/13/1991, M, M, M, M, M
1/14/1991, M, M, M, M, M
1/15/1991, M, M, M, M, M
1/16/1991, M, M, M, M, M
1/17/1991, M, M, M, M, M
1/18/1991, M, M, M, M, M
1/19/1991, M, M, M, M, M
1/20/1991, M, M, M, M, M
1/21/1991, M, M, M, M, M
1/22/1991, M, M, M, M, M
1/23/1991, M, M, M, M, M
1/24/1991, M, M, M, M, M
1/25/1991, M, M, M, M, M
1/26/1991, M, M, M, M, M
1/27/1991, M, M, M, M, M
1/28/1991, M, M, M, M, M
1/29/1991, M, M, M, M, M
1/30/1991, M, M, M, M, M
1/31/1991, M, M, M, M, M
2/1/1991, M, M, M, M, M
2/2/1991, M, M, M, M, M
2/3/1991, M, M, M, M, M
2/4/1991, M, M, M, M, M
2/5/1991, M, M, M, M, M
2/6/1991, M, M, M, M, M
2/7/1991, M, M, M, M, M
2/8/1991, M, M, M, M, M
2/9/1991, M, M, M, M, M
2/10/1991, M, M, M, M, M
2/11/1991, M, M, M, M, M
2/12/1991, M, M, M, M, M
2/13/1991, M, M, M, M, M
2/14/1991, M, M, M, M, M
2/15/1991, M, M, M, M, M
2/16/1991, M, M, M, M, M
2/17/1991, M, M, M, M, M
2/18/1991, M, M, M, M, M
2/19/1991, M, M, M, M, M
2/20/1991, M, M, M, M, M
2/21/1991, M, M, M, M, M
2/22/1991, M, M, M, M, M
2/23/1991, M, M, M, M, M
2/24/1991, M, M, M, M, M
2/25/1991, M, M, M, M, M
2/26/1991, M, M, M, M, M
2/27/1991, M, M, M, M, M
2/28/1991, M, M, M, M, M
3/1/1991, M, M, M, M, M
