Date,MaxTemperature,MinTemperature,Precipitation,Snowfall,SnowDepth
1/1/1990,41,20,0,0,1
1/2/1990,39,8,0,0,1
1/3/1990,37,25,0,0,1
1/4/1990,41,35,0,0,1
1/5/1990,48,25,0,0,1
1/6/1990,34,23,0,0,1
1/7/1990,30,8,0,0,1
1/8/1990,43,30,0,0,0
1/9/1990,37,20,0,0,0
1/10/1990,37,31,0.04,0,0
1/11/1990,34,25,0,0,0
1/12/1990,36,30, M,1,1
1/13/1990,30,9,0,0,1
1/14/1990,13,-2,0,0,1
1/15/1990,30,4, M,0.5,1
1/16/1990,35,22, M,1,1
1/17/1990,43,28,0,0,0
1/18/1990,47,34,0,0,0
1/19/1990,34,17,0,0,0
1/20/1990,31,9,0,0,0
1/21/1990,28,7, M,2,2
1/22/1990,32,10, M,3,5
1/23/1990,40,14,0,0,4
1/24/1990,41,21,0,0,2
1/25/1990,48,34,0,0,0
1/26/1990,42,35,0.5,0,0
1/27/1990,40,30,0,0,0
1/28/1990,45,34,0,0,0
1/29/1990,34,27, M,3,3
1/30/1990,30,27, M,9,12
1/31/1990,36,9,0,0,10
2/1/1990,41,26,0,0,8
2/2/1990,45,9,0,0,7
2/3/1990,10,-5,0,0,7
2/4/1990,12,-4, M,6,13
2/5/1990,20,-3, M,3,16
2/6/1990,39,16,0,0,15
2/7/1990,43,11,0,0,12
2/8/1990,42,10,0,0,8
2/9/1990,44,33,0.21,0,6
2/10/1990,42,34,0.12,0,4
2/11/1990,36,20,0,0,3
2/12/1990,36,6,0,0,2
2/13/1990,39,24,0,0,2
2/14/1990,39,13,0,0,2
2/15/1990,20,11, M,5,7
2/16/1990,31,20,0.12,3,8
2/17/1990,35,9, M,2,10
2/18/1990,23,-21,0,0,10
2/19/1990,41,15,0,0,9
2/20/1990,28,3,0,0,9
2/21/1990,40,-10,0,0,8
2/22/1990,46,33,0.14,0,5
2/23/1990,36,27,0.07,0,4
2/24/1990,27,4,0,0,4
2/25/1990,21,-1,0,0,4
2/26/1990,12,-15,0,0,4
2/27/1990,24,4,0,0,4
2/28/1990,28,4, M,1,4
3/1/1990,39,-10,0,0,4
3/2/1990,54,31,0,0,3
3/3/1990, M, M,0,0,3
3/4/1990,23,9,0,0,3
3/5/1990,21,-5,0,0,3
3/6/1990,17,-7,0,0,3
3/7/1990,27,-5,0,0,3
3/8/1990,33,-4,0,0,3
3/9/1990,44,5,0,0,3
3/10/1990,47,12,0,0,2
3/11/1990,52,32,0,0,1
3/12/1990,44,31,0.09,0,1
3/13/1990,41,35,0.23,0,0
3/14/1990,51,34,0,0,0
3/15/1990,60,38,0,0,0
3/16/1990,73,31,0,0,0
3/17/1990,67,43,0.73,0,0
3/18/1990,50,38,0,0,0
3/19/1990,47,29,0,0,0
3/20/1990,43,32,0.31,0,0
3/21/1990,47,32,0,0,0
3/22/1990,50,25,0,0,0
3/23/1990,50,28,0,0,0
3/24/1990,35,16,0,0,0
3/25/1990,43,19,0,0,0
3/26/1990,38,19,0,0,0
3/27/1990,30,6,0,0,0
3/28/1990,42,17,0,0,0
3/29/1990,36,14,0,0,0
3/30/1990,39,16, M,1,1
3/31/1990,46,32,0,0,0
4/1/1990,50,33,0,0,0
4/2/1990,49,37,0,0,0
4/3/1990,49,36,0.85,0,0
4/4/1990,44,37,0.7,0,0
4/5/1990,46,36,0,0,0
4/6/1990,42,32,0,0,0
4/7/1990,41,25,0,0,0
4/8/1990,47,22,0,0,0
4/9/1990,50,22,0,0,0
4/10/1990,46,30,0.3,0,0
4/11/1990,36,29,0.82,2,2
4/12/1990,34,28,0,0,0
4/13/1990,48,21,0,0,0
4/14/1990,49,30,0,0,0
4/15/1990,57,43,0,0,0
4/16/1990,52,34,0,0,0
4/17/1990,53,31,0,0,0
4/18/1990,43,24,0,0,0
4/19/1990,57,24,0,0,0
4/20/1990,57,41,0,0,0
4/21/1990,55,46,0.28,0,0
4/22/1990,64,29,0,0,0
4/23/1990,61,39,0,0,0
4/24/1990,66,30,0,0,0
4/25/1990,66,31,0.13,0,0
4/26/1990,76,48,0,0,0
4/27/1990,90,56,0,0,0
4/28/1990,89,52,0,0,0
4/29/1990,80,53,0,0,0
4/30/1990,71,50,0,0,0
5/1/1990,73,44,0,0,0
5/2/1990,70,39,0,0,0
5/3/1990,62,30,0,0,0
5/4/1990,64,29,0,0,0
5/5/1990,60,43,0.71,0,0
5/6/1990,60,35,0.05,0,0
5/7/1990,60,42,0,0,0
5/8/1990,57,33,0.11,0,0
5/9/1990,68,41,0.03,0,0
5/10/1990,68,52,0.09,0,0
5/11/1990,61,43, M,0,0
5/12/1990,64,30,0,0,0
5/13/1990,60,41,0.73,0,0
5/14/1990,71,42,0.12,0,0
5/15/1990,66,45,0,0,0
5/16/1990,66,46,0,0,0
5/17/1990,58,53,0.55,0,0
5/18/1990,62,48,0,0,0
5/19/1990,53,44,0,0,0
5/20/1990,57,36,0,0,0
5/21/1990,51,45,0.73,0,0
5/22/1990,53,40,0,0,0
5/23/1990,55,38,0,0,0
5/24/1990,68,37,0,0,0
5/25/1990,71,39,0,0,0
5/26/1990,70,35,0,0,0
5/27/1990,79,42,0,0,0
5/28/1990,78,44,0,0,0
5/29/1990,69,40,0,0,0
5/30/1990,69,45,0,0,0
5/31/1990,73,41,0,0,0
6/1/1990,81,41,0,0,0
6/2/1990,84,48,0,0,0
6/3/1990,76,63,0.75,0,0
6/4/1990,73,52,0,0,0
6/5/1990,60,39,0,0,0
6/6/1990,63,39,0,0,0
6/7/1990,74,54,0,0,0
6/8/1990,72,44,0,0,0
6/9/1990,75,56,0,0,0
6/10/1990, M, M,0,0,0
6/11/1990,71,41,0,0,0
6/12/1990,77,44,0,0,0
6/13/1990,74,52,0,0,0
6/14/1990,76,59,0.55,0,0
6/15/1990,76,64,4.1,0,0
6/16/1990,82,60,0,0,0
6/17/1990,83,65,0.19,0,0
6/18/1990,81,68,0.11,0,0
6/19/1990,78,63,1.26,0,0
6/20/1990,69,52,0.04,0,0
6/21/1990,68,58,0,0,0
6/22/1990,80,58,0.21,0,0
6/23/1990,76,60,0,0,0
6/24/1990,72,59,0.67,0,0
