Date, MaxTemperature, MinTemperature, Precipitation, Snowfall, SnowDepth
1990-01-01, 39, 22, 0.05, T, 4
1990-01-02, 39, 12, 0.00, 0.0, 3
1990-01-03, 45, 12, 0.00, 0.0, 3
1990-01-04, 44, 16, T, 0.0, 3
1990-01-05, 45, 17, T, 0.0, 2
1990-01-06, 38, 13, T, T, 2
1990-01-07, 32, 9, 0.00, 0.0, 2
1990-01-08, 42, 11, 0.00, 0.0, 2
1990-01-09, 44, 17, 0.00, 0.0, 2
1990-01-10, 38, 33, 0.03, 0.0, 2
1990-01-11, 38, 32, T, T, 1
1990-01-12, 38, 25, T, T, 1
1990-01-13, 28, 12, 0.00, 0.0, T
1990-01-14, 19, 6, 0.00, 0.0, T
1990-01-15, 22, 14, 0.09, 1.1, T
1990-01-16, 46, 9, T, 0.0, 1
1990-01-17, 44, 25, T, 0.0, 1
1990-01-18, 57, 39, 0.00, 0.0, T
1990-01-19, 40, 18, 0.01, 0.1, T
1990-01-20, 34, 14, 0.00, 0.0, T
1990-01-21, 31, 12, 0.25, 8.5, T
1990-01-22, 21, 11, 0.11, 1.8, 8
1990-01-23, 39, 11, T, T, 8
1990-01-24, 36, 23, 0.10, 1.6, 7
1990-01-25, 36, 27, 0.34, 0.0, 6
1990-01-26, 38, 33, 0.53, T, 3
1990-01-27, 42, 30, T, T, 2
1990-01-28, 47, 25, 0.00, 0.0, 1
1990-01-29, 34, 27, 0.43, 7.0, 1
1990-01-30, 37, 28, 0.88, 3.0, 10
1990-01-31, 40, 14, 0.00, 0.0, 10
1990-02-01, 48, 13, 0.00, 0.0, 9
1990-02-02, 46, 24, 0.52, 4.1, 9
1990-02-03, 24, 13, 0.02, 0.2, 11
1990-02-04, 22, 15, 0.56, 7.1, 11
1990-02-05, 25, -1, T, T, 15
1990-02-06, 40, 1, 0.00, 0.0, 15
1990-02-07, 45, 13, 0.00, 0.0, 13
1990-02-08, 52, 11, 0.00, 0.0, 12
1990-02-09, 56, 23, 0.00, 0.0, 11
1990-02-10, 46, 30, 0.13, 0.0, 7
1990-02-11, 37, 18, 0.00, 0.0, 5
1990-02-12, 35, 9, 0.00, 0.0, 5
1990-02-13, 42, 9, 0.00, 0.0, 5
1990-02-14, 43, 26, 0.00, 0.0, 5
1990-02-15, 26, 19, 0.54, 2.5, 5
1990-02-16, 28, 19, 0.16, 0.4, 7
1990-02-17, 37, 10, T, T, 7
1990-02-18, 32, 1, 0.00, 0.0, 7
1990-02-19, 47, 16, 0.00, 0.0, 7
