Date,MaxTemperature,MinTemperature,Precipitation,Snowfall,SnowDepth
1/1/1990,35,28,0.09,0.3,4
1/2/1990,31,25,0,0,4
1/3/1990,39,25,0,0,4
1/4/1990,41,33,0.43,0, T
1/5/1990,45,24,0,0, T
1/6/1990,38,22,0,0, T
1/7/1990,35,26,0,0,0
1/8/1990,44,25,0,0,0
1/9/1990,46,34,0.08,0,0
1/10/1990,41,33,0.22,0,0
1/11/1990,39,31,0,0,0
1/12/1990,43,24,0.03,0.8,1
1/13/1990,30,21,0,0, T
1/14/1990,31,22,0,0, T
1/15/1990,39,31,0,0, T
1/16/1990,48,36,0.01,0,0
1/17/1990,50,39,0.12,0,0
1/18/1990,55,35,0,0,0
1/19/1990,35,20,0.38,0,0
1/20/1990,35,20,0,0,0
1/21/1990,32,30,0.35,2.2,2
1/22/1990,37,31,0,0,2
1/23/1990,38,24,0,0,2
1/24/1990,47,28,0.03,0,0
1/25/1990,44,33,0.09,0,0
1/26/1990,49,28,0.18,0,0
1/27/1990,34,25,0,0,0
1/28/1990,51,24,0,0,0
1/29/1990,39,24,0,0,0
1/30/1990,34,17,0,0,0
1/31/1990,40,23,0,0,0
2/1/1990,40,24,0.06,0,0
2/2/1990,44,21,0.71,0.5,1
2/3/1990,29,23,0.05,0.8,1
2/4/1990,31,27,0,0,1
2/5/1990,30,26,0.01,0.3,1
2/6/1990,40,29,0,0,1
2/7/1990,42,32,0,0, T
2/8/1990,47,35,0,0,0
2/9/1990,57,41,0.02,0,0
2/10/1990,44,26,0,0,0
2/11/1990,40,25,0,0,0
2/12/1990,39,21,0,0,0
2/13/1990,50,26,0,0,0
2/14/1990,64,24,0.09,0,0
2/15/1990,29,22,1.68,6.2,6
2/16/1990,31,22,0.34,0.2,6
2/17/1990,39,20, T, T,5
2/18/1990,31,14,0,0,5
2/19/1990,41,27,0,0,4
2/20/1990,35,9,0,0,4
2/21/1990,33,15,0,0,3
2/22/1990,47,29,0.72,0,3
2/23/1990,41,30,1.29,1.2,4
2/24/1990,37,26,0.02,0.3,5
2/25/1990,34,2,0.2,3.5,6
2/26/1990,12,3,0,0,5
2/27/1990,37,6,0,0,5
2/28/1990,43,14,0,0,4
3/1/1990,28,17,0,0,4
3/2/1990,38,23,0,0,3
3/3/1990,47,27,0,0,2
3/4/1990,34,13,0,0,2
3/5/1990,27,15,0.1,2.6,4
3/6/1990,26,13,0.12,1.7,5
3/7/1990,31,14,0,0,4
3/8/1990,34,18,0,0,3
3/9/1990,43,28,0.5,0, T
3/10/1990,52,37,0.02,0, T
3/11/1990,53,40,0.08,0,0
3/12/1990,61,43,0.07,0,0
3/13/1990,76,51,0,0,0
3/14/1990,75,50,0,0,0
3/15/1990,78,56,0,0,0
3/16/1990,78,49,0.27,0,0
3/17/1990,58,46,0,0,0
3/18/1990,51,33,0.03,0,0
3/19/1990,45,29,0.16,0.2, T
3/20/1990,37,19,0.09,0.5,1
3/21/1990,44,23,0,0,0
3/22/1990,47,40,0,0,0
3/23/1990,53,29,0.25,0,0
3/24/1990,38,21,0,0,0
3/25/1990,39,21,0,0,0
3/26/1990,46, M,0,0,0
3/27/1990,41,20,0,0,0
3/28/1990,46,24,0,0,0
3/29/1990,51,36,0.29,0,0
3/30/1990,48,38,0,0,0
3/31/1990,51,38,0.01,0,0
4/1/1990,50,40,0.12,0,0
4/2/1990,50,42,0.15,0,0
4/3/1990,45,31,0.02, T, T
4/4/1990,38,31,0,0,0
4/5/1990,57,31,0,0,0
4/6/1990,44,23,0.1,0,0
4/7/1990,41,21,0.13,0.3, T
4/8/1990,40,23,0,0,0
4/9/1990,55,31,0,0,0
4/10/1990,65,45,0.39,0,0
4/11/1990,49,30,0.63,0,0
4/12/1990,46,23,0.01,0.1, T
4/13/1990,41,26,0,0,0
4/14/1990,52,34,0.3,0,0
4/15/1990,54,33, T,0,0
4/16/1990,58,29,0,0,0
4/17/1990,61,32,0,0,0
4/18/1990,42,23,0,0,0
4/19/1990,56,31,0,0,0
4/20/1990,62,42,0,0,0
4/21/1990,63,46,0.72,0,0
4/22/1990,68,41,0,0,0
4/23/1990,71,42,0,0,0
4/24/1990,73,47,0,0,0
4/25/1990,86,60,0,0,0
4/26/1990,90,59,0,0,0
4/27/1990,86,57,0,0,0
4/28/1990,81,58,0,0,0
4/29/1990,83,55,0,0,0
4/30/1990,65,43,0,0,0
5/1/1990,75,50,0,0,0
5/2/1990,65,34,0,0,0
5/3/1990,70,45,0,0,0
5/4/1990,59,49,0,0,0
5/5/1990,50,42,0.8,0,0
5/6/1990,65,39,0.3,0,0
5/7/1990,64,43,0,0,0
5/8/1990,77,57,0,0,0
5/9/1990,81,56,0,0,0
5/10/1990,72,32,0,0,0
5/11/1990,51,37,0.05,0,0
5/12/1990,60,40,0,0,0
5/13/1990,70,37,0.92,0,0
5/14/1990,65,39,0.14,0,0
5/15/1990,62,48,0.02,0,0
5/16/1990,73,58,1.04,0,0
5/17/1990,73,55,0.84,0,0
5/18/1990,62,43,0.1,0,0
5/19/1990,63,41,0,0,0
5/20/1990,62,48,0.13,0,0
5/21/1990,75,48, T,0,0
5/22/1990,61,44,0,0,0
5/23/1990,69,45,0,0,0
5/24/1990,70,40,0,0,0
5/25/1990,65,46,0.02,0,0
5/26/1990,70,52,0,0,0
5/27/1990,73,52,0,0,0
5/28/1990,77,48,0,0,0
5/29/1990,78,55,0,0,0
5/30/1990,65,37,0,0,0
5/31/1990,69,41,0,0,0
6/1/1990,76,46,0,0,0
6/2/1990,79,58,0,0,0
6/3/1990,80,62,1.29,0,0
6/4/1990,79,43,0.12,0,0
6/5/1990,64,44, T,0,0
6/6/1990,72,50,0,0,0
6/7/1990,80,56,0,0,0
6/8/1990,77,53,0.8,0,0
6/9/1990,80,62,0.04,0,0
6/10/1990,82,57,0,0,0
6/11/1990,71,51,0,0,0
6/12/1990,79,53,0,0,0
6/13/1990,72,60, T,0,0
6/14/1990,90,62,0.96,0,0
6/15/1990,81,58, T,0,0
6/16/1990,85,54,0,0,0
6/17/1990,86,65,0,0,0
6/18/1990,92,63,0,0,0
6/19/1990,85,54,0,0,0
6/20/1990,77,55,0,0,0
6/21/1990,76, M,0,0,0
6/22/1990,83,65, T,0,0
6/23/1990,72,58,0.55,0,0
6/24/1990,62,54,0.09,0,0
6/25/1990,73,45,0.03,0,0
6/26/1990,81,56,0,0,0
6/27/1990,82,60,0,0,0
6/28/1990,82,61,0.42,0,0
6/29/1990,71,62, T,0,0
6/30/1990,86,63,0.2,0,0
7/1/1990,89,62,0.49,0,0
7/2/1990,72,58, T,0,0
7/3/1990,82,60,0,0,0
7/4/1990,86,66,0,0,0
7/5/1990,97,69,0,0,0
7/6/1990,86,54,0,0,0
7/7/1990,75,50,0,0,0
7/8/1990,76,63,0,0,0
7/9/1990,91,71,0,0,0
7/10/1990,90,68,0,0,0
7/11/1990,81,59,0.07,0,0
7/12/1990,68,62,0.03,0,0
7/13/1990,78,60,0,0,0
7/14/1990,73,61,0,0,0
7/15/1990,71,61,0.39,0,0
7/16/1990,78,58, T,0,0
7/17/1990,83,67,0.02,0,0
7/18/1990,86,65,0,0,0
7/19/1990,90,64,0.01,0,0
7/20/1990,90,68,0.05,0,0
7/21/1990,78,61,0.02,0,0
7/22/1990,85,65,0,0,0
7/23/1990,66,54,0.53,0,0
7/24/1990,80,55,0.77,0,0
7/25/1990,81,58,0,0,0
7/26/1990,86,60,0,0,0
7/27/1990,85,60,0,0,0
7/28/1990,87,62,0,0,0
7/29/1990,89,64,0,0,0
7/30/1990,88,71,0,0,0
7/31/1990,84,57,0.69,0,0
8/1/1990,75,48,0,0,0
8/2/1990,80,55,0,0,0
8/3/1990,83,56,0,0,0
8/4/1990,84,61,0,0,0
8/5/1990,72,63,0.47,0,0
8/6/1990,83,59,0,0,0
8/7/1990,68,52,0,0,0
8/8/1990,76,50,0,0,0
8/9/1990,81,55,0,0,0
8/10/1990,84,58,0,0,0
8/11/1990,87,57,0,0,0
8/12/1990,83,59,0,0,0
8/13/1990,81,63,1.96,0,0
8/14/1990,80,53,0,0,0
8/15/1990,78,54, T,0,0
8/16/1990,83,64,0,0,0
8/17/1990,86,62,0,0,0
8/18/1990,85,69,0,0,0
8/19/1990,84,68,0.93,0,0
8/20/1990,70,59,0.08,0,0
8/21/1990,67,63,0.28,0,0
8/22/1990,70,64,0.02,0,0
8/23/1990,72,66, T,0,0
8/24/1990,74,63,0,0,0
8/25/1990,82,63,0,0,0
