Date,MaxTemperature,MinTemperature,Precipitation,Snowfall,SnowDepth
1/1/1992,52,13,0,0,0
1/2/1992,54,43,0,0,0
1/3/1992,54,18,0,0,0
1/4/1992,53,20,0,0,0
1/5/1992,44,12,0,0,0
1/6/1992,38,14,0,0,0
1/7/1992,30,19,0.03,1, T
1/8/1992,42,3,0,0,0
1/9/1992,50,24,0,0,0
1/10/1992,57,37,0,0,0
1/11/1992,51,31,0,0,0
1/12/1992,34,23,0.06,2, T
1/13/1992,38,10,0,0,0
1/14/1992,35,-3,0.02,2,2
1/15/1992,45,-6,0,0,0
1/16/1992,47,24,0.3,2.5, M
1/17/1992,32,8,0,0, M
1/18/1992,41,20,0,0,0
1/19/1992,50,37,0,0,0
1/20/1992,53,19,0,0,0
1/21/1992,48,16,0,0,0
1/22/1992,42,24,0,0,0
1/23/1992,49,23,0,0,0
1/24/1992,54,23,0,0,0
1/25/1992,56,16,0,0,0
1/26/1992,51,30,0,0,0
1/27/1992,56,19,0,0,0
1/28/1992,62,47,0,0,0
1/29/1992,53,42,0,0,0
1/30/1992,62,46,0,0,0
1/31/1992,71,35,0,0,0
2/1/1992,69,30,0.01,0.5, T
2/2/1992,58,26,0,0,0
2/3/1992,57,11,0,0,0
2/4/1992,63,16,0,0,0
2/5/1992,50,24,0,0,0
2/6/1992,45,11,0,0,0
2/7/1992,44,10,0,0,0
2/8/1992,38,13,0,0,0
2/9/1992,30,14,0,0,0
2/10/1992,24,12,0,0,0
2/11/1992,29,11,0,0,0
2/12/1992,50,8,0,0,0
2/13/1992,39,13,0,0,0
2/14/1992,53,25,0,0,0
2/15/1992,49,12,0,0,0
2/16/1992,49,13, T,0,0
2/17/1992,48,21,0,0,0
2/18/1992,52,8,0,0,0
2/19/1992,47,22, T,0,0
2/20/1992,22,8,0.08,2.5,2
2/21/1992,26,7,0,0,2
2/22/1992,61,14,0,0,0
2/23/1992,46,30,0,0,0
2/24/1992,58,18,0,0,0
2/25/1992,64,19,0,0,0
2/26/1992,69,32,0,0,0
2/27/1992,77,24,0,0,0
2/28/1992,74,27,0,0,0
2/29/1992,72,24,0,0,0
3/1/1992,62,33,0,0,0
3/2/1992,66,26,0,0,0
3/3/1992,62,21,0,0,0
3/4/1992,63,33,0,0,0
3/5/1992,60,26,0,0,0
3/6/1992,54,35, T,0,0
3/7/1992,46,26, T,0,0
3/8/1992,35,24,0.08,2, M
3/9/1992,53,13,0,0,0
3/10/1992,62,24,0,0,0
3/11/1992,69,26,0,0,0
3/12/1992,72,28,0,0,0
3/13/1992,64,23,0,0,0
3/14/1992,67,21,0,0,0
3/15/1992,71,22,0,0,0
3/16/1992,61,34, T,0,0
3/17/1992,47,39, T,0,0
3/18/1992,52,29,0.02,0,0
3/19/1992,60,21,0,0,0
3/20/1992,51,35,0.06,0,0
3/21/1992,52,15,0,0,0
3/22/1992,64,11,0,0,0
3/23/1992,67,14,0,0,0
3/24/1992,48,31, T,0,0
3/25/1992,65,17,0,0,0
3/26/1992,70,15,0,0,0
3/27/1992,68,23,0,0,0
3/28/1992,54,29,0,0,0
3/29/1992,58,21,0,0,0
3/30/1992,64,16,0,0,0
3/31/1992,61,27,0,0,0
4/1/1992,71,22,0,0,0
4/2/1992,80,26,0,0,0
4/3/1992,79,33,0,0,0
4/4/1992,64,41,0.16,0,0
4/5/1992,57,34,0,0,0
4/6/1992,51,23,0,0,0
4/7/1992,51,20,0.01,0,0
4/8/1992,55,14,0,0,0
4/9/1992,46,29,0.1,0,0
4/10/1992,37,24,0.24,4, T
4/11/1992,33,19,0.04,0.5,0
4/12/1992,58,27,0,0,0
4/13/1992,73,31,0,0,0
4/14/1992,70,32,0,0,0
4/15/1992,72,40,0,0,0
4/16/1992,76,31, T,0,0
4/17/1992,67,45,0,0,0
4/18/1992,63,42,0.23,0,0
4/19/1992,60,34,0.14,0,0
4/20/1992,69,27,0,0,0
4/21/1992,71,38,0,0,0
4/22/1992,65,44,0.1,0,0
4/23/1992,61,40,0,0,0
4/24/1992,61,36,0,0,0
4/25/1992,72,25,0,0,0
4/26/1992,84,31,0,0,0
4/27/1992,82,46,0,0,0
4/28/1992,81,44,0,0,0
4/29/1992,87,47,0,0,0
4/30/1992, M, M, M,0,0
5/1/1992,67,41,0,0,0
5/2/1992,77,33,0,0,0
5/3/1992,75,40,0,0,0
5/4/1992,83,38,0,0,0
5/5/1992,91,35,0,0,0
5/6/1992,92,43,0,0,0
5/7/1992,86,45,0,0,0
5/8/1992,81,46,0,0,0
5/9/1992,76,44,0.15,0,0
5/10/1992,69,44, T,0,0
5/11/1992,61,40,0,0,0
5/12/1992,58,35,0,0,0
5/13/1992,70,34,0,0,0
5/14/1992,77,33,0,0,0
5/15/1992,73,44,0,0,0
5/16/1992,71,34,0.05,0,0
5/17/1992,87,29,0,0,0
5/18/1992,88,43,0,0,0
5/19/1992,91,46,0,0,0
5/20/1992,73,47,0,0,0
5/21/1992,64,38,0.44,0,0
5/22/1992,69,30,0,0,0
5/23/1992,76,48,0,0,0
5/24/1992,73,48,0,0,0
5/25/1992,72,37,0,0,0
5/26/1992,77,44,0,0,0
5/27/1992,74,45,0.12,0,0
5/28/1992,77,48,0,0,0
5/29/1992,72,52,0.05,0,0
5/30/1992,70,46,0.02,0,0
5/31/1992,72,51,0,0,0
6/1/1992,86,39,0,0,0
6/2/1992,87,52,0,0,0
6/3/1992,71,44,0.04,0,0
6/4/1992,73,37,0.01,0,0
6/5/1992,66,47,0.14,0,0
6/6/1992,76,36,0.21,0,0
6/7/1992,83,39,0,0,0
6/8/1992,87,48,0,0,0
6/9/1992,93,48,0,0,0
6/10/1992,96,55,0,0,0
6/11/1992,89,64,0,0,0
6/12/1992,85,56,0,0,0
6/13/1992,80,57,0.44,0,0
6/14/1992,69,47,0,0,0
6/15/1992,57,50,0.32,0,0
6/16/1992,73,53,0.24,0,0
6/17/1992,76,53,0.05,0,0
6/18/1992,77,51,0.04,0,0
6/19/1992,84,49,0,0,0
6/20/1992,92,55,0,0,0
6/21/1992,86,58,0,0,0
6/22/1992,93,55,0,0,0
6/23/1992,98,56,0,0,0
6/24/1992,82,55,0,0,0
6/25/1992,86,56,0,0,0
6/26/1992,93,58, T,0,0
