Date,MaxTemperature,MinTemperature,Precipitation,Snowfall,SnowDepth
1/1/1990,30,25, T,0.1,6
1/2/1990,36,22,0,0,5
1/3/1990,42,30,0.02,0,4
1/4/1990,41,27,0.47,0,1
1/5/1990,35,20,0,0, T
1/6/1990,32,23,0,0, T
1/7/1990,37,26,0,0, T
1/8/1990,44,24,0,0, T
1/9/1990,39,34,0.11, T, T
1/10/1990,34,30, T,0.1, T
1/11/1990,39,25,0.05,2.2, T
1/12/1990,26,22,0.02,1,3
1/13/1990,26,19,0.01,0.2,2
1/14/1990,38,24,0,0,1
1/15/1990,44,31,0,0, T
1/16/1990,48,35,0.07,0,0
1/17/1990,52,37,0.27,0,0
1/18/1990,37,25,0,0,0
1/19/1990,36,20,0,0,0
1/20/1990,31,27,0.4,3.8,0
1/21/1990,33,27,0.1,2.4,4
1/22/1990,35,27,0.01,0.6,4
1/23/1990,44,19,0.1,0,3
1/24/1990,40,30,0.04,0,1
1/25/1990,48,28,0.72,0.2, T
1/26/1990,32,25, T, T, T
1/27/1990,49,28,0,0,0
1/28/1990,38,21,0,0,0
1/29/1990,42,20,0,0,0
1/30/1990,43,24,0,0,0
1/31/1990,42,19,0,0,0
2/1/1990,48,26,0.01,0.1,0
2/2/1990,26,19,0.1,1.7,1
2/3/1990,26,20,0.01,0.4,2
2/4/1990,33,18,0,0,2
2/5/1990,45,22,0,0,1
2/6/1990,45,32,0,0, T
2/7/1990,38,32,0,0,0
2/8/1990,57,36,0,0,0
2/9/1990,54,33,0.02,0,0
2/10/1990,36,23,0,0,0
2/11/1990,33,15, T, T,0
2/12/1990,48,24,0,0, T
2/13/1990,53,24,0.15,0.2,0
2/14/1990,24,19,0.07,1.7, T
2/15/1990,27,19,0.41,4.8,6
2/16/1990,35,25,0.1,0.4,6
2/17/1990,29,13, T,0.2,6
2/18/1990,40,11,0,0,5
2/19/1990,34,15,0,0,3
2/20/1990,32,4,0,0,2
2/21/1990,45,22,0,0,2
2/22/1990,42,30,0.94,3.1,1
2/23/1990,41,22,0.13,4.3,7
2/24/1990,26,8,0.14,6.8,8
2/25/1990,18,-1, T, T,10
2/26/1990,25,4,0,0,10
2/27/1990,37,22, T,0.1,9
2/28/1990,29,8,0,0,8
3/1/1990,38,18,0,0,7
3/2/1990,44,29,0,0,4
3/3/1990,32,13,0,0,3
3/4/1990,26,10,0.07,1.3,3
3/5/1990,28,16,0.02,0.7,5
3/6/1990,25,11,0,0,4
3/7/1990,28,10,0,0,3
3/8/1990,37,19,0.41,0,2
3/9/1990,42,34,0.12,0, T
3/10/1990,48,32,0.03,0, T
3/11/1990,58,38,0.2,0, T
3/12/1990,76,53,0.02,0,0
3/13/1990,75,60,0.08,0,0
3/14/1990,75,60,0,0,0
3/15/1990,75,49,0.05,0,0
3/16/1990,59,45,0,0,0
3/17/1990,47,33,0.01,0.1,0
3/18/1990,40,30,0.01,0.4, T
3/19/1990,31,22, T,0.2,0
3/20/1990,39,16,0,0,0
3/21/1990,53,27,0.01,0,0
3/22/1990,53,38,0.53,0,0
3/23/1990,39,19, T, T,0
3/24/1990,33,18,0,0,0
3/25/1990,40,21,0,0,0
3/26/1990,38,20,0,0,0
3/27/1990,41,17,0,0,0
3/28/1990,54,22,0,0,0
3/29/1990,46,37,0.16,0,0
3/30/1990,48,36, T,0,0
3/31/1990,45,34,0.24,0,0
4/1/1990,51,42,0.13,0,0
4/2/1990,47,32,0.1,0,0
4/3/1990,52,31,0,0,0
4/4/1990,50,26,0,0,0
4/5/1990,38,28,0.15,1.5,0
4/6/1990,37,19,0.01,0.4,0
4/7/1990,36,18,0,0, T
4/8/1990,51,26,0,0,0
4/9/1990,62,44,0.21,0,0
4/10/1990,47,33,0.36,0,0
4/11/1990,38,27,0.01,0.1,0
4/12/1990,39,20,0.01,0.1, T
4/13/1990,54,26,0.08,0,0
4/14/1990,48,36,0.32,0,0
4/15/1990,50,31,0.01,0,0
4/16/1990,59,30,0.17,0,0
4/17/1990,38,28, T, T,0
4/18/1990,51,26,0,0,0
4/19/1990,57,32,0.02,0,0
4/20/1990,55,50,0.63,0,0
4/21/1990,70,41,0,0,0
4/22/1990,71,37,0,0,0
4/23/1990,76,42,0,0,0
4/24/1990,84,59, T,0,0
4/25/1990,84,62,0,0,0
4/26/1990,84,63,0,0,0
4/27/1990,85,62,0,0,0
4/28/1990,80,58,0,0,0
4/29/1990,75,52,0,0,0
4/30/1990,69,40,0.02,0,0
5/1/1990,53,38,0,0,0
5/2/1990,63,32,0,0,0
5/3/1990,62,39,0,0,0
5/4/1990,51,43,0.86,0,0
5/5/1990,62,41,0,0,0
5/6/1990,62,41,0,0,0
5/7/1990,73,48,0,0,0
5/8/1990,81,58, T,0,0
5/9/1990,76,55,0.29,0,0
5/10/1990,56,35,0.56,0.2,0
5/11/1990,56,36,0,0,0
5/12/1990,52,38,0.23,0,0
5/13/1990,68,45,0,0,0
5/14/1990,61,40,0.03,0,0
5/15/1990,68,57,0.25,0,0
5/16/1990,67,60,0.93,0,0
5/17/1990,60,47,0.54,0,0
5/18/1990,58,47,0,0,0
5/19/1990,55,41,0.22,0,0
5/20/1990,53,47,0.12,0,0
5/21/1990,61,46,0,0,0
5/22/1990,67,42,0,0,0
5/23/1990,68,41, T,0,0
5/24/1990,69,52,0.29,0,0
5/25/1990,66,51,0.07,0,0
5/26/1990,73,52,0,0,0
5/27/1990,78,49,0,0,0
5/28/1990,76,50,0,0,0
5/29/1990,70,47,0,0,0
5/30/1990,71,39,0,0,0
5/31/1990,73,40,0,0,0
6/1/1990,82,49, T,0,0
6/2/1990,83,66,0.16,0,0
6/3/1990,71,44, T,0,0
6/4/1990,64,41,0,0,0
6/5/1990,64,38,0.01,0,0
6/6/1990,75,55,0.01,0,0
6/7/1990,80,48, T,0,0
6/8/1990,75,56,0.61,0,0
6/9/1990,74,59,0,0,0
6/10/1990,78,56,0,0,0
6/11/1990,79,50,0.02,0,0
6/12/1990,83,62,0.02,0,0
6/13/1990,87,69,0,0,0
6/14/1990,79,66, T,0,0
6/15/1990,85,57,0,0,0
6/16/1990,85,60, T,0,0
6/17/1990,91,71,0,0,0
6/18/1990,80,53,0,0,0
6/19/1990,77,51,0,0,0
6/20/1990,72,59,0.13,0,0
6/21/1990,81,59,0,0,0
6/22/1990,69,58,0.72,0,0
6/23/1990,63,55,0.08,0,0
6/24/1990,75,50,0,0,0
6/25/1990,83,45,0,0,0
6/26/1990,76,61,0.04,0,0
6/27/1990,79,57,0.39,0,0
6/28/1990,80,59,0.44,0,0
6/29/1990,80,66,0.37,0,0
6/30/1990,85,68,0,0,0
