Date,MaxTemperature,MinTemperature,Precipitation,Snowfall,SnowDepth
1/1/1990, M, M, M, M, M
1/2/1990, M, M, M, M, M
1/3/1990, M, M, M, M, M
1/4/1990, M, M, M, M, M
1/5/1990, M, M, M, M, M
1/6/1990, M, M, M, M, M
1/7/1990, M, M, M, M, M
1/8/1990, M, M, M, M, M
1/9/1990, M, M, M, M, M
1/10/1990, M, M, M, M, M
1/11/1990, M, M, M, M, M
1/12/1990, M, M, M, M, M
1/13/1990, M, M, M, M, M
1/14/1990, M, M, M, M, M
1/15/1990, M, M, M, M, M
1/16/1990, M, M, M, M, M
1/17/1990, M, M, M, M, M
1/18/1990, M, M, M, M, M
1/19/1990, M, M, M, M, M
1/20/1990, M, M, M, M, M
1/21/1990, M, M, M, M, M
1/22/1990, M, M, M, M, M
1/23/1990, M, M, M, M, M
1/24/1990, M, M, M, M, M
1/25/1990, M, M, M, M, M
1/26/1990, M, M, M, M, M
1/27/1990, M, M, M, M, M
1/28/1990, M, M, M, M, M
1/29/1990, M, M, M, M, M
1/30/1990, M, M, M, M, M
1/31/1990, M, M, M, M, M
2/1/1990, M, M, M, M, M
2/2/1990, M, M, M, M, M
2/3/1990, M, M, M, M, M
2/4/1990, M, M, M, M, M
2/5/1990, M, M, M, M, M
2/6/1990, M, M, M, M, M
2/7/1990, M, M, M, M, M
2/8/1990, M, M, M, M, M
2/9/1990, M, M, M, M, M
2/10/1990, M, M, M, M, M
2/11/1990, M, M, M, M, M
2/12/1990, M, M, M, M, M
2/13/1990, M, M, M, M, M
2/14/1990, M, M, M, M, M
2/15/1990, M, M, M, M, M
2/16/1990, M, M, M, M, M
2/17/1990, M, M, M, M, M
2/18/1990, M, M, M, M, M
2/19/1990, M, M, M, M, M
2/20/1990, M, M, M, M, M
2/21/1990, M, M, M, M, M
2/22/1990, M, M, M, M, M
2/23/1990, M, M, M, M, M
2/24/1990, M, M, M, M, M
2/25/1990, M, M, M, M, M
2/26/1990, M, M, M, M, M
2/27/1990, M, M, M, M, M
2/28/1990, M, M, M, M, M
3/1/1990, M, M, M, M, M
3/2/1990, M, M, M, M, M
3/3/1990, M, M, M, M, M
3/4/1990, M, M, M, M, M
3/5/1990, M, M, M, M, M
3/6/1990, M, M, M, M, M
3/7/1990, M, M, M, M, M
3/8/1990, M, M, M, M, M
3/9/1990, M, M, M, M, M
3/10/1990, M, M, M, M, M
3/11/1990, M, M, M, M, M
3/12/1990, M, M, M, M, M
3/13/1990, M, M, M, M, M
3/14/1990, M, M, M, M, M
3/15/1990, M, M, M, M, M
3/16/1990, M, M, M, M, M
3/17/1990, M, M, M, M, M
3/18/1990, M, M, M, M, M
3/19/1990, M, M, M, M, M
3/20/1990, M, M, M, M, M
3/21/1990, M, M, M, M, M
3/22/1990, M, M, M, M, M
3/23/1990, M, M, M, M, M
3/24/1990, M, M, M, M, M
3/25/1990, M, M, M, M, M
3/26/1990, M, M, M, M, M
3/27/1990, M, M, M, M, M
3/28/1990, M, M, M, M, M
3/29/1990, M, M, M, M, M
3/30/1990, M, M, M, M, M
3/31/1990, M, M, M, M, M
4/1/1990, M, M, M, M, M
4/2/1990, M, M, M, M, M
4/3/1990, M, M, M, M, M
4/4/1990, M, M, M, M, M
4/5/1990, M, M, M, M, M
4/6/1990, M, M, M, M, M
4/7/1990, M, M, M, M, M
4/8/1990, M, M, M, M, M
4/9/1990, M, M, M, M, M
4/10/1990, M, M, M, M, M
4/11/1990, M, M, M, M, M
4/12/1990, M, M, M, M, M
4/13/1990, M, M, M, M, M
4/14/1990, M, M, M, M, M
4/15/1990, M, M, M, M, M
4/16/1990, M, M, M, M, M
4/17/1990, M, M, M, M, M
4/18/1990, M, M, M, M, M
4/19/1990, M, M, M, M, M
4/20/1990, M, M, M, M, M
4/21/1990, M, M, M, M, M
4/22/1990, M, M, M, M, M
4/23/1990, M, M, M, M, M
4/24/1990, M, M, M, M, M
4/25/1990, M, M, M, M, M
4/26/1990, M, M, M, M, M
4/27/1990, M, M, M, M, M
4/28/1990, M, M, M, M, M
4/29/1990, M, M, M, M, M
4/30/1990, M, M, M, M, M
5/1/1990, M, M, M, M, M
5/2/1990, M, M, M, M, M
5/3/1990, M, M, M, M, M
5/4/1990, M, M, M, M, M
5/5/1990, M, M, M, M, M
5/6/1990, M, M, M, M, M
5/7/1990, M, M, M, M, M
5/8/1990, M, M, M, M, M
5/9/1990, M, M, M, M, M
5/10/1990, M, M, M, M, M
