Date,MaxTemperature,MinTemperature,Precipitation,Snowfall,SnowDepth
1/1/1990,42,23, T, T,5
1/2/1990,41,17,0,0,5
1/3/1990,46,10,0,0,5
1/4/1990,45,34,0,0,5
1/5/1990,41,23, T,0,4
1/6/1990,37,21,0,0,4
1/7/1990,41,7,0.01,0,4
1/8/1990,47,4,0,0,4
1/9/1990,36,15,0,0,4
1/10/1990,35,24,0.01,0,4
1/11/1990,36,28,0.08,1,5
1/12/1990,40, M,0.02,1,6
1/13/1990,19,12,0.01, T,5
1/14/1990, M, M, M, M,5
1/15/1990, M, M, M, M,4
1/16/1990,48,21,0.03,0,4
1/17/1990,40,26,0.05,0,4
1/18/1990,56,38,0.03,0,3
1/19/1990,39,15,0,0,3
1/20/1990,32,10,0,0,3
1/21/1990,26,13,0.44,7.5,11
1/22/1990,34,12,0.12,2.3,13
1/23/1990,40,14,0,0,12
1/24/1990,38,24,0.21,1.1,11
1/25/1990,34,26,0,0,11
1/26/1990,39,26,1.27,0.9,12
1/27/1990,45,26,0,0,11
1/28/1990,47,25,0,0,9
1/29/1990,30,20,0.73,7.6,16
1/30/1990,40,27,0.66,5,18
1/31/1990,47,19,0.01, T,14
2/1/1990,44,13,0,0,13
2/2/1990,44,16,0.32,2.7,16
2/3/1990,25,1,0.02,0.2,16
2/4/1990,27,12,0.67,6.8,21
2/5/1990,35,3,0.01,0.1,20
2/6/1990,40,4,0,0,19
2/7/1990,49,15,0,0,18
2/8/1990,52, M,0,0,13
2/9/1990,52,20,0,0,11
2/10/1990,40,26,0.21,0,10
2/11/1990,39,18,0,0,9
2/12/1990,38,7,0,0,9
2/13/1990,40,7,0,0,8
2/14/1990,39,19,0,0,7
2/15/1990,22,13,0.62,5.2,12
2/16/1990,31,16,0.51,3.2,14
2/17/1990,34,17,0,0,13
2/18/1990,33,-9,0,0,12
2/19/1990,46,0,0.06,0.5,11
2/20/1990,24,-1,0,0,8
2/21/1990,48,-10,0,0,6
2/22/1990,61,25,0.07,0,4
2/23/1990,59,26,0.09,1.5,6
2/24/1990,29,10,0.29,3,7
2/25/1990,23,3,0.07,0.4,10
2/26/1990,18,-10,0,0,10
2/27/1990,26,-9,0.05,0.7,10
2/28/1990,28,10,0,0,11
3/1/1990,38,-5,0,0,10
3/2/1990,55,26,0,0,6
3/3/1990,52,24,0,0,2
3/4/1990,28,10,0,0,1
3/5/1990,33,-1,0,0,1
3/6/1990,31,-4,0,0, T
3/7/1990,30,-4,0,0, T
3/8/1990,43,0,0,0, T
3/9/1990,56,11,0,0, T
3/10/1990,59,17, T,1, T
3/11/1990,57,24,0.01,0.8, T
3/12/1990,50,39,0.31,0, T
3/13/1990,51,42,0,0, T
3/14/1990,68,38,0,0, T
3/15/1990,70,50,0,0, T
3/16/1990,73,40,0,0, T
3/17/1990,71,46,0.01,0, T
3/18/1990,53,40,0,0, T
3/19/1990,49,35, T,0, T
3/20/1990,39,30,1.34,2,2
3/21/1990,43,35,0.42,3,4
3/22/1990,59,22,0,0,2
3/23/1990,42,28, T, T, T
3/24/1990,46,27,0,0, T
3/25/1990,43,16,0,0, T
3/26/1990,40,22,0.01,1,1
3/27/1990,35,12,0,0, T
3/28/1990,44,8,0.01, T, T
3/29/1990,47,15,0,0,0
3/30/1990,38,23,0.22,2.2,2
3/31/1990,49,27,0.12,0, T
4/1/1990,54,22,0,0,0
4/2/1990,48,23,0.05,0,0
4/3/1990,41,36,0.1,0,0
4/4/1990,48,34,0.42, T,0
4/5/1990,42,32,0,0,0
4/6/1990,49,29,0,0,0
4/7/1990,48,26,0,0,0
4/8/1990,45,24,0.01,0,0
4/9/1990,54,20,0,0,0
4/10/1990,49,30,0.38,0,0
4/11/1990,50,28,0.43,0,0
4/12/1990,40,24,0,0,0
4/13/1990,50,19,0,0,0
4/14/1990,56,20,0,0,0
4/15/1990,51,20,0.32,0,0
4/16/1990,62,33,0.01,0,0
4/17/1990,52,30,0.11,0,0
4/18/1990,41,22,0,0,0
4/19/1990,64,20,0,0,0
4/20/1990,58,26,0.02,0,0
4/21/1990,56,43,0.24,0,0
4/22/1990,70,32,0,0,0
4/23/1990,70,34,0,0,0
4/24/1990,74,30,0,0,0
4/25/1990, M, M,0.06,0,0
4/26/1990,88,52,0,0,0
4/27/1990,90,49,0,0,0
4/28/1990,93,48,0,0,0
4/29/1990,49,41,0.01,0,0
4/30/1990,54,42,0.05,0,0
5/1/1990,82,47,0.13,0,0
5/2/1990,63,42,0,0,0
5/3/1990,68,30,0,0,0
5/4/1990,72,31,0.06,0,0
5/5/1990,54,38,0.66,0,0
5/6/1990,62,36,0.2,0,0
5/7/1990,58,37,0.14,0,0
5/8/1990,55,36,0.15,0,0
5/9/1990,81,42,0.01,0,0
5/10/1990,67,52,0.12,0,0
5/11/1990,65,44,0.95,0,0
5/12/1990,68,32,0,0,0
5/13/1990,65,43,1.59,0,0
5/14/1990,75,45,0.04,0,0
5/15/1990,70,42,0,0,0
5/16/1990,70,50,0.22,0,0
5/17/1990,55,45,0.35,0,0
5/18/1990,60,45,0.07,0,0
5/19/1990,60,45,0.03,0,0
5/20/1990,60,42,0.26,0,0
5/21/1990,60,40,0.33,0,0
5/22/1990,53,41,0,0,0
5/23/1990,56,42,0,0,0
5/24/1990,69,36,0,0,0
5/25/1990,74,35,0,0,0
5/26/1990,79,43,0,0,0
5/27/1990,77,42,0,0,0
5/28/1990,80,44,0,0,0
5/29/1990,69,53,0.03,0,0
5/30/1990,62,48,0.3,0,0
5/31/1990,71,36,0,0,0
6/1/1990,82,46,0,0,0
6/2/1990,87,46,0,0,0
6/3/1990,80,63,0.53,0,0
6/4/1990,67,51,0.04,0,0
6/5/1990,65,39,0.01,0,0
6/6/1990,63,38,0.06,0,0
6/7/1990,80,52,0,0,0
6/8/1990,76,47,0.22,0,0
6/9/1990,77,56,0,0,0
6/10/1990,78,56,0.16,0,0
6/11/1990,63,52,0.47,0,0
6/12/1990,81,43,0,0,0
6/13/1990,81,44,0.01,0,0
6/14/1990,76,44,0,0,0
6/15/1990,83,58,0,0,0
6/16/1990,85,59,0,0,0
6/17/1990,87,62,0,0,0
6/18/1990,82,67,0,0,0
6/19/1990,84,64,0.35,0,0
6/20/1990,79,62,0.25,0,0
6/21/1990,80,59,0.51,0,0
6/22/1990,84,64,0.05,0,0
6/23/1990,71,63,1.1,0,0
6/24/1990,80,61,0.03,0,0
6/25/1990,84,56,0,0,0
6/26/1990,83,54,0,0,0
6/27/1990,81,57,0,0,0
6/28/1990,75,53,0,0,0
6/29/1990,64,46,0.8,0,0
6/30/1990,66,57,0.02,0,0
7/1/1990,74,55,0.59,0,0
7/2/1990,78,56,0.02,0,0
7/3/1990,82,55,0,0,0
7/4/1990,84,65,0,0,0
7/5/1990,76,63,0,0,0
7/6/1990,74,46,0,0,0
7/7/1990,76,46,0,0,0
7/8/1990,80,50,0,0,0
7/9/1990,85,50,0.05,0,0
7/10/1990,83,60,0.01,0,0
7/11/1990,76,50,0,0,0
7/12/1990,66,51,0.02,0,0
7/13/1990,78,53,0,0,0
7/14/1990,81,50,0,0,0
7/15/1990,88,62,0,0,0
7/16/1990,85,72,0,0,0
7/17/1990,88,59,0,0,0
7/18/1990,90,62,0,0,0
7/19/1990,89,65,0,0,0
7/20/1990,84,58,0,0,0
7/21/1990,87,67,0.4,0,0
7/22/1990,86,60,0.08,0,0
7/23/1990,87,65,0.05,0,0
7/24/1990,77,64,0.01,0,0
7/25/1990,85,62,0,0,0
7/26/1990,88,60,0,0,0
7/27/1990,87,60,0,0,0
7/28/1990,87,58,0.1,0,0
7/29/1990,88,63,0,0,0
7/30/1990,86,61,0,0,0
7/31/1990,87,57,0,0,0
8/1/1990,78,61,0,0,0
8/2/1990,84,52,0,0,0
8/3/1990,78,64,0,0,0
8/4/1990,91,56,0,0,0
8/5/1990,86,62,0,0,0
8/6/1990,73,63,1.97,0,0
8/7/1990,75,64,1.45,0,0
8/8/1990,84,64,0.05,0,0
8/9/1990,83,58,0,0,0
8/10/1990,83,62,0.73,0,0
8/11/1990,80,67,0.87,0,0
8/12/1990,85,63,0.03,0,0
8/13/1990,84,61,1.29,0,0
8/14/1990,77,61,0.03,0,0
8/15/1990,80,56,0,0,0
8/16/1990,82,62,0,0,0
8/17/1990,87,62,0,0,0
8/18/1990,88,62,0.01,0,0
8/19/1990,71,54,0,0,0
8/20/1990,71,47,0,0,0
8/21/1990,75,47,0,0,0
8/22/1990,79,52,0,0,0
8/23/1990,78,53,0,0,0
8/24/1990,75,65,0,0,0
8/25/1990,71,63,0.38,0,0
8/26/1990,86, M,0,0,0
8/27/1990,86,67,0,0,0
8/28/1990,85,68,0.01,0,0
8/29/1990,78,67,0,0,0
8/30/1990,79,60,0,0,0
8/31/1990,84,55,0,0,0
9/1/1990,78,54,0,0,0
9/2/1990,80,65,0,0,0
9/3/1990,75,48,0,0,0
9/4/1990,79,47, T,0,0
9/5/1990,81,57,0,0,0
9/6/1990,77,55,0,0,0
9/7/1990,79,54,0.4,0,0
9/8/1990,67,40,0,0,0
