Date, MaxTemperature, MinTemperature, Precipitation, Snowfall, SnowDepth
1990-01-01, 42, 23, T, T, 5
1990-01-02, 41, 17, 0.00, 0.0, 5
1990-01-03, 46, 10, 0.00, 0.0, 5
1990-01-04, 45, 34, 0.00, 0.0, 5
1990-01-05, 41, 23, T, 0.0, 4
1990-01-06, 37, 21, 0.00, 0.0, 4
1990-01-07, 41, 7, 0.01, 0.0, 4
1990-01-08, 47, 4, 0.00, 0.0, 4
1990-01-09, 36, 15, 0.00, 0.0, 4
1990-01-10, 35, 24, 0.01, 0.0, 4
1990-01-11, 36, 28, 0.08, 1.0, 5
1990-01-12, 40, M, 0.02, 1.0, 6
1990-01-13, 19, 12, 0.01, T, 5
1990-01-14, M, M, M, M, 5
1990-01-15, M, M, M, M, 4
1990-01-16, 48, 21, 0.03, 0.0, 4
1990-01-17, 40, 26, 0.05, 0.0, 4
1990-01-18, 56, 38, 0.03, 0.0, 3
1990-01-19, 39, 15, 0.00, 0.0, 3
1990-01-20, 32, 10, 0.00, 0.0, 3
1990-01-21, 26, 13, 0.44, 7.5, 11
1990-01-22, 34, 12, 0.12, 2.3, 13
1990-01-23, 40, 14, 0.00, 0.0, 12
1990-01-24, 38, 24, 0.21, 1.1, 11
1990-01-25, 34, 26, 0.00, 0.0, 11
1990-01-26, 39, 26, 1.27, 0.9, 12
1990-01-27, 45, 26, 0.00, 0.0, 11
1990-01-28, 47, 25, 0.00, 0.0, 9
1990-01-29, 30, 20, 0.73, 7.6, 16
1990-01-30, 40, 27, 0.66, 5.0, 18
1990-01-31, 47, 19, 0.01, T, 14
1990-02-01, 44, 13, 0.00, 0.0, 13
1990-02-02, 44, 16, 0.32, 2.7, 16
1990-02-03, 25, 1, 0.02, 0.2, 16
1990-02-04, 27, 12, 0.67, 6.8, 21
1990-02-05, 35, 3, 0.01, 0.1, 20
1990-02-06, 40, 4, 0.00, 0.0, 19
1990-02-07, 49, 15, 0.00, 0.0, 18
1990-02-08, 52, M, 0.00, 0.0, 13
1990-02-09, 52, 20, 0.00, 0.0, 11
1990-02-10, 40, 26, 0.21, 0.0, 10
1990-02-11, 39, 18, 0.00, 0.0, 9
1990-02-12, 38, 7, 0.00, 0.0, 9
1990-02-13, 40, 7, 0.00, 0.0, 8
1990-02-14, 39, 19, 0.00, 0.0, 7
1990-02-15, 22, 13, 0.62, 5.2, 12
1990-02-16, 31, 16, 0.51, 3.2, 14
1990-02-17, 34, 17, 0.00, 0.0, 13
1990-02-18, 33, -9, 0.00, 0.0, 12
1990-02-19, 46, -0, 0.06, 0.5, 11
1990-02-20, 24, -1, 0.00, 0.0, 8
1990-02-21, 48, -10, 0.00, 0.0, 6
1990-02-22, 61, 25, 0.07, 0.0, 4
1990-02-23, 59, 26, 0.09, 1.5, 6
1990-02-24, 29, 10, 0.29, 3.0, 7
1990-02-25, 23, 3, 0.07, 0.4, 10
1990-02-26, 18, -10, 0.00, 0.0, 10
1990-02-27, 26, -9, 0.05, 0.7, 10
1990-02-28, 28, 10, 0.00, 0.0, 11
1990-03-01, 38, -5, 0.00, 0.0, 10
1990-03-02, 55, 26, 0.00, 0.0, 6
1990-03-03, 52, 24, 0.00, 0.0, 2
1990-03-04, 28, 10, 0.00, 0.0, 1
1990-03-05, 33, -1, 0.00, 0.0, 1
1990-03-06, 31, -4, 0.00, 0.0, T
1990-03-07, 30, -4, 0.00, 0.0, T
1990-03-08, 43, -0, 0.00, 0.0, T
1990-03-09, 56, 11, 0.00, 0.0, T
1990-03-10, 59, 17, T, 1.0, T
1990-03-11, 57, 24, 0.01, 0.8, T
1990-03-12, 50, 39, 0.31, 0.0, T
1990-03-13, 51, 42, 0.00, 0.0, T
1990-03-14, 68, 38, 0.00, 0.0, T
1990-03-15, 70, 50, 0.00, 0.0, T
1990-03-16, 73, 40, 0.00, 0.0, T
1990-03-17, 71, 46, 0.01, 0.0, T
1990-03-18, 53, 40, 0.00, 0.0, T
1990-03-19, 49, 35, T, 0.0, T
1990-03-20, 39, 30, 1.34, 2.0, 2
1990-03-21, 43, 35, 0.42, 3.0, 4
1990-03-22, 59, 22, 0.00, 0.0, 2
1990-03-23, 42, 28, T, T, T
1990-03-24, 46, 27, 0.00, 0.0, T
1990-03-25, 43, 16, 0.00, 0.0, T
1990-03-26, 40, 22, 0.01, 1.0, 1
1990-03-27, 35, 12, 0.00, 0.0, T
1990-03-28, 44, 8, 0.01, T, T
1990-03-29, 47, 15, 0.00, 0.0, 0
1990-03-30, 38, 23, 0.22, 2.2, 2
1990-03-31, 49, 27, 0.12, 0.0, T
1990-04-01, 54, 22, 0.00, 0.0, 0
1990-04-02, 48, 23, 0.05, 0.0, 0
1990-04-03, 41, 36, 0.10, 0.0, 0
1990-04-04, 48, 34, 0.42, T, 0
1990-04-05, 42, 32, 0.00, 0.0, 0
1990-04-06, 49, 29, 0.00, 0.0, 0
1990-04-07, 48, 26, 0.00, 0.0, 0
1990-04-08, 45, 24, 0.01, 0.0, 0
1990-04-09, 54, 20, 0.00, 0.0, 0
1990-04-10, 49, 30, 0.38, 0.0, 0
1990-04-11, 50, 28, 0.43, 0.0, 0
1990-04-12, 40, 24, 0.00, 0.0, 0
1990-04-13, 50, 19, 0.00, 0.0, 0
1990-04-14, 56, 20, 0.00, 0.0, 0
1990-04-15, 51, 20, 0.32, 0.0, 0
1990-04-16, 62, 33, 0.01, 0.0, 0
