Date,MaxTemperature,MinTemperature,Precipitation,Snowfall,SnowDepth
1/1/1990,81,61,0,0,0
1/2/1990,70,43,0,0,0
1/3/1990,77,52,0,0,0
1/4/1990,78,52,0,0,0
1/5/1990,77,63,0.1,0,0
1/6/1990,84,64,0,0,0
1/7/1990,83,64,0,0,0
1/8/1990,82,66,0,0,0
1/9/1990,82,51,0,0,0
1/10/1990,81,46,0,0,0
1/11/1990,72,50,0,0,0
1/12/1990,73,50,0,0,0
1/13/1990,72,38,0,0,0
1/14/1990,70,40,0,0,0
1/15/1990,76,50,0,0,0
1/16/1990,77,58,0,0,0
1/17/1990,80,56,0,0,0
1/18/1990,80,52,0,0,0
1/19/1990,82,54,0,0,0
1/20/1990,84,61,0,0,0
1/21/1990,84,60,0,0,0
1/22/1990,81,66,0,0,0
1/23/1990,76,46,0,0,0
1/24/1990,83,55,0,0,0
1/25/1990,84,55,0,0,0
1/26/1990,81,56,0.09,0,0
1/27/1990,72,42,0,0,0
1/28/1990,79,42,0,0,0
1/29/1990,83,42,0,0,0
1/30/1990,82,61,0,0,0
1/31/1990,81,61,1.3,0,0
2/1/1990,83,60,0,0,0
2/2/1990,82,65,0,0,0
2/3/1990,82,62,0,0,0
2/4/1990,84,66,0,0,0
2/5/1990,80,50,0,0,0
2/6/1990,77,51,0,0,0
2/7/1990,80,54,0,0,0
2/8/1990,79,54,0,0,0
2/9/1990,81,53,0,0,0
2/10/1990,82,65,0,0,0
2/11/1990,84,66,1.78,0,0
2/12/1990,73,50,0,0,0
2/13/1990,75,46,0,0,0
2/14/1990,79,55,0,0,0
2/15/1990,84,66,0,0,0
2/16/1990,84,66,0,0,0
2/17/1990,85,65,0,0,0
2/18/1990,85,64,0,0,0
2/19/1990,86,65,0,0,0
2/20/1990,86,65,0,0,0
2/21/1990,81,63,1.1,0,0
2/22/1990,85,67,0.04,0,0
2/23/1990,84,60,2.02,0,0
2/24/1990,64,45,0.51,0,0
2/25/1990,64,45,0,0,0
2/26/1990,70,48,0,0,0
2/27/1990,74,44,0,0,0
2/28/1990,75,56,0,0,0
3/1/1990,76,55,0,0,0
3/2/1990,77,54,0,0,0
3/3/1990,78,61,0,0,0
3/4/1990,74,48,0,0,0
3/5/1990,78,51,0,0,0
3/6/1990,78,54,0,0,0
3/7/1990,79,62,0,0,0
3/8/1990,79,62,0,0,0
3/9/1990,78,55,0,0,0
3/10/1990,80,54,0,0,0
3/11/1990,82,55,0,0,0
3/12/1990,80,54,0,0,0
3/13/1990,81,54,0,0,0
3/14/1990,82,58,0,0,0
3/15/1990,85,64,0,0,0
3/16/1990,85,64,0,0,0
3/17/1990,86,64,0.02,0,0
3/18/1990,84,55,0.3,0,0
3/19/1990,76,52,0,0,0
3/20/1990,75,55,0,0,0
3/21/1990,72,46,0,0,0
3/22/1990,76,49,0,0,0
3/23/1990,78,52,0,0,0
3/24/1990,80,50,0,0,0
3/25/1990,81,52,0,0,0
3/26/1990,83,58,0,0,0
3/27/1990,83,59,0,0,0
3/28/1990,81,60,0,0,0
3/29/1990,85,60,0,0,0
3/30/1990,86,65,1.24,0,0
3/31/1990,78,67,0.35,0,0
4/1/1990,81,65,0,0,0
4/2/1990,87,62,0,0,0
4/3/1990,78,66,0.13,0,0
4/4/1990,78,48,0,0,0
4/5/1990,75,45,0,0,0
4/6/1990,80,47,0,0,0
4/7/1990,81,62,0,0,0
4/8/1990,79,61,0,0,0
4/9/1990,74,61,0,0,0
4/10/1990,84,61,0,0,0
4/11/1990,82,67,1.1,0,0
4/12/1990,79,55,0,0,0
4/13/1990,75,57,0,0,0
4/14/1990,82,56,0,0,0
4/15/1990,82,63,0,0,0
4/16/1990,84,57,0,0,0
4/17/1990,85,65,0,0,0
4/18/1990,87,64,0,0,0
4/19/1990,88,68,0.3,0,0
4/20/1990,78,65,0,0,0
4/21/1990,77,56,0,0,0
4/22/1990,82,56,0,0,0
4/23/1990,82,59,0,0,0
4/24/1990,81,62,0.23,0,0
4/25/1990,82,60,0.01,0,0
4/26/1990,83,59,0,0,0
4/27/1990,85,62,0,0,0
4/28/1990,85,67,0.01,0,0
4/29/1990,87,66,0.03,0,0
4/30/1990,89,63,0,0,0
5/1/1990,90,64,0,0,0
5/2/1990,93,64,0,0,0
5/3/1990,93,71,0,0,0
5/4/1990,93,69,0,0,0
5/5/1990,89,66,0,0,0
5/6/1990,89,65,0,0,0
5/7/1990,89,65,0,0,0
5/8/1990,84,57,0,0,0
