Date,MaxTemperature, MinTemperature,Precipitation,Snowfall,SnowDepth
1/1/1991,74,47,0,0,0
1/2/1991,66,51, T,0,0
1/3/1991,58,54,0.66,0,0
1/4/1991,61,53,0.38,0,0
1/5/1991,66,54, T,0,0
1/6/1991,59,54, T,0,0
1/7/1991,63,52,0,0,0
1/8/1991,59,47,0,0,0
1/9/1991,56,51,0.32,0,0
1/10/1991,62,44,0,0,0
1/11/1991,63,47,0,0,0
1/12/1991,67,49,0,0,0
1/13/1991,78,50,0,0,0
1/14/1991,79,53,0,0,0
1/15/1991,68,50,0,0,0
1/16/1991,75,52,0,0,0
1/17/1991,72,48,0,0,0
1/18/1991,72,50,0,0,0
1/19/1991,67,48,0,0,0
1/20/1991,61,49,0,0,0
1/21/1991,66,51,0.02,0,0
1/22/1991,66,45,0,0,0
1/23/1991,64,44,0,0,0
1/24/1991,61,48,0,0,0
1/25/1991,59,48,0,0,0
1/26/1991,62,47,0,0,0
1/27/1991,62,46,0,0,0
1/28/1991,61,47,0,0,0
1/29/1991,61,46,0,0,0
1/30/1991,68,45,0,0,0
1/31/1991,74,46,0,0,0
2/1/1991,75,48,0,0,0
2/2/1991,62,47, T,0,0
2/3/1991,65,46,0,0,0
2/4/1991,61,51,0,0,0
2/5/1991,71,52,0,0,0
2/6/1991,66,54,0,0,0
2/7/1991,65,53,0,0,0
2/8/1991,62,51,0,0,0
2/9/1991,74,48,0,0,0
2/10/1991,74,51,0,0,0
2/11/1991,75,51,0,0,0
2/12/1991,72,52,0,0,0
2/13/1991,63,51,0,0,0
2/14/1991,81,53,0,0,0
2/15/1991,73,56,0,0,0
2/16/1991,64,56,0,0,0
2/17/1991,65,51,0,0,0
2/18/1991,76,58,0,0,0
2/19/1991,73,51,0,0,0
2/20/1991,75,51,0,0,0
2/21/1991,66,51,0,0,0
2/22/1991,63,47,0,0,0
2/23/1991,66,52,0,0,0
2/24/1991,63,55,0,0,0
2/25/1991,62,54,0,0,0
2/26/1991,63,53,0,0,0
2/27/1991,60,56,1.6,0,0
2/28/1991,62,54,0.93,0,0
3/1/1991,61,55,0.72,0,0
3/2/1991,63,50,0,0,0
3/3/1991,66,50,0,0,0
3/4/1991,69,54,0.1,0,0
3/5/1991,62,55,0,0,0
3/6/1991,64,51,0,0,0
3/7/1991,67,48,0,0,0
3/8/1991,71,50,0,0,0
3/9/1991,67,49,0,0,0
3/10/1991,63,52,0.02,0,0
3/11/1991,58,46, T,0,0
3/12/1991,62,45,0,0,0
3/13/1991,60,49,0.14,0,0
3/14/1991,59,46,0,0,0
3/15/1991,54,46,0,0,0
3/16/1991,59,40,0,0,0
3/17/1991,64,45,0,0,0
3/18/1991,63,53,0.68,0,0
3/19/1991,58,49,0.23,0,0
3/20/1991,57,50,0.52,0,0
3/21/1991,58,44,0,0,0
3/22/1991,61,46,0,0,0
3/23/1991,57,48,0,0,0
3/24/1991,58,48,0.02,0,0
3/25/1991,58,50,0.48,0,0
3/26/1991,57,45,0.7,0,0
3/27/1991,57,44,0.35, T,0
3/28/1991,62,46,0,0,0
3/29/1991,62,48,0,0,0
3/30/1991,66,50,0,0,0
3/31/1991,60,52,0,0,0
4/1/1991,60,53, T,0,0
4/2/1991,67,51,0,0,0
4/3/1991,65,51,0,0,0
4/4/1991,78,53,0,0,0
4/5/1991,77,56,0,0,0
4/6/1991,68,53,0,0,0
4/7/1991,64,55,0,0,0
4/8/1991,68,54,0,0,0
4/9/1991,76,55,0,0,0
4/10/1991,73,59,0,0,0
4/11/1991,70,56,0,0,0
4/12/1991,68,53,0,0,0
4/13/1991,63,50,0,0,0
4/14/1991,65,51,0,0,0
4/15/1991,65,54,0,0,0
4/16/1991,61,53,0,0,0
4/17/1991,62,52,0,0,0
4/18/1991,63,51,0,0,0
4/19/1991,63,52,0,0,0
4/20/1991,62,54, T,0,0
4/21/1991,64,54,0,0,0
4/22/1991,63,55,0,0,0
4/23/1991,67,56,0,0,0
4/24/1991,65,54,0,0,0
4/25/1991,65,56,0,0,0
4/26/1991,66,52,0,0,0
4/27/1991,82,53,0,0,0
4/28/1991,82,58,0,0,0
4/29/1991,80,57,0,0,0
4/30/1991,72,54,0,0,0
5/1/1991,64,53,0,0,0
5/2/1991,60,49,0,0,0
5/3/1991,63,51,0,0,0
5/4/1991,67,52,0,0,0
5/5/1991,86,56,0,0,0
5/6/1991,74,57,0,0,0
5/7/1991,75,58,0,0,0
5/8/1991,74,56,0,0,0
5/9/1991,68,55,0,0,0
5/10/1991,66,53,0,0,0
5/11/1991,67,52,0,0,0
5/12/1991,65,52,0,0,0
5/13/1991,66,54,0,0,0
5/14/1991,67,54,0,0,0
5/15/1991,70,54,0,0,0
5/16/1991,74,56,0,0,0
5/17/1991,68,54,0,0,0
5/18/1991,63,50,0,0,0
5/19/1991,64,49,0,0,0
5/20/1991,63,51,0,0,0
5/21/1991,62,55,0,0,0
5/22/1991,65,54,0,0,0
5/23/1991,65,54,0,0,0
5/24/1991,65,54, T,0,0
5/25/1991,63,55,0,0,0
5/26/1991,66,56,0,0,0
5/27/1991,65,55,0,0,0
5/28/1991,65,54,0,0,0
5/29/1991,65,55, T,0,0
5/30/1991,65,54,0,0,0
5/31/1991,67,51,0,0,0
6/1/1991,69,57,0,0,0
6/2/1991,66,55,0,0,0
6/3/1991,65,55,0,0,0
6/4/1991,66,56,0,0,0
6/5/1991,67,57,0,0,0
6/6/1991,65,56,0,0,0
6/7/1991,67,55,0,0,0
6/8/1991,65,56,0,0,0
6/9/1991,68,58,0,0,0
6/10/1991,65,58,0,0,0
6/11/1991,68,59,0,0,0
6/12/1991,68,60,0,0,0
6/13/1991,69,61,0,0,0
6/14/1991,69,59, T,0,0
6/15/1991,71,59,0,0,0
6/16/1991,68,58,0,0,0
6/17/1991,70,59,0,0,0
6/18/1991,70,62,0,0,0
6/19/1991,69,60,0,0,0
6/20/1991,73,59,0,0,0
6/21/1991,72,58,0,0,0
6/22/1991,77,59,0,0,0
6/23/1991,70,59,0,0,0
6/24/1991,69,59,0,0,0
6/25/1991,71,58,0,0,0
6/26/1991,75,59,0,0,0
6/27/1991,72,60, T,0,0
6/28/1991,72,60, T,0,0
6/29/1991,71,61,0,0,0
6/30/1991,74,61,0,0,0
7/1/1991,72,60,0,0,0
7/2/1991,72,59,0,0,0
7/3/1991,72,60,0,0,0
7/4/1991,73,60,0,0,0
7/5/1991,73,62,0,0,0
7/6/1991,76,63,0,0,0
7/7/1991,75,64, T,0,0
7/8/1991,73,63,0.1,0,0
7/9/1991,76,61,0,0,0
7/10/1991,72,62,0,0,0
7/11/1991,71,63,0,0,0
7/12/1991,71,61,0,0,0
7/13/1991,71,61,0,0,0
7/14/1991,72,62,0,0,0
7/15/1991,73,63,0,0,0
7/16/1991,73,63,0,0,0
7/17/1991,71,62,0,0,0
7/18/1991,71,64,0,0,0
7/19/1991,69,62,0.05,0,0
7/20/1991,72,61,0,0,0
7/21/1991,71,60,0,0,0
7/22/1991,70,62,0,0,0
7/23/1991,71,63,0,0,0
7/24/1991,72,64,0,0,0
7/25/1991,73,64,0,0,0
7/26/1991,71,62,0,0,0
7/27/1991,72,62,0,0,0
7/28/1991,70,61,0,0,0
7/29/1991,71,62,0,0,0
7/30/1991,72,63,0,0,0
7/31/1991,71,63,0.02,0,0
8/1/1991,71,63,0,0,0
8/2/1991,71,63,0,0,0
8/3/1991,72,62,0,0,0
8/4/1991,72,61,0,0,0
8/5/1991,72,63,0,0,0
8/6/1991,73,62,0,0,0
8/7/1991,72,62,0,0,0
8/8/1991,71,62,0,0,0
8/9/1991,74,63,0,0,0
8/10/1991,77,63,0,0,0
8/11/1991,79,65, T,0,0
8/12/1991,94,67, T,0,0
8/13/1991,84,69,0,0,0
8/14/1991,73,65, T,0,0
8/15/1991,75,64, T,0,0
8/16/1991,74,64,0,0,0
8/17/1991,72,64,0,0,0
8/18/1991,73,64,0,0,0
8/19/1991,73,64,0,0,0
8/20/1991,73,64,0,0,0
8/21/1991,75,63,0,0,0
8/22/1991,74,64,0,0,0
8/23/1991,74,65,0,0,0
8/24/1991,78,64,0,0,0
8/25/1991,76,64,0,0,0
8/26/1991,73,63,0,0,0
8/27/1991,73,62,0,0,0
8/28/1991,76,60,0,0,0
8/29/1991,73,61,0,0,0
8/30/1991,73,60,0,0,0
8/31/1991,72,62,0,0,0
9/1/1991,79,62,0,0,0
9/2/1991,75,64,0,0,0
9/3/1991,72,63,0,0,0
9/4/1991,74,63,0,0,0
9/5/1991,72,62, T,0,0
9/6/1991,72,63,0,0,0
9/7/1991,68,63,0,0,0
9/8/1991,71,61,0,0,0
9/9/1991,70,63,0,0,0
9/10/1991,71,61,0,0,0
9/11/1991,70,59,0,0,0
9/12/1991,69,60,0,0,0
9/13/1991,68,63,0,0,0
9/14/1991,67,62, T,0,0
9/15/1991,71,62, T,0,0
9/16/1991,68,61,0,0,0
9/17/1991,69,60,0,0,0
9/18/1991,78,62, T,0,0
9/19/1991,75,61,0,0,0
9/20/1991,73,61,0,0,0
9/21/1991,72,62,0,0,0
9/22/1991,80,63,0,0,0
9/23/1991,84,66,0,0,0
9/24/1991,82,66,0,0,0
9/25/1991,72,63,0,0,0
9/26/1991,73,62,0,0,0
9/27/1991,80,65,0,0,0
9/28/1991,75,63,0.09,0,0
9/29/1991,72,62,0,0,0
9/30/1991,74,61,0,0,0
10/1/1991,88,65,0,0,0
10/2/1991,87,66,0,0,0
10/3/1991,77,63,0,0,0
10/4/1991,73,63,0,0,0
10/5/1991,69,63,0,0,0
10/6/1991,71,63,0,0,0
10/7/1991,69,61,0,0,0
10/8/1991,71,60,0,0,0
10/9/1991,76,59,0,0,0
10/10/1991,95,65,0,0,0
10/11/1991,91,64,0,0,0
10/12/1991,83,65,0,0,0
10/13/1991,80,61,0,0,0
10/14/1991,67,60,0,0,0
10/15/1991,70,60,0,0,0
10/16/1991,71,61,0,0,0
10/17/1991,71,62,0,0,0
10/18/1991,75,59,0,0,0
10/19/1991,82,60,0,0,0
10/20/1991,76,61,0,0,0
10/21/1991,74,65,0,0,0
10/22/1991,70,66, T,0,0
10/23/1991,72,62,0,0,0
10/24/1991,69,57,0,0,0
10/25/1991,69,56,0,0,0
10/26/1991,66,57,0.06,0,0
10/27/1991,69,54,0,0,0
10/28/1991,70,54,0,0,0
10/29/1991,68,51,0,0,0
10/30/1991,69,51,0,0,0
10/31/1991,71,48,0,0,0
11/1/1991,75,50,0,0,0
11/2/1991,72,51,0,0,0
11/3/1991,78,52,0,0,0
11/4/1991,85,56,0,0,0
11/5/1991,84,58,0,0,0
11/6/1991,84,57,0,0,0
11/7/1991,66,57,0,0,0
11/8/1991,71,59,0,0,0
11/9/1991,67,59,0,0,0
11/10/1991,67,59,0,0,0
11/11/1991,70,57,0,0,0
11/12/1991,86,56,0,0,0
11/13/1991,82,59,0,0,0
11/14/1991,70,57,0,0,0
11/15/1991,68,53,0,0,0
11/16/1991,65,49,0,0,0
11/17/1991,63,50, T,0,0
11/18/1991,68,52,0,0,0
11/19/1991,75,49,0,0,0
11/20/1991,79,54,0,0,0
11/21/1991,70,54,0,0,0
11/22/1991,78,51,0,0,0
11/23/1991,81,55,0,0,0
11/24/1991,80,54,0,0,0
11/25/1991,76,51,0,0,0
11/26/1991,75,51,0,0,0
11/27/1991,64,50,0,0,0
11/28/1991,69,52,0,0,0
11/29/1991,62,45,0,0,0
11/30/1991,65,49,0,0,0
12/1/1991,63,44,0,0,0
12/2/1991,62,43,0,0,0
12/3/1991,71,46,0,0,0
12/4/1991,77,52,0,0,0
12/5/1991,68,51,0,0,0
12/6/1991,60,48,0,0,0
12/7/1991,57,51,0.05,0,0
12/8/1991,59,51,0.27,0,0
12/9/1991,73,54, T,0,0
12/10/1991,70,58,0.04,0,0
12/11/1991,65,56,0,0,0
12/12/1991,65,51,0,0,0
12/13/1991,68,46,0,0,0
12/14/1991,80,52,0,0,0
12/15/1991,77,53,0,0,0
12/16/1991,77,54,0,0,0
12/17/1991,69,57, T,0,0
12/18/1991,64,56, T,0,0
12/19/1991,63,53,0,0,0
12/20/1991,72,47,0,0,0
12/21/1991,72,48,0,0,0
12/22/1991,66,51,0,0,0
12/23/1991,71,52,0,0,0
12/24/1991,69,47,0,0,0
12/25/1991,66,45,0,0,0
12/26/1991,65,48,0,0,0
12/27/1991,67,46,0.84,0,0
12/28/1991,59,50,0.47,0,0
12/29/1991,58,51,1.07,0,0
12/30/1991,61,49,0.12,0,0
12/31/1991,67,47,0,0,0
1/1/1992,71,48,0,0,0
1/2/1992,73,56,0.01,0,0
1/3/1992,60,50,0.39,0,0
1/4/1992,66,52,0,0,0
1/5/1992,59,50,0.84,0,0
1/6/1992,58,44,0,0,0
1/7/1992,53,46,0.37,0,0
1/8/1992,62,42,0,0,0
1/9/1992,67,43,0,0,0
1/10/1992,73,48,0,0,0
1/11/1992,69,50,0,0,0
1/12/1992,66,50,0,0,0
1/13/1992,65,42,0,0,0
1/14/1992,66,44,0,0,0
1/15/1992,73,48,0,0,0
1/16/1992,75,48,0,0,0
1/17/1992,66,49,0,0,0
1/18/1992,65,45,0,0,0
1/19/1992,73,46,0,0,0
1/20/1992,71,47,0,0,0
1/21/1992,66,48,0,0,0
1/22/1992,68,46,0,0,0
1/23/1992,75,46,0,0,0
1/24/1992,82,48,0,0,0
1/25/1992,72,49,0,0,0
1/26/1992,64,50,0,0,0
1/27/1992,68,47,0,0,0
1/28/1992,69,49,0,0,0
1/29/1992,77,49,0,0,0
1/30/1992,83,54,0,0,0
1/31/1992,79,52,0,0,0
2/1/1992,67,53,0,0,0
2/2/1992,70,50,0,0,0
2/3/1992,77,52,0,0,0
2/4/1992,76,53,0,0,0
2/5/1992,69,54,0.04,0,0
2/6/1992,60,56,0.8,0,0
2/7/1992,61,54,0.51,0,0
2/8/1992,64,51,0,0,0
2/9/1992,64,52,0.19,0,0
2/10/1992,61,51,0.6,0,0
2/11/1992,65,56,0.57,0,0
2/12/1992,59,55,1.38,0,0
2/13/1992,60,54,0.2,0,0
2/14/1992,61,50,0,0,0
2/15/1992,59,52,0.38,0,0
2/16/1992,61,49,0.02,0,0
2/17/1992,61,52,0.01,0,0
2/18/1992,63,49,0,0,0
2/19/1992,66,50,0,0,0
2/20/1992,65,56, T,0,0
2/21/1992,64,58,0,0,0
2/22/1992,77,54,0,0,0
2/23/1992,78,56,0,0,0
2/24/1992,79,51,0,0,0
2/25/1992,79,53,0,0,0
2/26/1992,79,56,0,0,0
2/27/1992,83,55,0,0,0
2/28/1992,80,56,0,0,0
2/29/1992,74,56,0,0,0
3/1/1992,70,56,0.1,0,0
3/2/1992,60,55,1.28,0,0
3/3/1992,64,54,0.34,0,0
3/4/1992,63,55,0,0,0
3/5/1992,62,55,0.02,0,0
3/6/1992,62,54,0.52,0,0
3/7/1992,60,49,0,0,0
3/8/1992,62,50, T,0,0
3/9/1992,64,52,0,0,0
3/10/1992,65,51,0,0,0
3/11/1992,67,52,0,0,0
3/12/1992,69,55,0,0,0
3/13/1992,65,56,0,0,0
3/14/1992,62,55,0,0,0
3/15/1992,64,52,0,0,0
3/16/1992,65,50,0,0,0
3/17/1992,67,52,0,0,0
3/18/1992,65,52,0,0,0
3/19/1992,65,51,0,0,0
3/20/1992,60,55,1.04,0,0
3/21/1992,63,54,0.23,0,0
3/22/1992,65,53,0.71,0,0
3/23/1992,63,53,0.05,0,0
3/24/1992,68,51,0,0,0
3/25/1992,67,54, T,0,0
3/26/1992,71,57,0.1,0,0
3/27/1992,64,57,0.56,0,0
3/28/1992,67,58, T,0,0
3/29/1992,65,58,0,0,0
3/30/1992,64,57, T,0,0
3/31/1992,64,53,0.13,0,0
4/1/1992,75,54,0.18,0,0
4/2/1992,70,54,0,0,0
4/3/1992,72,60,0,0,0
4/4/1992,67,61,0,0,0
4/5/1992,69,61,0,0,0
4/6/1992,67,60,0,0,0
4/7/1992,67,57,0,0,0
4/8/1992,68,58,0,0,0
4/9/1992,67,60,0,0,0
4/10/1992,69,59,0,0,0
4/11/1992,68,57,0,0,0
4/12/1992,67,52,0,0,0
4/13/1992,68,55,0,0,0
4/14/1992,71,58,0,0,0
4/15/1992,69,59,0,0,0
4/16/1992,70,56,0,0,0
4/17/1992,72,59,0,0,0
4/18/1992,74,60,0,0,0
4/19/1992,81,61,0,0,0
4/20/1992,79,60,0,0,0
4/21/1992,74,59,0,0,0
4/22/1992,71,59,0,0,0
4/23/1992,75,57,0,0,0
4/24/1992,77,60,0,0,0
4/25/1992,80,62,0,0,0
4/26/1992,80,62,0,0,0
4/27/1992,80,61,0,0,0
4/28/1992,77,61,0,0,0
4/29/1992,75,62,0,0,0
4/30/1992,75,58,0,0,0
5/1/1992,72,59,0,0,0
5/2/1992,74,59,0,0,0
5/3/1992,73,60,0,0,0
5/4/1992,70,60,0,0,0
5/5/1992,70,61,0.04,0,0
5/6/1992,70,63, T,0,0
5/7/1992,68,62,0,0,0
5/8/1992,69,63, T,0,0
5/9/1992,68,63, T,0,0
5/10/1992,74,63, T,0,0
5/11/1992,71,65, T,0,0
5/12/1992,74,61,0,0,0
5/13/1992,73,62,0,0,0
5/14/1992,72,59,0,0,0
5/15/1992,71,60,0,0,0
5/16/1992,71,59,0,0,0
5/17/1992,72,59,0,0,0
5/18/1992,70,61,0,0,0
5/19/1992,71,61,0,0,0
5/20/1992,73,59,0,0,0
5/21/1992,73,60,0,0,0
5/22/1992,73,61,0,0,0
5/23/1992,69,61,0,0,0
5/24/1992,70,61, T,0,0
5/25/1992,68,61,0,0,0
5/26/1992,70,63, T,0,0
5/27/1992,70,63,0,0,0
5/28/1992,70,61,0,0,0
5/29/1992,71,61,0,0,0
5/30/1992,71,63,0,0,0
5/31/1992,70,62,0,0,0
6/1/1992,70,60,0,0,0
6/2/1992,70,60,0,0,0
6/3/1992,71,60,0,0,0
6/4/1992,71,62,0,0,0
6/5/1992,68,62,0,0,0
6/6/1992,69,62,0,0,0
6/7/1992,72,60,0,0,0
6/8/1992,71,60,0,0,0
6/9/1992,70,60,0,0,0
6/10/1992,66,62, T,0,0
6/11/1992,73,62,0,0,0
6/12/1992,74,60,0,0,0
6/13/1992,75,57,0,0,0
6/14/1992,71,58,0,0,0
6/15/1992,71,58,0,0,0
6/16/1992,72,57,0,0,0
6/17/1992,73,59,0,0,0
6/18/1992,72,59,0,0,0
6/19/1992,69,58,0,0,0
6/20/1992,72,58,0,0,0
6/21/1992,71,60,0,0,0
6/22/1992,69,59,0,0,0
6/23/1992,74,60,0,0,0
6/24/1992,73,59,0,0,0
6/25/1992,76,60,0,0,0
6/26/1992,72,62,0,0,0
6/27/1992,73,61,0,0,0
6/28/1992,79,62,0,0,0
6/29/1992,73,61,0,0,0
6/30/1992,75,60,0,0,0
7/1/1992,73,60,0,0,0
7/2/1992,75,61,0,0,0
7/3/1992,71,61,0,0,0
7/4/1992,73,61,0,0,0
7/5/1992,78,61,0,0,0
7/6/1992,84,63,0,0,0
7/7/1992,85,68,0.02,0,0
7/8/1992,92,69, T,0,0
7/9/1992,83,69, T,0,0
7/10/1992,78,68, T,0,0
7/11/1992,75,68,0.02,0,0
7/12/1992,77,68,0.28,0,0
7/13/1992,78,70, T,0,0
7/14/1992,78,66,0,0,0
7/15/1992,75,66,0,0,0
7/16/1992,78,67,0,0,0
7/17/1992,77,66,0,0,0
7/18/1992,81,67,0,0,0
7/19/1992,81,67,0,0,0
7/20/1992,77,68,0,0,0
7/21/1992,78,67,0,0,0
7/22/1992,76,67,0,0,0
7/23/1992,76,66,0,0,0
7/24/1992,76,66,0,0,0
7/25/1992,76,68,0,0,0
7/26/1992,73,65,0,0,0
7/27/1992,73,65, T,0,0
7/28/1992,73,64,0,0,0
7/29/1992,74,64,0,0,0
7/30/1992,76,64,0,0,0
7/31/1992,75,65,0,0,0
8/1/1992,77,65,0,0,0
8/2/1992,77,66,0,0,0
8/3/1992,81,67,0,0,0
8/4/1992,82,66,0,0,0
8/5/1992,78,66,0,0,0
8/6/1992,77,66,0,0,0
8/7/1992,80,68,0,0,0
8/8/1992,78,66,0,0,0
8/9/1992,78,66,0,0,0
8/10/1992,81,67,0,0,0
8/11/1992,80,68,0,0,0
8/12/1992,79,67,0,0,0
8/13/1992,82,68,0,0,0
8/14/1992,86,72,0,0,0
8/15/1992,84,70,0,0,0
8/16/1992,84,68,0,0,0
8/17/1992,85,69,0,0,0
8/18/1992,78,68,0,0,0
8/19/1992,81,67,0,0,0
8/20/1992,79,66,0,0,0
8/21/1992,79,66,0,0,0
8/22/1992,79,66,0,0,0
8/23/1992,79,64,0,0,0
8/24/1992,79,66,0,0,0
8/25/1992,76,66,0,0,0
8/26/1992,76,65,0,0,0
8/27/1992,81,65,0,0,0
8/28/1992,84,65,0,0,0
8/29/1992,77,64,0,0,0
8/30/1992,73,61,0,0,0
8/31/1992,74,61,0,0,0
9/1/1992,73,65,0,0,0
9/2/1992,74,65,0,0,0
9/3/1992,76,64,0,0,0
9/4/1992,77,61,0,0,0
9/5/1992,80,63,0,0,0
9/6/1992,80,64,0,0,0
9/7/1992,77,63,0,0,0
9/8/1992,74,63,0,0,0
9/9/1992,74,64,0,0,0
9/10/1992,73,64,0,0,0
9/11/1992,73,63,0,0,0
9/12/1992,76,62,0,0,0
9/13/1992,76,63,0,0,0
9/14/1992,74,64,0,0,0
9/15/1992,73,63,0,0,0
9/16/1992,75,62,0,0,0
9/17/1992,83,65,0,0,0
9/18/1992,78,64,0,0,0
9/19/1992,77,61,0,0,0
9/20/1992,77,62,0,0,0
9/21/1992,74,63,0,0,0
9/22/1992,79,63,0,0,0
9/23/1992,90,67,0,0,0
9/24/1992,84,65,0,0,0
9/25/1992,83,64,0,0,0
9/26/1992,76,64,0,0,0
9/27/1992,79,63,0,0,0
9/28/1992,80,66,0,0,0
9/29/1992,86,64,0,0,0
9/30/1992,84,64,0,0,0
10/1/1992,81,64,0,0,0
10/2/1992,72,61,0,0,0
10/3/1992,74,59,0,0,0
10/4/1992,76,59,0,0,0
10/5/1992,77,61,0,0,0
10/6/1992,71,60,0,0,0
10/7/1992,75,60,0,0,0
10/8/1992,72,59,0,0,0
10/9/1992,76,57,0,0,0
10/10/1992,71,61,0,0,0
10/11/1992,69,60,0,0,0
10/12/1992,71,60,0,0,0
10/13/1992,70,63,0,0,0
10/14/1992,73,65,0,0,0
10/15/1992,71,61,0,0,0
10/16/1992,70,60,0,0,0
10/17/1992,70,58,0,0,0
10/18/1992,70,62,0,0,0
10/19/1992,71,62,0,0,0
10/20/1992,76,59,0,0,0
10/21/1992,71,63,0.24,0,0
10/22/1992,74,60,0,0,0
10/23/1992,90,63,0.05,0,0
10/24/1992,73,64,0,0,0
10/25/1992,73,62,0,0,0
10/26/1992,74,60,0,0,0
10/27/1992,73,62, T,0,0
10/28/1992,70,61, T,0,0
10/29/1992,70,63, T,0,0
10/30/1992,68,60,0.21,0,0
10/31/1992,75,56,0,0,0
11/1/1992,81,56,0,0,0
11/2/1992,80,60,0,0,0
11/3/1992,85,61,0,0,0
11/4/1992,75,55,0,0,0
11/5/1992,75,57,0,0,0
11/6/1992,80,56,0,0,0
11/7/1992,76,56,0,0,0
11/8/1992,72,58,0,0,0
11/9/1992,73,61,0,0,0
11/10/1992,74,57,0,0,0
11/11/1992,74,48,0,0,0
11/12/1992,80,52,0,0,0
