Date,MaxTemperature,MinTemperature,Precipitation,Snowfall,SnowDepth
1/1/1990,43,29,0.7,0,0
1/2/1990,40,25,0,0,0
1/3/1990,40,26,0,0,0
1/4/1990,50,28,0,0,0
1/5/1990,46,33,0,0,0
1/6/1990,46,29,0,0,0
1/7/1990,44,22,0,0,0
1/8/1990,42,23,0,0,0
1/9/1990,38,28,0.7, M, M
1/10/1990,45,30,0.1,0,0
1/11/1990,44,35,0,0,0
1/12/1990,42,32,0,0,0
1/13/1990,40,21,0,0,0
1/14/1990,31,20,0,0,0
1/15/1990,35,22,0.3, M, M
1/16/1990,36,30,0,0,0
1/17/1990,54,31,0,0,0
1/18/1990,60,37,0,0,0
1/19/1990,63,32,0,0,0
1/20/1990,38,22,0,0,0
1/21/1990,33,29,0.7,1, M
1/22/1990,35,30,0.2,0,0
1/23/1990,40,30,0,0,0
1/24/1990,42, M,0,0,0
1/25/1990,51,30,0.2,0,0
1/26/1990,57,39,0.5,0,0
1/27/1990,39,28,0,0,0
1/28/1990,43,28,0,0,0
1/29/1990,55,31,0,0,0
1/30/1990,38,32,1.6,0,0
1/31/1990,43,26,0,0,0
2/1/1990,51,27,0,0,0
2/2/1990,52,27,0,0,0
2/3/1990,50,28,0.1,0,0
2/4/1990,37,27,0.12,0,0
2/5/1990,37,19,0,0,0
2/6/1990,34,20,0,0,0
2/7/1990,55,31,0,0,0
2/8/1990,54,29,0,0,0
2/9/1990,56,30,0,0,0
2/10/1990,60,40,0.18,0,0
2/11/1990,60,26,0,0,0
2/12/1990,46,27,0,0,0
2/13/1990,44,24,0,0,0
2/14/1990,53, M,0,0,0
2/15/1990,56,34,0,0,0
2/16/1990,36,32,0.2,0,0
2/17/1990,55,36,0,0,0
2/18/1990,44,13,0,0,0
2/19/1990,39,15,0,0,0
2/20/1990,55,22,0,0,0
2/21/1990,36,16,0,0,0
2/22/1990,48,19,0,0,0
2/23/1990,60,35,0.3,0,0
2/24/1990,64,30,0.33,0,0
2/25/1990,37,20, T, T, T
2/26/1990,23,4,0,0, T
2/27/1990,24,5, T, T, T
2/28/1990,32,19,0,0, T
3/1/1990,37,17,0,0,0
3/2/1990,40,20,0,0,0
3/3/1990,50,31,0,0,0
3/4/1990,55,20,0,0,0
3/5/1990,35,20,0,0,0
3/6/1990,35,24, M,2, M
3/7/1990,28,8, M,0.3, M
3/8/1990,34,9,0,0, M
3/9/1990,47,20,0,0,0
3/10/1990,54, M,0.1,0,0
3/11/1990,69,43,0,0,0
3/12/1990,65,40,0,0,0
3/13/1990,66,41,0,0,0
3/14/1990,85,51,0,0,0
3/15/1990,72,43,0,0,0
3/16/1990,71,42,0,0,0
3/17/1990,80,40,0,0,0
3/18/1990,77,45,0.9,0,0
3/19/1990,58,35,0,0,0
3/20/1990,54,42,0.3,0,0
3/21/1990, M,34,0.81,0,0
3/22/1990,53,33,0,0,0
3/23/1990,64,41,0,0,0
3/24/1990,65,30,0,0,0
3/25/1990,35,30,0,0,0
3/26/1990,47,29,0,0,0
3/27/1990,53,22,0,0,0
3/28/1990,41,21,0,0,0
3/29/1990,51,29,0,0,0
3/30/1990,48,34,0.7,0,0
3/31/1990,39,33,0,0,0
4/1/1990,44, M,0,0,0
4/2/1990,44,41,0.1,0,0
4/3/1990,51,40,0.7,0,0
4/4/1990,43,38,0.4,0,0
4/5/1990,44,38,0,0,0
4/6/1990,55,40,0,0,0
4/7/1990,49,30,0,0,0
4/8/1990,47,28,0,0,0
4/9/1990,48,30,0,0,0
4/10/1990,66,31,0.4,0,0
4/11/1990,58,31,0,0,0
4/12/1990,55,30,0,0,0
4/13/1990,49,27,0,0,0
4/14/1990,53,30,0,0,0
4/15/1990,54,31,0.8,0,0
4/16/1990,64,41,0,0,0
4/17/1990,67,43,0.13,0,0
4/18/1990,60,33,0,0,0
4/19/1990,53,30,0,0,0
4/20/1990,62, M,0,0,0
4/21/1990,66, M,0.2,0,0
4/22/1990,64,43,0,0,0
4/23/1990,72,44,0,0,0
4/24/1990,80,45,0,0,0
4/25/1990,63,45,0,0,0
4/26/1990,68,48,0.1,0,0
4/27/1990,81,50,0,0,0
4/28/1990,85, M,0,0,0
4/29/1990,91,50,0,0,0
4/30/1990,58,49,0.7,0,0
5/1/1990,57,51,0,0,0
5/2/1990,80,52,0,0,0
5/3/1990,64,40,0,0,0
5/4/1990,68,43,0,0,0
5/5/1990,59,46,0.93,0,0
5/6/1990,70,44,0.2,0,0
5/7/1990,66,43,0,0,0
5/8/1990,66,46,0,0,0
5/9/1990,75,47,0,0,0
