Date,MaxTemperature,MinTemperature,Precipitation,Snowfall,SnowDepth
1/1/1990,55,6,0,0,0
1/2/1990,50,9,0,0,0
1/3/1990,40,19,0,0,0
1/4/1990,42,12,0,0,0
1/5/1990,47,12,0,0,0
1/6/1990,54,10,0,0,0
1/7/1990,59,17,0,0,0
1/8/1990,59,23, T,0,0
1/9/1990,56,30,0,0,0
1/10/1990,73,22,0,0,0
1/11/1990,44,18,0,0,0
1/12/1990,38,7,0,0,0
1/13/1990,53,22,0,0,0
1/14/1990,63,20,0,0,0
1/15/1990,56,20,0,0,0
1/16/1990,51,20,0,0,0
1/17/1990,47,16,0,0,0
1/18/1990,39,11,0,0,0
1/19/1990,36,20,0.09,1.9,0
1/20/1990,29,6,0.18,4,6
1/21/1990,36,3,0,0,5
1/22/1990,42,14,0,0,5
1/23/1990,42,20,0,0,2
1/24/1990,34,16, T, T,1
1/25/1990,38,8,0,0,1
1/26/1990,54,16,0,0, T
1/27/1990,37,19,0,0,0
1/28/1990,38,11,0,0, T
1/29/1990,43,11,0,0, T
1/30/1990,33,10,0,0, T
1/31/1990,39,19,0,0, T
2/1/1990,20,8, T, T, T
2/2/1990,25,12, T, T, T
2/3/1990,44,10,0,0, T
2/4/1990,50,12,0,0, T
2/5/1990,47,16,0,0, T
2/6/1990,46,16,0,0,0
2/7/1990,56,17,0,0,0
2/8/1990,45,20,0,0,0
2/9/1990,48,18,0,0,0
2/10/1990,60,21,0,0,0
2/11/1990,65,29,0,0,0
2/12/1990,67,28,0,0,0
2/13/1990,32,11, T, T, T
2/14/1990,15,8,0.07,0.7, T
2/15/1990,17,6,0.01,0.1,1
2/16/1990,26,5,0,0,1
2/17/1990,53,9,0,0, T
2/18/1990,47,14,0,0, T
2/19/1990,47,12,0,0,0
2/20/1990,38,30, T, T,0
2/21/1990,50,29,0,0,0
2/22/1990,48,25,0,0,0
2/23/1990,58,31,0,0,0
2/24/1990,48,20,0,0,0
2/25/1990,42,23,0,0,0
2/26/1990,62,22,0,0,0
2/27/1990,33,21,0.1,1.1,0
2/28/1990,45,21, T, T,1
3/1/1990,54,16,0,0,0
3/2/1990,63,19,0,0,0
3/3/1990,55,17,0,0,0
3/4/1990,65,34,0,0,0
3/5/1990,55,27, T,0,0
3/6/1990,38,32,0.89,1.4,0
3/7/1990,34,32,0.46,1.1,2
3/8/1990,54,31, T, T,1
3/9/1990,54,30,0,0, T
3/10/1990,58,29,0,0,0
3/11/1990,69,38,0.11,0,0
3/12/1990,65,33,0,0,0
3/13/1990,44,33, T, T,0
3/14/1990,47,30,0.02,0.2, T
3/15/1990,51,30, T, T,0
3/16/1990,54,29,0,0,0
3/17/1990,53,25,0,0,0
3/18/1990,46,24, T, T,0
3/19/1990,59,15,0,0,0
3/20/1990,76,29,0,0,0
3/21/1990,71,33,0.02,0,0
3/22/1990,55,21, T, T,0
3/23/1990,22,15,0.25,2.6,2
3/24/1990,28,15, T, T,3
3/25/1990,44,22,0,0, T
3/26/1990,53,17,0,0,0
3/27/1990,57,33,0,0,0
3/28/1990,48,39, T,0,0
3/29/1990,48,28,0,0,0
3/30/1990,45,33, T, T,0
3/31/1990,65,36, T,0,0
4/1/1990,53,29,0,0,0
4/2/1990,60,31,0,0,0
4/3/1990,75,29,0,0,0
4/4/1990,53,42,0.09,0,0
4/5/1990,42,24,0.03,0.3, T
4/6/1990,52,21,0,0,0
4/7/1990,64,26,0,0,0
4/8/1990,68,31,0,0,0
4/9/1990,54,34,0.04, T,0
4/10/1990,42,24, T, T,0
4/11/1990,41,18, T, T,0
4/12/1990,44,29,0.03, T,0
4/13/1990,62,32, T,0,0
4/14/1990,75,27,0.02,0,0
4/15/1990,64,40, T,0,0
4/16/1990,60,36, T, T,0
4/17/1990,44,27, T, T,0
4/18/1990,62,39,0,0,0
4/19/1990,70,43, T,0,0
4/20/1990,77,35,0,0,0
4/21/1990,81,41,0,0,0
4/22/1990,88,52,0,0,0
4/23/1990,86,56, T,0,0
4/24/1990,81,56, T,0,0
4/25/1990,75,48,0.62,0,0
4/26/1990,72,45,0.42,0,0
4/27/1990,51,33, T,0,0
4/28/1990,71,28,0.27,0,0
4/29/1990,50,33, T, T,0
4/30/1990,58,27,0,0,0
5/1/1990,57,28,0,0,0
5/2/1990,62,41,0,0,0
5/3/1990,58,38,0,0,0
5/4/1990,71,30,0.02,0,0
5/5/1990,68,39,0.02,0,0
5/6/1990,81,33,0,0,0
5/7/1990,88,40,0.14,0,0
5/8/1990,62,43,0.78,0,0
5/9/1990,55,33, T,0,0
5/10/1990,65,27,0,0,0
5/11/1990,60,42,0.02,0,0
5/12/1990,57,42, T,0,0
5/13/1990,70,39,0.05,0,0
5/14/1990,67,43,0,0,0
5/15/1990,72,51,0.55,0,0
5/16/1990,65,46, T,0,0
5/17/1990,70,37,0,0,0
5/18/1990,82,45,0.59,0,0
5/19/1990,71,47,0,0,0
5/20/1990,56,44,0.88, T,0
5/21/1990,81,43,0,0,0
5/22/1990,83,51,0.06,0,0
5/23/1990,80,55,0,0,0
5/24/1990,65,60, T,0,0
5/25/1990,79,55,0,0,0
5/26/1990,77,56,0,0,0
5/27/1990,73,52,0.08,0,0
5/28/1990,72,47,0,0,0
5/29/1990,61,55,0.26,0,0
5/30/1990,60,54,0.18,0,0
5/31/1990,75,56,0.02,0,0
6/1/1990,85,52,0.9, T,0
6/2/1990,73,47,0.23,0,0
6/3/1990,71,47,0,0,0
6/4/1990,91,43,0,0,0
6/5/1990,78,56, T,0,0
6/6/1990,76,54, T,0,0
6/7/1990,88,56,0.08,0,0
6/8/1990,82,59, T,0,0
6/9/1990,84,52,0,0,0
6/10/1990,85,59,0,0,0
6/11/1990,96,62,0,0,0
6/12/1990,87,54,0,0,0
6/13/1990,85,53,0,0,0
6/14/1990,76,54, T,0,0
6/15/1990,79,61,0.27,0,0
6/16/1990,83,58, T,0,0
6/17/1990,85,50,0,0,0
6/18/1990,93,52,0,0,0
6/19/1990,87,59,0,0,0
6/20/1990,85,58, T,0,0
6/21/1990,72,51,0.39, T,0
6/22/1990,79,48,0,0,0
6/23/1990,85,44,0,0,0
6/24/1990,97,64, T,0,0
6/25/1990,99,58,0.01,0,0
6/26/1990,92,61,0,0,0
6/27/1990,98,65,0,0,0
6/28/1990,100,72,0,0,0
6/29/1990,96,67,0,0,0
6/30/1990,95,67,0.02,0,0
7/1/1990,106,68,0,0,0
7/2/1990,108,62,0,0,0
7/3/1990,107,76,0.14,0,0
7/4/1990,87,63,0.01,0,0
7/5/1990,75,59,0,0,0
7/6/1990,94,64,0.03,0,0
7/7/1990,104,73, T,0,0
7/8/1990,88,66,0.02,0,0
7/9/1990,87,59, T,0,0
7/10/1990,85,60, T,0,0
7/11/1990,84,55, T,0,0
7/12/1990,76,47,0,0,0
7/13/1990,78,40,0,0,0
7/14/1990,85,43,0,0,0
7/15/1990,92,50,0,0,0
7/16/1990,98,57,0,0,0
7/17/1990,100,67,0,0,0
7/18/1990,99,62,0.54,0,0
7/19/1990,75,63,0.78,0,0
7/20/1990,72,64,0.01,0,0
7/21/1990,70,57,0.27,0,0
7/22/1990,76,46,0,0,0
7/23/1990,85,49,0,0,0
7/24/1990,88,57,0,0,0
7/25/1990,89,65,0.02,0,0
7/26/1990,92,66,0,0,0
7/27/1990,91,65, T,0,0
7/28/1990,87,64, T,0,0
7/29/1990,85,61,0.17,0,0
7/30/1990,80,59, T,0,0
7/31/1990,84,55,0,0,0
8/1/1990,88,59,0,0,0
8/2/1990,88,59,0.01,0,0
8/3/1990,88,61, T,0,0
8/4/1990,83,58,0,0,0
8/5/1990,78,55,0,0,0
8/6/1990,80,48,0,0,0
8/7/1990,87,55, T,0,0
8/8/1990,96,61,0.02,0,0
8/9/1990,93,56,0,0,0
8/10/1990,93,60,0.56,0,0
8/11/1990,76,62,0.96,0,0
8/12/1990,81,60,0.04,0,0
8/13/1990,84,56,0,0,0
8/14/1990,81,59,0,0,0
8/15/1990,83,58, T,0,0
8/16/1990,88,65,0,0,0
8/17/1990,94,66,0,0,0
8/18/1990,87,65,0,0,0
8/19/1990,83,62,0,0,0
8/20/1990,85,60,0,0,0
8/21/1990,87,63,0,0,0
8/22/1990,93,69,0.2,0,0
8/23/1990,87,61, T,0,0
8/24/1990,89,56,0,0,0
8/25/1990,98,57,0,0,0
8/26/1990,99,54,0,0,0
8/27/1990,104,53,0,0,0
8/28/1990,91,53,0,0,0
8/29/1990,95,56,0,0,0
8/30/1990,102,60,0,0,0
8/31/1990,98,62,0,0,0
9/1/1990,91,71,0.01,0,0
9/2/1990,99,65,0,0,0
9/3/1990,96,58,0,0,0
9/4/1990,96,60,0,0,0
9/5/1990,99,67,0,0,0
9/6/1990,93,59, T,0,0
9/7/1990,96,54,0,0,0
9/8/1990,97,51,0,0,0
9/9/1990,93,55,0,0,0
9/10/1990,93,54,0.06,0,0
9/11/1990,90,48,0,0,0
9/12/1990,93,52,0,0,0
9/13/1990,102,62,0,0,0
9/14/1990,81,41,0,0,0
9/15/1990,91,48,0,0,0
9/16/1990,73,43,0,0,0
9/17/1990,64,52,0.22,0,0
9/18/1990,73,47, T,0,0
9/19/1990,64,44, T,0,0
9/20/1990,78,57,0.01,0,0
9/21/1990,75,47,0.01,0,0
9/22/1990,66,37,0,0,0
9/23/1990,73,26,0,0,0
9/24/1990,92,42,0,0,0
