Date,MaxTemperature,MinTemperature,Precipitation,Snowfall,SnowDepth
1/1/1990,70,47,0,0,0
1/2/1990,72,45,0,0,0
1/3/1990,78,54,0,0,0
1/4/1990,80,54, T,0,0
1/5/1990,79,65, T,0,0
1/6/1990,84,65,0,0,0
1/7/1990,83,63,0,0,0
1/8/1990,74,57, T,0,0
1/9/1990,70,52,0,0,0
1/10/1990,68,46,0,0,0
1/11/1990,72,52,0,0,0
1/12/1990,73,49,0,0,0
1/13/1990,58,39,0,0,0
1/14/1990,71,42,0,0,0
1/15/1990,78,52,0,0,0
1/16/1990,76,58,0,0,0
1/17/1990,81,60,0,0,0
1/18/1990,82,55,0,0,0
1/19/1990,83,58,0,0,0
1/20/1990,86,64,0,0,0
1/21/1990,84,62,0,0,0
1/22/1990,77,53, T,0,0
1/23/1990,78,49,0,0,0
1/24/1990,85,58,0,0,0
1/25/1990,85,65,0,0,0
1/26/1990,66,45,0.08,0,0
1/27/1990,73,44,0,0,0
1/28/1990,79,52,0,0,0
1/29/1990,83,62,0,0,0
1/30/1990,83,63,0.13,0,0
1/31/1990,74,62,0.02,0,0
2/1/1990,84,60,0.02,0,0
2/2/1990,86,68,0,0,0
2/3/1990,85,64,0,0,0
2/4/1990,86,68, T,0,0
2/5/1990,70,51,0,0,0
2/6/1990,77,53,0,0,0
2/7/1990,81,57,0,0,0
2/8/1990,82,56,0,0,0
2/9/1990,83,63,0,0,0
2/10/1990,85,65,0.26,0,0
2/11/1990,77,60,0.84,0,0
2/12/1990,74,50,0,0,0
2/13/1990,77,50,0,0,0
2/14/1990,80,58,0,0,0
2/15/1990,84,64,0,0,0
2/16/1990,85,68, T,0,0
2/17/1990,87,66, T,0,0
2/18/1990,84,65,0,0,0
2/19/1990,86,65,0,0,0
2/20/1990,82,64,0.03,0,0
2/21/1990,82,64,0.26,0,0
2/22/1990,86,61,0.86,0,0
2/23/1990,66,59,1.81,0,0
2/24/1990,66,46,0,0,0
2/25/1990,64,47,0,0,0
2/26/1990,71,48,0,0,0
2/27/1990,74,53,0,0,0
2/28/1990,77,57,0.05,0,0
3/1/1990,77,56,0,0,0
3/2/1990,80,55,0.02,0,0
3/3/1990,77,56,0,0,0
3/4/1990,75,51,0,0,0
3/5/1990,80,54,0,0,0
3/6/1990,80,57,0,0,0
3/7/1990,80,62, T,0,0
3/8/1990,77,61,0,0,0
3/9/1990,79,58,0,0,0
3/10/1990,82,57,0,0,0
3/11/1990,83,58,0,0,0
3/12/1990,82,57,0,0,0
3/13/1990,82,59,0,0,0
3/14/1990,83,60,0,0,0
3/15/1990,87,66,0,0,0
3/16/1990,87,67,0,0,0
3/17/1990,88,62,0.19,0,0
3/18/1990,76,56,0,0,0
3/19/1990,81,54,0,0,0
3/20/1990,71,50,0,0,0
3/21/1990,73,48,0,0,0
3/22/1990,77,51,0,0,0
3/23/1990,79,56,0,0,0
3/24/1990,81,53,0,0,0
3/25/1990,83,56,0,0,0
3/26/1990,83,62,0,0,0
3/27/1990,83,60,0,0,0
3/28/1990,83,62,0,0,0
3/29/1990,86,63,0.76,0,0
3/30/1990,88,65,0.59,0,0
3/31/1990,77,67,0.36,0,0
4/1/1990,83,65,0,0,0
4/2/1990,84,64,0,0,0
4/3/1990,79,59,0.08,0,0
4/4/1990,71,51,0,0,0
4/5/1990,79,48,0,0,0
4/6/1990,81,53,0,0,0
4/7/1990,79,61,0,0,0
4/8/1990,75,60,0,0,0
4/9/1990,77,60,0,0,0
4/10/1990,83,62, T,0,0
4/11/1990,83,66,0.53,0,0
4/12/1990,77,55,0,0,0
4/13/1990,76,56,0,0,0
4/14/1990,83,57,0,0,0
4/15/1990,81,63,0,0,0
4/16/1990,86,61,0,0,0
4/17/1990,89,65,0,0,0
4/18/1990,90,66, T,0,0
4/19/1990,81,67,0.65,0,0
4/20/1990,78,62,0,0,0
4/21/1990,79,60,0,0,0
4/22/1990,86,58,0.29,0,0
4/23/1990,84,63,0.15,0,0
4/24/1990,80,63,0,0,0
4/25/1990,83,62,0,0,0
4/26/1990,83,61,0,0,0
4/27/1990,85,63,0,0,0
4/28/1990,80,68,0.03,0,0
4/29/1990,91,68,0,0,0
4/30/1990,92,65,0,0,0
5/1/1990,94,66,0,0,0
5/2/1990,95,67,0,0,0
5/3/1990,89,70,0,0,0
5/4/1990,89,69,0,0,0
5/5/1990,90,66,0,0,0
5/6/1990,89,66,0,0,0
5/7/1990,81,64,0,0,0
5/8/1990,84,61,0,0,0
5/9/1990,85,70,0.1,0,0
5/10/1990,90,72,0.02,0,0
5/11/1990,88,63,0,0,0
5/12/1990,88,61,0,0,0
5/13/1990,93,72,0,0,0
5/14/1990,93,69,0,0,0
5/15/1990,92,71,0,0,0
5/16/1990,94,70,0,0,0
5/17/1990,94,71,0,0,0
5/18/1990,93,71, T,0,0
5/19/1990,92,70, T,0,0
5/20/1990,95,72,0,0,0
5/21/1990,88,72, T,0,0
5/22/1990,86,72,0.16,0,0
5/23/1990,89,69,0,0,0
5/24/1990,84,70,0,0,0
