Date,MaxTemperature,MinTemperature,Precipitation,Snowfall,SnowDepth
1/1/1991,41,25,0,0,0
1/2/1991,50,28,0,0,0
1/3/1991,43,31,0,0,0
1/4/1991,37,26,0,0,0
1/5/1991,39,23, T,0,0
1/6/1991,45,35,0.02,0,0
1/7/1991,40,25,0.56,5, T
1/8/1991,31,20,0.02, T,3
1/9/1991,37,31,0.85,0,2
1/10/1991,44,33,0,0, T
1/11/1991,40,26,1.29,0.6,0
1/12/1991,43,34,0.2,0,0
1/13/1991,38,28,0,0,0
1/14/1991,40,22,0,0,0
1/15/1991,55,29,0,0,0
1/16/1991,58,35,0.66,0,0
1/17/1991,48,34,0,0,0
1/18/1991,41,32, T, T,0
1/19/1991,50,30,0,0,0
1/20/1991,55,37, T,0,0
1/21/1991,44,18,0.36,0.9,0
1/22/1991,21,13,0,0,0
1/23/1991,38,15,0,0,0
1/24/1991,42,27,0,0,0
1/25/1991,28,19,0,0,0
1/26/1991,37,17,0,0,0
1/27/1991,44,25,0,0,0
1/28/1991,53,30, T,0,0
1/29/1991,52,28,0,0,0
1/30/1991,53,38,0.13,0,0
1/31/1991,51,25,0.01,0,0
2/1/1991,37,21,0,0,0
2/2/1991,52,27,0,0,0
2/3/1991,62,31,0,0,0
2/4/1991,69,32,0,0,0
2/5/1991,69,34,0,0,0
2/6/1991,55,47,0.18,0,0
2/7/1991,51,45,0.06,0,0
2/8/1991,51,34,0,0,0
2/9/1991,53,32,0,0,0
2/10/1991,49,34,0,0,0
2/11/1991,38,26,0,0,0
2/12/1991,33,21,0,0,0
2/13/1991,44,28,0.14,0,0
2/14/1991,53,37,0.11,0,0
2/15/1991,40,20, T, T,0
2/16/1991,29,17,0,0,0
2/17/1991,40,23,0.08,0.9,1
2/18/1991,44,31,0.06, T,0
2/19/1991,59,40,0.11,0,0
2/20/1991,60,39, T,0,0
2/21/1991,56,32,0,0,0
2/22/1991,66,38,0,0,0
2/23/1991,40,24,0,0,0
2/24/1991,51,22,0,0,0
2/25/1991,50,34,0,0,0
2/26/1991,40,32,0.01,0.1,0
2/27/1991,39,27,0,0,0
2/28/1991,53,29,0,0,0
3/1/1991,67,32,0,0,0
3/2/1991,71,49,0.02,0,0
3/3/1991,73,48,0.9,0,0
3/4/1991,59,38,0.04,0,0
3/5/1991,57,35,0,0,0
3/6/1991,62,35,0.28,0,0
3/7/1991,52,35,0,0,0
3/8/1991,45,30,0,0,0
3/9/1991,46,27,0,0,0
3/10/1991,48,32,0,0,0
3/11/1991,41,29,0,0,0
3/12/1991,45,25,0,0,0
3/13/1991,41,32,0.01,0.1,0
3/14/1991,38,35,0.44,0.4,0
3/15/1991,45,34,0.11, T,0
3/16/1991,53,35,0,0,0
3/17/1991,60,37,0,0,0
3/18/1991,53,43,0.48,0,0
3/19/1991,55,42, T,0,0
3/20/1991,56,43,0,0,0
3/21/1991,58,44,0,0,0
3/22/1991,51,42,0.07,0,0
3/23/1991,46,40,1,0,0
3/24/1991,60,42,0.08,0,0
3/25/1991,51,38, T,0,0
3/26/1991,56,35,0.04,0,0
3/27/1991,67,44,0.16,0,0
3/28/1991,77,54, T,0,0
3/29/1991,57,49,0.27,0,0
3/30/1991,50,33,0.23,0.2,0
3/31/1991,51,33,0,0,0
4/1/1991,53,33,0.07,0,0
4/2/1991,51,36,0,0,0
4/3/1991,57,34,0,0,0
4/4/1991,65,37,0,0,0
4/5/1991,62,45,0.03,0,0
4/6/1991,76,47,0,0,0
4/7/1991,85,52,0,0,0
4/8/1991,87,54,0,0,0
4/9/1991,84,66, T,0,0
4/10/1991,72,47,0,0,0
4/11/1991,62,42,0,0,0
4/12/1991,58,40,0,0,0
4/13/1991,50,39,0.54,0,0
4/14/1991,57,42,0.03,0,0
4/15/1991,53,45,0.33,0,0
4/16/1991,75,46,0,0,0
4/17/1991,75,52, T,0,0
4/18/1991,57,44, T,0,0
4/19/1991,60,41,0,0,0
4/20/1991,51,42,0.07,0,0
4/21/1991,49,42,1.24,0,0
4/22/1991,55,42,0.04,0,0
4/23/1991,68,43,0,0,0
4/24/1991,63,49,0.44,0,0
4/25/1991,72,49,0,0,0
4/26/1991,75,50,0,0,0
4/27/1991,80,52,0,0,0
4/28/1991,67,54,0,0,0
4/29/1991,63,52, T,0,0
4/30/1991,77,53,0.02,0,0
5/1/1991,82,56, T,0,0
5/2/1991,70,53,0,0,0
5/3/1991,65,52, T,0,0
5/4/1991,73,45,0,0,0
5/5/1991,77,50,0,0,0
5/6/1991,77,57,1.68,0,0
5/7/1991,66,52,0,0,0
5/8/1991,74,49,0,0,0
5/9/1991,66,57, T,0,0
5/10/1991,77,54,0,0,0
5/11/1991,76,50,0,0,0
5/12/1991,90,57,0,0,0
5/13/1991,90,66, T,0,0
5/14/1991,90,66,0,0,0
5/15/1991,87,65,0,0,0
5/16/1991,86,62,0,0,0
5/17/1991,86,60,0.03,0,0
5/18/1991,71,51,0,0,0
5/19/1991,69,49,0,0,0
5/20/1991,76,46,0,0,0
5/21/1991,81,52,0,0,0
5/22/1991,90,63,0,0,0
5/23/1991,93,63,0,0,0
5/24/1991,89,60,0,0,0
5/25/1991,96,69, T,0,0
5/26/1991,91,65,0.01,0,0
5/27/1991,95,64, T,0,0
5/28/1991,93,76, T,0,0
5/29/1991,95,68,0,0,0
5/30/1991,97,71,0.1,0,0
5/31/1991,97,74,0,0,0
6/1/1991,90,72,0,0,0
6/2/1991,91,68,0,0,0
6/3/1991,89,69,0,0,0
6/4/1991,77,60,0.25,0,0
6/5/1991,74,56, T,0,0
6/6/1991,76,53,0,0,0
6/7/1991,83,54,0,0,0
6/8/1991,87,59,0,0,0
6/9/1991,92,66,0,0,0
6/10/1991,94,65,0,0,0
6/11/1991,93,68,0.1,0,0
6/12/1991,87,68,0.03,0,0
6/13/1991,80,60,0,0,0
6/14/1991,86,58,0,0,0
6/15/1991,98,64,0,0,0
6/16/1991,100,72,0.16,0,0
6/17/1991,94,70, T,0,0
6/18/1991,70,62,1.93,0,0
6/19/1991,74,62,0.25,0,0
6/20/1991,93,66,0,0,0
6/21/1991,95,70,0,0,0
6/22/1991,83,69,0,0,0
6/23/1991,72,61,0.14,0,0
6/24/1991,84,58,0,0,0
6/25/1991,85,62,0,0,0
6/26/1991,85,61,0,0,0
6/27/1991,88,65,0,0,0
6/28/1991,94,69,0,0,0
6/29/1991,98,76,0,0,0
6/30/1991,97,68,0.5,0,0
7/1/1991,84,67,0.01,0,0
7/2/1991,82,70,0,0,0
7/3/1991,76,69,0.01,0,0
7/4/1991,83,68,0,0,0
7/5/1991,73,67,0.04,0,0
7/6/1991,91,69,0,0,0
7/7/1991,92,70,0.46,0,0
7/8/1991,90,72, T,0,0
7/9/1991,87,73,0,0,0
7/10/1991,86,67,0,0,0
7/11/1991,89,67,0,0,0
7/12/1991,91,69,0.1,0,0
