Date,MaxTemperature,MinTemperature,Precipitation,Snowfall,SnowDepth
1/1/1990,43,15,0,0,0
1/2/1990,42,16,0,0,0
1/3/1990,51,25,0,0,0
1/4/1990,62,32,0.61,0,0
1/5/1990,44,20,0,0,0
1/6/1990,50,21,0,0,0
1/7/1990,53,19,0,0,0
1/8/1990,52,21,0,0,0
1/9/1990,62,36,0,0,0
1/10/1990,57,27,0,0,0
1/11/1990,70,27,0,0,0
1/12/1990,54,25,0,0,0
1/13/1990,38,12,0,0,0
1/14/1990,41,15,0,0,0
1/15/1990,64,32,0,0,0
1/16/1990,70,45,0,0,0
1/17/1990,63,46,1.95,0,0
1/18/1990,61,33,0.28,0,0
1/19/1990,44,33,0.07,0,0
1/20/1990,41,33,2.05,0,0
1/21/1990,47,25,0,0,0
1/22/1990,49,28,0,0,0
1/23/1990,64,35,0,0,0
1/24/1990,61,32,0,0,0
1/25/1990,64,26, T,0,0
1/26/1990,39,24,0,0,0
1/27/1990,64,27,0,0,0
1/28/1990,55,25,0,0,0
1/29/1990,48,19,0,0,0
1/30/1990,57,22,0,0,0
1/31/1990,57,30,0,0,0
2/1/1990,64, M,0.37,0,0
2/2/1990,52,32,0.81,0,0
2/3/1990,51,32, T,0,0
2/4/1990,35,24,0.45,2,2
2/5/1990,45,24,0,0, T
2/6/1990,61,24,0.2,0,0
2/7/1990,53,27, T,0,0
2/8/1990,65,27,0,0,0
2/9/1990,71,39,0.77,0,0
2/10/1990,43,26,0.02,0,0
2/11/1990,59,27,0,0,0
2/12/1990,66,35,0,0,0
2/13/1990,75,38,0,0,0
2/14/1990,70,39,0,0,0
2/15/1990,44,32,1.02,0,0
2/16/1990,43,23,0.6,0,0
2/17/1990,38,14,0,0,0
2/18/1990,46,15,0,0,0
2/19/1990, M,27,0,0,0
2/20/1990,52,23,0,0,0
2/21/1990,54,26,0,0,0
2/22/1990,57,30,0.47,0,0
2/23/1990,47,32,0.16,0,0
2/24/1990,50,32,0,0,0
2/25/1990,43,21,0,0,0
2/26/1990,43,24,0,0,0
2/27/1990,68,25,0.02,0,0
2/28/1990,46,35,0.23,0,0
3/1/1990,35,20,0.42,4,3
3/2/1990,43,19,0,0,7
3/3/1990,54,19,0,0, M
3/4/1990,56,29,0,0, M
3/5/1990,66,31,0,0, M
3/6/1990,58,45,0.01,0, M
3/7/1990,71,48,0.71,0, M
3/8/1990,53,49,0.26,0, M
3/9/1990,71,48,0,0, M
3/10/1990,71,58,0,0, M
3/11/1990,78,59,0,0, M
3/12/1990,68,57,1.14,0, M
3/13/1990,81,58,0,0, M
3/14/1990,72,58,2.36,0, M
3/15/1990,62,41,1.98,0, M
3/16/1990,57,35,0,0, M
3/17/1990,60,38,0,0, M
3/18/1990,58,37,0,0, M
3/19/1990,57,25,0.08,0, M
3/20/1990,45,20,0,0, M
3/21/1990,60,25,0,0, M
3/22/1990,73,38,0,0, M
3/23/1990,68,35,0,0, M
