Date,MaxTemperature,MinTemperature,Precipitation,Snowfall,SnowDepth
1/1/1990,45,13,0,0,0
1/2/1990,55,35,0,0,0
1/3/1990,54,31,0.08,1.4,0
1/4/1990,37,21,0.01,0.5,2
1/5/1990,40,19,0,0,0
1/6/1990,46,21,0,0, T
1/7/1990,50,24,0,0,0
1/8/1990,56,30,0,0,0
1/9/1990,57,35,0,0,0
1/10/1990,78,33,0,0,0
1/11/1990,52,33,0,0,0
1/12/1990,37,20,0,0,0
1/13/1990,48,18,0,0,0
1/14/1990,64,30,0,0,0
1/15/1990,60,33,0,0,0
1/16/1990,63,47, T,0,0
1/17/1990,54,29,0,0,0
1/18/1990,35,24,0,0,0
1/19/1990,32,30,0.18, T,0
1/20/1990,33,25,0.01, T, T
1/21/1990,49,19,0,0,0
1/22/1990,59,29,0,0,0
1/23/1990,56,33,0,0,0
1/24/1990,45,28, T,0,0
1/25/1990,45,24,0,0,0
1/26/1990,59,25,0,0,0
1/27/1990,47,24,0,0,0
1/28/1990,47,17,0,0,0
1/29/1990,55,20,0,0,0
1/30/1990,45,31,0,0,0
1/31/1990,60,32,0,0,0
2/1/1990,52,21,0.26,2,0
2/2/1990,24,18, T, T,1
2/3/1990,37,23,0,0, T
2/4/1990,51,19,0,0, T
2/5/1990,56,38,0,0,0
2/6/1990,53,33,0,0,0
2/7/1990,68,28,0,0,0
2/8/1990,52,39,0,0,0
2/9/1990,56,26,0,0,0
2/10/1990,61,28,0,0,0
2/11/1990,70,38,0,0,0
2/12/1990,71,42,0,0,0
2/13/1990,48,22,0,0,0
2/14/1990,22,19,0.22,2.3,0
2/15/1990,25,16,0.2,0.5,3
2/16/1990,28,11,0,0,3
2/17/1990,40,10,0,0,3
2/18/1990,45,29,0,0,1
2/19/1990,46,22,0,0,0
2/20/1990,48,25,0,0,0
2/21/1990,42,32,0.4,0,0
2/22/1990,48,33,0.37,0,0
2/23/1990,64,31,0,0,0
2/24/1990,43,29,0,0,0
2/25/1990,43,26,0,0,0
2/26/1990,53,21,0,0,0
2/27/1990,48,32,0.05,0.4,0
2/28/1990,42,28,0.01, T, T
3/1/1990,50,19,0,0,0
3/2/1990,61,23,0,0,0
3/3/1990,55,31,0,0,0
3/4/1990,65,34,0,0,0
3/5/1990,65,37, T,0,0
3/6/1990,55,48,2.18,0,0
3/7/1990,62,47,0.17,0,0
3/8/1990,60,43,0,0,0
3/9/1990,78,40,0,0,0
3/10/1990,68,61, T,0,0
3/11/1990,65,58,0.21,0,0
3/12/1990,75,52,0,0,0
3/13/1990,72,49,0.6, T,0
3/14/1990,54,42, T,0,0
3/15/1990,53,39,0.03,0,0
3/16/1990,54,40, T,0,0
3/17/1990,62,37,0,0,0
3/18/1990,52,33,0.02,0,0
3/19/1990,50,27,0,0,0
3/20/1990,69,33,0,0,0
3/21/1990,68,45,0,0,0
3/22/1990,61,38,0,0,0
3/23/1990,38,22,0.16,1.3,0
3/24/1990,31,22, T, T,1
3/25/1990,45,22,0,0,0
3/26/1990,55,30,0,0,0
3/27/1990,55,32,0,0,0
3/28/1990,46,41,0.4,0,0
3/29/1990,43,38,0.13,0,0
3/30/1990,44,41,0.18,0,0
3/31/1990,53,41, T,0,0
4/1/1990,65,39,0,0,0
4/2/1990,57,32,0,0,0
4/3/1990,67,33,0,0,0
4/4/1990,64,40,0,0,0
4/5/1990,48,31,0.67, T,0
4/6/1990,52,28,0,0,0
4/7/1990,65,31,0,0,0
4/8/1990,64,40, T,0,0
4/9/1990,70,49,0.1, T,0
4/10/1990,58,36,0,0,0
4/11/1990,42,27,0,0,0
4/12/1990,44,28,0.11,0,0
4/13/1990,59,40,0.67,0,0
4/14/1990,72,38,0,0,0
4/15/1990,65,50,0.02,0,0
4/16/1990,63,42, T,0,0
4/17/1990,49,37,0,0,0
4/18/1990,54,43, T,0,0
4/19/1990,60,45, T,0,0
4/20/1990,72,58, T,0,0
4/21/1990,78,51,0,0,0
4/22/1990,85,53,0,0,0
4/23/1990,83,63, T,0,0
4/24/1990,77,60,0.08,0,0
4/25/1990,73,57,0.4,0,0
4/26/1990,71,57,0,0,0
4/27/1990,66,42, T,0,0
4/28/1990,67,37,0,0,0
4/29/1990,63,41,0,0,0
4/30/1990,54,38,0,0,0
5/1/1990,56,43,0,0,0
5/2/1990,58,36,0.1,0,0
5/3/1990,52,47,0.9,0,0
5/4/1990,66,46,0.1,0,0
5/5/1990,62,49,0.02,0,0
5/6/1990,75,41,0,0,0
5/7/1990,83,55,0,0,0
5/8/1990,78,59, T,0,0
5/9/1990,70,44,0.55,0,0
5/10/1990,64,39,0,0,0
5/11/1990,67,46,0.03,0,0
5/12/1990,61,48,0.28,0,0
5/13/1990,73,41,0,0,0
5/14/1990,75,59,0,0,0
5/15/1990,87,65,0.06,0,0
5/16/1990,67,53, T,0,0
5/17/1990,79,47,0,0,0
5/18/1990,70,56, T,0,0
5/19/1990,78,55,0.76,0,0
5/20/1990,66,51,0,0,0
5/21/1990,73,52,0,0,0
5/22/1990,79,51,0,0,0
5/23/1990,86,62, T,0,0
5/24/1990,80,64,0.09,0,0
5/25/1990,77,65,0.03,0,0
5/26/1990,72,63,1.54,0,0
5/27/1990,67,57,0.02,0,0
5/28/1990,75,53,0,0,0
5/29/1990,73,53,0.26,0,0
5/30/1990,68,60,0.26,0,0
5/31/1990,76,57, T,0,0
6/1/1990,82,68,0,0,0
6/2/1990,79,58,0,0,0
6/3/1990,77,54,0,0,0
6/4/1990,85,50,0,0,0
6/5/1990,87,66,0,0,0
6/6/1990,83,66,0,0,0
6/7/1990,91,69,0,0,0
6/8/1990,87,68,0,0,0
6/9/1990,90,67,0,0,0
6/10/1990,83,66,0.99,0,0
6/11/1990,96,71,0,0,0
6/12/1990,97,77,0,0,0
6/13/1990,96,78,0,0,0
6/14/1990,96,68,0.77, T,0
6/15/1990,86,68,0,0,0
6/16/1990,100,78,0,0,0
6/17/1990,91,69,0,0,0
6/18/1990,96,67,0.45,0,0
6/19/1990,101,71,0.8,0,0
6/20/1990,87,68,0.48,0,0
6/21/1990,86,65,0.04,0,0
6/22/1990,84,58,0,0,0
6/23/1990,85,58,0,0,0
6/24/1990,90,64,0,0,0
6/25/1990,100,70,0,0,0
6/26/1990,97,72, T,0,0
6/27/1990,96,73,0,0,0
6/28/1990,107,78,0,0,0
6/29/1990,107,81,0,0,0
6/30/1990,105,78,0,0,0
7/1/1990,107,73,0,0,0
7/2/1990,108,76,0,0,0
7/3/1990,109,76,0,0,0
7/4/1990,108,79,0,0,0
7/5/1990,95,73, T,0,0
7/6/1990,100,75, T,0,0
7/7/1990,103,76,0,0,0
7/8/1990,102,80,0,0,0
7/9/1990,96,80, T,0,0
7/10/1990,93,75,0.09,0,0
7/11/1990,87,66,0,0,0
7/12/1990,73,62,0,0,0
7/13/1990,75,60,0.01,0,0
7/14/1990,83,52,0,0,0
7/15/1990,93,56,0,0,0
7/16/1990,90,70,0,0,0
7/17/1990,94,69,0,0,0
7/18/1990,93,72,0,0,0
7/19/1990,97,72,0.05,0,0
7/20/1990,88,68,0.26,0,0
7/21/1990,76,64,0.39,0,0
7/22/1990,78,62,0,0,0
7/23/1990,85,58,0,0,0
7/24/1990,91,69,0,0,0
7/25/1990,90,65,4.3,0,0
7/26/1990,95,66,2.21,0,0
7/27/1990,100,70, T,0,0
7/28/1990,88,72,0,0,0
7/29/1990,90,66,0,0,0
7/30/1990,81,67,0.61,0,0
7/31/1990,80,64,0,0,0
8/1/1990,87,61,0,0,0
8/2/1990,94,71,0,0,0
8/3/1990,84,67,0.08,0,0
8/4/1990,87,65,0,0,0
8/5/1990,77,62,0,0,0
8/6/1990,78,57,0,0,0
8/7/1990,80,55,0,0,0
8/8/1990,90,60,0,0,0
8/9/1990,93,70,0,0,0
8/10/1990,92,68,0.83, T,0
8/11/1990,82,65,0.85,0,0
8/12/1990,80,68,1.19,0,0
8/13/1990,79,65,0,0,0
8/14/1990,76,66,0.78,0,0
8/15/1990,84,66,1.44,0,0
8/16/1990,94,72,0,0,0
8/17/1990,96,74,0,0,0
8/18/1990,95,75,0,0,0
8/19/1990,85,72, T,0,0
8/20/1990,85,67,0,0,0
8/21/1990,88,67,0,0,0
8/22/1990,97,72,0,0,0
8/23/1990,100,75,0,0,0
8/24/1990,98,71,0,0,0
8/25/1990,103,75,0,0,0
8/26/1990,106,78,0,0,0
8/27/1990,104,77,0,0,0
8/28/1990,105,74,0,0,0
8/29/1990,94,75,0,0,0
8/30/1990,105,68,0,0,0
8/31/1990,105,77,0,0,0
9/1/1990,106,71,0,0,0
9/2/1990,96,74,0,0,0
9/3/1990,97,70,0,0,0
9/4/1990,99,72,0,0,0
9/5/1990,99,75,0,0,0
9/6/1990,97,76,0,0,0
9/7/1990,92,69,0,0,0
9/8/1990,97,62,0,0,0
9/9/1990,98,64,0,0,0
9/10/1990,95,72, T,0,0
9/11/1990,92,66,0,0,0
9/12/1990,91,63,0,0,0
9/13/1990,93,66,0,0,0
9/14/1990,83,62,0,0,0
9/15/1990,91,51,0,0,0
9/16/1990,75,60,0,0,0
9/17/1990,65,59,0.41,0,0
9/18/1990,80,62,0.32,0,0
9/19/1990,72,59,0,0,0
9/20/1990,76,64,0.1,0,0
9/21/1990,74,59,0,0,0
9/22/1990,75,50,0,0,0
9/23/1990,65,41,0,0,0
9/24/1990,85,46,0,0,0
9/25/1990,90,55,0,0,0
9/26/1990,94,56,0,0,0
9/27/1990,89,62, T,0,0
9/28/1990,77,57, T,0,0
9/29/1990,64,55,0.14,0,0
9/30/1990,72,48,0,0,0
10/1/1990,83,51,0,0,0
