Date,MaxTemperature,MinTemperature,Precipitation,Snowfall,SnowDepth
1/1/1990,46,33,0.02,0,0
1/2/1990,44,33,0,0,0
1/3/1990,45,40,0.15,0,0
1/4/1990,50,44,0.25,0,0
1/5/1990,54,45,0.85,0,0
1/6/1990,53,43,0.92,0,0
1/7/1990,53,43,0.56,0,0
1/8/1990,48,43,0.4,0,0
1/9/1990,53,42,2.83,0,0
1/10/1990,44,36,0,0,0
1/11/1990,49,36,0.01,0,0
1/12/1990,50,39, T,0,0
1/13/1990,51,43,0.07,0,0
1/14/1990,48,44,0.05,0,0
1/15/1990,47,41,0.05,0,0
1/16/1990,47,40, T,0,0
1/17/1990,48,35,0,0,0
1/18/1990,47,26,0,0,0
1/19/1990,48,28,0,0,0
1/20/1990,49,32,0,0,0
1/21/1990,46,40,0.12,0,0
1/22/1990,46,40,0.45,0,0
1/23/1990,48,37,0,0,0
1/24/1990,47,37, T,0,0
1/25/1990,46,37,0.38,0,0
1/26/1990,40,32,0.02, T,0
1/27/1990,48,38,0.26,0,0
1/28/1990,45,40,0.7,0,0
1/29/1990,42,38,0.36,0,0
1/30/1990,42,33,0.26, T,0
1/31/1990,41,32,0.7, T,0
2/1/1990,45,37,0.08,0,0
2/2/1990,49,40,0.15,0,0
2/3/1990,51,37,0.48,0,0
2/4/1990,44,34,0.06,0,0
2/5/1990,43,35,0.24, T,0
2/6/1990,40,33,0.11, T,0
2/7/1990,39,32,0.23, T,0
2/8/1990,43,35,0.13, T,0
2/9/1990,49,43,0.06,0,0
2/10/1990,51,48,0.23,0,0
2/11/1990,50,32,0.13, T,0
2/12/1990,38,29, T, T, T
2/13/1990,36,25,0,0,0
2/14/1990,34,22,0.02, T,0
2/15/1990,37,33,0.25, T,0
2/16/1990,38,30,0.34,3.5,0
2/17/1990,32,23,0.53,6.3,7
2/18/1990,38,20,0,0,5
2/19/1990,43,22,0.09,0,2
2/20/1990,46,34,0.56, T,1
2/21/1990,47,41, T,0,0
2/22/1990,51,38,0,0,0
2/23/1990,52,33,0.01,0,0
2/24/1990,53,45,0.02,0,0
2/25/1990,52,39, T,0,0
2/26/1990,54,37,0,0,0
2/27/1990,65,37,0,0,0
2/28/1990,65,37,0,0,0
3/1/1990,62,32,0,0,0
3/2/1990,64,35,0,0,0
3/3/1990,53,44,0.04,0,0
3/4/1990,57,43,0.01,0,0
3/5/1990,55,45,0.01,0,0
3/6/1990,48,43,0.19,0,0
3/7/1990,48,37,0.39,0,0
3/8/1990,40,34,0.28, T,0
3/9/1990,47,38,0.45,0,0
3/10/1990,48,34,0.02,0,0
3/11/1990,49,32,0,0,0
3/12/1990,50,33,0,0,0
3/13/1990,52,32,0.32,0,0
3/14/1990,53,39,0.14,0,0
3/15/1990,59,36,0,0,0
3/16/1990,60,41, T,0,0
3/17/1990,57,48,0.37,0,0
3/18/1990,59,45,0,0,0
3/19/1990,59,45,0.07,0,0
3/20/1990,58,45,0.03,0,0
3/21/1990,60,40,0,0,0
3/22/1990,50,39,0.22,0,0
3/23/1990,49,38,0.04,0,0
3/24/1990,56,38,0,0,0
3/25/1990,61,41,0,0,0
3/26/1990,61,34,0,0,0
3/27/1990,62,36,0,0,0
3/28/1990,67,37,0,0,0
3/29/1990,60,39,0,0,0
3/30/1990,49,41,0,0,0
3/31/1990,58,45,0,0,0
4/1/1990,60,42,0,0,0
4/2/1990,59,47, T,0,0
4/3/1990,63,40,0,0,0
4/4/1990,65,43,0,0,0
4/5/1990,66,40,0,0,0
4/6/1990,65,40,0,0,0
4/7/1990,56,41,0,0,0
4/8/1990,55,40, T,0,0
4/9/1990,57,41,0,0,0
4/10/1990,70,41, T,0,0
4/11/1990,62,49,0.17,0,0
4/12/1990,59,44,0,0,0
4/13/1990,54,47,0.36,0,0
4/14/1990,62,51,0.05,0,0
4/15/1990,73,47,0,0,0
4/16/1990,77,50,0,0,0
4/17/1990,56,47,0.15,0,0
4/18/1990,59,46,0,0,0
4/19/1990,58,48,0.03,0,0
4/20/1990,57,49,0.13,0,0
4/21/1990,60,47,0,0,0
4/22/1990,57,46,0.48,0,0
4/23/1990,53,45,0.34,0,0
4/24/1990,58,44,0.01,0,0
4/25/1990,56,44,0.28,0,0
4/26/1990,50,43, T,0,0
4/27/1990,47,41,0.29,0,0
4/28/1990,59,41,0.18,0,0
4/29/1990,59,44,0.07,0,0
4/30/1990,65,40,0,0,0
5/1/1990,61,44, T,0,0
5/2/1990,62,50,0.11,0,0
5/3/1990,70,50,0,0,0
5/4/1990,77,48,0,0,0
5/5/1990,75,46,0,0,0
5/6/1990,57,40,0.38, T,0
5/7/1990,57,40, T,0,0
5/8/1990,63,39,0,0,0
5/9/1990,70,45,0,0,0
5/10/1990,59,48,0,0,0
5/11/1990,61,48,0,0,0
5/12/1990,61,48, T,0,0
5/13/1990,57,44,0.05,0,0
5/14/1990,57,43,0.02,0,0
5/15/1990,57,43,0,0,0
5/16/1990,63,46,0,0,0
5/17/1990,61,46, T,0,0
5/18/1990,60,46,0,0,0
5/19/1990,64,47,0.02,0,0
5/20/1990,60,48,0.18,0,0
5/21/1990,67,47,0.08,0,0
5/22/1990,62,49, T,0,0
5/23/1990,55,47,0,0,0
5/24/1990,61,43,0,0,0
5/25/1990,66,45,0,0,0
5/26/1990,67,45, T,0,0
5/27/1990,64,52,0.03,0,0
5/28/1990,69,52, T,0,0
5/29/1990,64,49,0,0,0
5/30/1990,70,49,0.96,0,0
5/31/1990,56,48,0.15,0,0
6/1/1990,57,48,0.06,0,0
6/2/1990,67,50,0.08,0,0
6/3/1990,62,48,1.08,0,0
6/4/1990,63,46,0.06,0,0
6/5/1990,66,49, T,0,0
6/6/1990,62,52,0.57,0,0
6/7/1990,65,49, T,0,0
6/8/1990,67,51,0.14,0,0
6/9/1990,59,48,0.7,0,0
6/10/1990,58,46,0.07,0,0
6/11/1990,64,50, T,0,0
6/12/1990,61,50,0.23,0,0
6/13/1990,67,50, T,0,0
6/14/1990,76,52,0,0,0
6/15/1990,70,51,0,0,0
6/16/1990,64,50,0.01,0,0
6/17/1990,72,50, T,0,0
6/18/1990,73,51,0,0,0
6/19/1990,72,54,0,0,0
6/20/1990,75,58,0,0,0
6/21/1990,84,57,0,0,0
6/22/1990,73,55,0.02,0,0
6/23/1990,68,53, T,0,0
6/24/1990,72,50,0,0,0
6/25/1990,68,50,0,0,0
6/26/1990,71,50,0,0,0
6/27/1990,73,51, T,0,0
6/28/1990,73,56,0.02,0,0
6/29/1990,79,55,0,0,0
6/30/1990,72,57,0.01,0,0
7/1/1990,70,53, T,0,0
7/2/1990,63,51,0.39,0,0
7/3/1990,73,50,0,0,0
7/4/1990,79,57, T,0,0
7/5/1990,77,57,0.17,0,0
7/6/1990,73,55,0.01,0,0
7/7/1990,76,56, T,0,0
7/8/1990,80,57,0,0,0
7/9/1990,81,57,0,0,0
7/10/1990,85,59,0,0,0
7/11/1990,89,62, T,0,0
7/12/1990,87,66,0,0,0
7/13/1990,83,55,0,0,0
7/14/1990,84,57,0,0,0
7/15/1990,88,57,0,0,0
7/16/1990,78,54,0,0,0
7/17/1990,79,51,0,0,0
7/18/1990,82,56,0,0,0
7/19/1990,85,60,0,0,0
7/20/1990,90,59,0,0,0
7/21/1990,94,61,0,0,0
7/22/1990,87,58,0,0,0
7/23/1990,70,57,0,0,0
7/24/1990,67,55,0,0,0
7/25/1990,62,56,0.01,0,0
7/26/1990,66,58,0,0,0
7/27/1990,75,55,0,0,0
7/28/1990,82,55,0,0,0
7/29/1990,91,60,0,0,0
7/30/1990,88,58,0,0,0
7/31/1990,71,58,0,0,0
8/1/1990,71,55, T,0,0
8/2/1990,79,51,0,0,0
8/3/1990,83,60,0,0,0
8/4/1990,92,61,0,0,0
8/5/1990,85,60,0,0,0
8/6/1990,77,55,0,0,0
8/7/1990,83,56,0,0,0
8/8/1990,83,58,0,0,0
8/9/1990,86,55,0,0,0
8/10/1990,90,60,0,0,0
8/11/1990,94,63,0,0,0
8/12/1990,89,60,0,0,0
8/13/1990,77,57,0,0,0
8/14/1990,81,55,0,0,0
8/15/1990,75,56,0,0,0
8/16/1990,77,60,0,0,0
8/17/1990,77,58,0.01,0,0
8/18/1990,73,59,0.08,0,0
8/19/1990,72,55,0.03,0,0
8/20/1990,77,55,0,0,0
8/21/1990,65,60,0.12,0,0
8/22/1990,73,55, T,0,0
8/23/1990,70,50,0,0,0
8/24/1990,70,54,0,0,0
8/25/1990,72,52,0,0,0
8/26/1990,77,50,0,0,0
8/27/1990,77,50,0,0,0
8/28/1990,85,55,0,0,0
8/29/1990,65,59,0.27,0,0
8/30/1990,69,59,0.12,0,0
8/31/1990,74,58,0.08,0,0
9/1/1990,70,55,0.01,0,0
9/2/1990,73,57,0,0,0
9/3/1990,74,55,0,0,0
9/4/1990,81,56,0,0,0
9/5/1990,81,53,0,0,0
9/6/1990,78,54,0,0,0
9/7/1990,71,55,0.01,0,0
9/8/1990,69,60,0,0,0
9/9/1990,72,58,0,0,0
9/10/1990,77,52,0,0,0
9/11/1990,64,51,0,0,0
9/12/1990,66,55,0,0,0
9/13/1990,74,52,0,0,0
9/14/1990,77,54,0,0,0
9/15/1990,64,53, T,0,0
9/16/1990,73,55,0.03,0,0
9/17/1990,73,54,0,0,0
9/18/1990,75,54,0,0,0
9/19/1990,72,53,0,0,0
9/20/1990,73,52,0,0,0
9/21/1990,81,55,0,0,0
9/22/1990,92,57,0,0,0
9/23/1990,70,53,0,0,0
9/24/1990,62,52, T,0,0
9/25/1990,70,55,0,0,0
9/26/1990,67,53,0,0,0
9/27/1990,73,56,0,0,0
9/28/1990,75,50,0,0,0
9/29/1990,69,51, T,0,0
9/30/1990,70,46,0,0,0
10/1/1990,67,47,0.02,0,0
10/2/1990,60,45,0.16,0,0
10/3/1990,61,48,0.13,0,0
10/4/1990,64,48,0.64,0,0
10/5/1990,58,47, T,0,0
10/6/1990,57,40,0.14,0,0
10/7/1990,59,38,0,0,0
10/8/1990,63,42,0,0,0
10/9/1990,59,44,0.05,0,0
10/10/1990,60,44,0,0,0
10/11/1990,54,38,0.28,0,0
10/12/1990,55,48,0.03,0,0
10/13/1990,60,47,0,0,0
10/14/1990,51,46,0.77,0,0
10/15/1990,52,47,0.39,0,0
10/16/1990,56,44,0.05,0,0
10/17/1990,53,43,0.29,0,0
10/18/1990,57,45,0.15,0,0
10/19/1990,55,40,0,0,0
10/20/1990,55,40,0.09,0,0
10/21/1990,54,46,0.69,0,0
10/22/1990,55,41, T,0,0
10/23/1990,59,42,0,0,0
10/24/1990,65,45,0,0,0
10/25/1990,64,49,0.14,0,0
10/26/1990,63,47,0,0,0
10/27/1990,66,45,0.19,0,0
10/28/1990,58,43,0.14,0,0
10/29/1990,58,41,0.24,0,0
10/30/1990,52,48,0.16,0,0
10/31/1990,52,42,1.04,0,0
11/1/1990,53,38, T,0,0
11/2/1990,49,36,0.01,0,0
11/3/1990,53,43,0.12,0,0
11/4/1990,57,45,0.02,0,0
11/5/1990,51,41, T,0,0
11/6/1990,50,38, T,0,0
11/7/1990,53,44,0.15,0,0
11/8/1990,55,48,0.21,0,0
11/9/1990,56,53,2.95,0,0
11/10/1990,60,54,0.35,0,0
11/11/1990,65,51,0,0,0
11/12/1990,56,44,0.62,0,0
11/13/1990,54,41,0.71,0,0
11/14/1990,51,40,0.12,0,0
11/15/1990,53,43, T,0,0
11/16/1990,54,37, T,0,0
11/17/1990,50,37,0.34,0,0
11/18/1990,43,30,0,0,0
11/19/1990,45,36,0.02,0,0
11/20/1990,44,39, T,0,0
11/21/1990,53,40,0.42,0,0
11/22/1990,53,49,0.28,0,0
11/23/1990,54,51,0.8,0,0
11/24/1990,55,47,2.93,0,0
11/25/1990,47,37, T,0,0
11/26/1990,45,33,0.1,0,0
11/27/1990,48,37,0,0,0
11/28/1990,49,38, T,0,0
11/29/1990,51,38,0.28,0,0
11/30/1990,43,33,0.28,0,0
12/1/1990,45,36,0.33,0,0
12/2/1990,45,35,0.05,0,0
12/3/1990,53,43,0.16,0,0
12/4/1990,52,41,0.82,0,0
12/5/1990,48,40, T,0,0
12/6/1990,50,35,0,0,0
12/7/1990,45,32, T,0,0
12/8/1990,49,43,0.54,0,0
12/9/1990,50,45,0.24,0,0
12/10/1990,47,40,0.21,0,0
12/11/1990,43,38,0.09,0,0
12/12/1990,41,36,0.01,0,0
12/13/1990,43,34, T,0,0
12/14/1990,47,37,0.02,0,0
12/15/1990,45,34,0.22,0,0
12/16/1990,41,34,0.11, T,0
12/17/1990,49,39, T,0,0
12/18/1990,41,21,0.45,2.5,0
