Date,MaxTemperature,MinTemperature,Precipitation,Snowfall,SnowDepth
12/31/1990, M, M,0.87,1, M
1/1/1991, M, M,0,0, M
1/2/1991, M, M,0,0, M
1/3/1991, M, M,0.03,0.5, M
1/4/1991, M, M,0,0, M
1/5/1991, M, M,0,0, M
1/6/1991, M, M,0,0, M
1/7/1991, M, M,0.03,0.1, M
1/8/1991, M, M, T, T, M
1/9/1991, M, M,0.02,0.3, M
1/10/1991, M, M,0.04,0.3, M
1/11/1991, M, M, T, T, M
1/12/1991, M, M,0,0, M
1/13/1991, M, M,0,0, M
1/14/1991, M, M,0.75,6, M
1/15/1991, M, M,0,0, M
1/16/1991, M, M,0.3,0, M
1/17/1991, M, M,0.06,0, M
1/18/1991, M, M,0.04,0.8, M
1/19/1991, M, M,0,0, M
1/20/1991, M, M,0,0, M
1/21/1991, M, M,0,0, M
1/22/1991, M, M,0.05,1.5, M
1/23/1991, M, M,0,0, M
1/24/1991, M, M, T, T, M
1/25/1991, M, M,0.05,2, M
1/26/1991, M, M,0,0, M
1/27/1991, M, M,0,0, M
1/28/1991, M, M,0,0, M
1/29/1991, M, M, T,0, M
1/30/1991, M, M,0.09,2, M
1/31/1991, M, M, T, T, M
2/1/1991, M, M,0.04,1, M
2/2/1991, M, M,0,0, M
2/3/1991, M, M,0,0, M
2/4/1991, M, M,0,0, M
2/5/1991, M, M,0,0, M
2/6/1991, M, M, T,0, M
2/7/1991, M, M,0.18,0, M
2/8/1991, M, M,0.02,0, M
2/9/1991, M, M, S, S, M
2/10/1991, M, M, M, M, M
2/11/1991, M, M, 0.01A, 0.3A, M
2/12/1991, M, M, S, S, M
2/13/1991, M, M, 0.15A, 4.0A, M
2/14/1991, M, M, S, S, M
2/15/1991, M, M, 0.40A, 5.0A, M
2/16/1991, M, M, S,0, M
2/17/1991, M, M, M,0, M
2/18/1991, M, M, M,0, M
2/19/1991, M, M, 0.08A,0, M
2/20/1991, M, M,0.15,0, M
2/21/1991, M, M,0,0, M
2/22/1991, M, M,0,0, M
2/23/1991, M, M, S,0, M
2/24/1991, M, M, M,0, M
2/25/1991, M, M, 0.06A, T, M
2/26/1991, M, M,0,0, M
2/27/1991, M, M, T, T, M
2/28/1991, M, M,0.06,2, M
3/1/1991, M, M,0.11,1, M
3/2/1991, M, M,0,0, M
3/3/1991, M, M,0,0, M
3/4/1991, M, M,1.53,0, M
3/5/1991, M, M,0.2,0, M
3/6/1991, M, M,0,0, M
3/7/1991, M, M,0.02,0, M
3/8/1991, M, M, T, T,0
3/9/1991, M, M,0,0,0
3/10/1991, M, M,0,0,0
3/11/1991, M, M,0,0,0
3/12/1991, M, M,0,0,0
3/13/1991, M, M,0,0,0
3/14/1991, M, M,0,0,0
3/15/1991, M, M,0,0,0
3/16/1991, M, M,0,0,0
3/17/1991, M, M,0,0,0
3/18/1991, M, M,0.06,0,0
3/19/1991, M, M,0.08,0,0
3/20/1991, M, M,0.02,0,0
3/21/1991, M, M,0,0,0
3/22/1991, M, M,0.01,0,0
3/23/1991, M, M,0,0,0
3/24/1991, M, M,0,0,0
3/25/1991, M, M,0.45,0,0
3/26/1991, M, M, T,0,0
3/27/1991, M, M,0.16,0,0
3/28/1991, M, M,0.72,0,0
3/29/1991, M, M, T,0,0
3/30/1991, M, M,0,0,0
3/31/1991, M, M,0,0,0
4/1/1991, M, M, T,0,0
4/2/1991, M, M,0.22,0,0
4/3/1991, M, M, T,0,0
4/4/1991, M, M,0,0,0
4/5/1991, M, M,0.01,0,0
4/6/1991, M, M, S,0,0
4/7/1991, M, M, M,0,0
4/8/1991, M, M, 0.07A,0,0
4/9/1991, M, M,0.86,0,0
4/10/1991, M, M,0.4,0,0
4/11/1991, M, M, T,0,0
4/12/1991, M, M,0,0,0
4/13/1991, M, M, S,0,0
4/14/1991, M, M, M,0,0
4/15/1991, M, M, 0.15A,0,0
4/16/1991, M, M,0.27,0,0
4/17/1991, M, M,0,0,0
4/18/1991, M, M,0,0,0
4/19/1991, M, M,0,0,0
4/20/1991, M, M, S,0,0
4/21/1991, M, M, M,0,0
4/22/1991, M, M, 2.39A,0,0
4/23/1991, M, M,0.1,0,0
4/24/1991, M, M,0,0,0
4/25/1991, M, M, T,0,0
4/26/1991, M, M,0,0,0
4/27/1991, M, M, S,0,0
4/28/1991, M, M, M,0,0
4/29/1991, M, M, 0.03A,0,0
4/30/1991, M, M,0.1,0,0
5/1/1991, M, M,0.06,0,0
5/2/1991, M, M, T,0,0
5/3/1991, M, M,0.02,0,0
5/4/1991, M, M,0,0,0
5/5/1991, M, M,0,0,0
5/6/1991, M, M,0.04,0,0
5/7/1991, M, M,0.5,0,0
5/8/1991, M, M,0,0,0
5/9/1991, M, M, T,0,0
5/10/1991, M, M,0.11,0,0
5/11/1991, M, M,0,0,0
5/12/1991, M, M,0,0,0
5/13/1991, M, M,0,0,0
5/14/1991, M, M,0.31,0,0
5/15/1991, M, M, T,0,0
5/16/1991, M, M,0,0,0
5/17/1991, M, M, T,0,0
5/18/1991, M, M,0.96,0,0
5/19/1991, M, M,0,0,0
5/20/1991, M, M,0,0,0
5/21/1991, M, M,0,0,0
5/22/1991, M, M,0,0,0
5/23/1991, M, M,0,0,0
5/24/1991, M, M,0,0,0
5/25/1991, M, M,0.02,0,0
5/26/1991, M, M,0,0,0
5/27/1991, M, M,0.62,0,0
5/28/1991, M, M,0.04,0,0
5/29/1991, M, M,0,0,0
5/30/1991, M, M,0,0,0
5/31/1991, M, M,0.64,0,0
6/1/1991, M, M,0,0,0
6/2/1991, M, M,0,0,0
6/3/1991, M, M,0,0,0
6/4/1991, M, M,0,0,0
6/5/1991, M, M,0,0,0
6/6/1991, M, M,0,0,0
