Date,MaxTemperature,MinTemperature,Precipitation,Snowfall,SnowDepth
1/1/1990,33,27, T, T,1
1/2/1990,37,25,0,0,1
1/3/1990,44,32,0.01,0,1
1/4/1990,49,27,0.33,0, T
1/5/1990,33,19,0,0,0
1/6/1990,34,22,0,0,0
1/7/1990,44,27,0,0,0
1/8/1990,46,24,0,0,0
1/9/1990,44,36,0.24,0,0
1/10/1990,37,31,0.01, T,0
1/11/1990,44,31, T, T,0
1/12/1990,33,24,0.07,1.5,1
1/13/1990,30,18, T, T,1
1/14/1990,39,23,0,0, T
1/15/1990,46,38,0,0, T
1/16/1990,53,34,0.12,0,0
1/17/1990,57,49,0.75,0,0
1/18/1990,53,26, T, T,0
1/19/1990,34,19,0,0,0
1/20/1990,33,30,0.38, T, T
1/21/1990,36,32,0.02,0.2,0
1/22/1990,41,26,0.01, T,0
1/23/1990,49,25,0.03,0,0
1/24/1990,51,30,0,0,0
1/25/1990,55,29,0.15, T,0
1/26/1990,33,26, T,0.1, T
1/27/1990,52,28, T,0,0
1/28/1990,41,23,0,0,0
1/29/1990,33,19,0.06,0.7,0
1/30/1990,37,13,0,0, T
1/31/1990,39,23,0,0,0
2/1/1990,46,34,0.32,0,0
2/2/1990,44,28,0.53,0, T
2/3/1990,33,27, T,0, T
2/4/1990,32,27,0.17,0.6,1
2/5/1990,39,27,0,0, T
2/6/1990,47,32,0.01,0,0
2/7/1990,48,39, T,0,0
2/8/1990,58,33,0,0,0
2/9/1990,56,36, T,0,0
2/10/1990,42,25,0,0,0
2/11/1990,42,28, T, T,0
2/12/1990,44,22,0,0,0
2/13/1990,65,34,0.06,0,0
2/14/1990,35,24,0.3,1.3, T
2/15/1990,32,28,0.94,2.2,2
2/16/1990,36,25, T, T,1
2/17/1990,28,19,0.01,0.1,1
2/18/1990,41,17,0,0, T
2/19/1990,36,20,0,0, T
2/20/1990,35,14,0,0,0
2/21/1990,51,21,0,0,0
2/22/1990,51,37,2.59,0,0
2/23/1990,37,21,0.17,1.8, T
2/24/1990,37,11,0.29,4.4,3
2/25/1990,17,3,0,0,2
2/26/1990,27,6,0,0,2
2/27/1990,40,27,0,0,2
2/28/1990,33,17,0,0, T
3/1/1990,41,19,0,0,0
3/2/1990,50,30,0,0,0
3/3/1990,36,22,0,0,0
3/4/1990,32,16, T, T,0
3/5/1990,31,25,0.12,1.4, T
3/6/1990,28,19, T, T,1
3/7/1990,32,18,0,0, T
3/8/1990,43,25,0.38,0, T
3/9/1990,56,42,0.06,0,0
3/10/1990,61,34,0.73,0,0
3/11/1990,76,47,0.02,0,0
3/12/1990,76,60,0,0,0
3/13/1990,73,59,0,0,0
3/14/1990,79,54,0,0,0
3/15/1990,78,53,0.33,0,0
3/16/1990,59,49,0.21,0,0
3/17/1990,52,40,0,0,0
3/18/1990,45,31,0.12,0.3,0
3/19/1990,33,25,0.12,1.8,1
3/20/1990,42,22,0,0, T
3/21/1990,52,27,0,0,0
3/22/1990,59,41,0.12,0,0
3/23/1990,41,27,0,0,0
3/24/1990,38,23,0,0,0
3/25/1990,45,20,0,0,0
3/26/1990,43,25,0,0,0
3/27/1990,45,17,0,0,0
3/28/1990,50,21,0,0,0
3/29/1990,47,39,0.38,0,0
3/30/1990,49,41,0.76,0,0
3/31/1990,46,41,0.11,0,0
4/1/1990,54,43,0.18,0,0
4/2/1990,49,35,0.08, T,0
4/3/1990,36,32,0.01,0.1, T
4/4/1990,56,33,0,0,0
4/5/1990,47,28,0.02,0,0
4/6/1990,44,27,0.02,0.2,0
4/7/1990,38,23, T, T, T
4/8/1990,55,21,0,0,0
4/9/1990,63,45,0.15,0,0
4/10/1990,51,36,0.93,0,0
4/11/1990,46,30,0.02, T,0
4/12/1990,41,23, T, T,0
4/13/1990,53,28,0.01,0,0
4/14/1990,55,35,0.12,0,0
4/15/1990,53,32,0,0,0
4/16/1990,63,26, T,0,0
4/17/1990,54,26, T,0,0
4/18/1990,54,20,0,0,0
4/19/1990,65,29, T,0,0
4/20/1990,59,54,0.54,0,0
4/21/1990,69,45,0.01,0,0
4/22/1990,71,38,0,0,0
4/23/1990,77,42,0,0,0
4/24/1990,87,47,0,0,0
4/25/1990,88,63,0,0,0
4/26/1990,86,59,0,0,0
4/27/1990,88,53,0,0,0
4/28/1990,84,56,0,0,0
4/29/1990,71,55,0,0,0
