Date,MaxTemperature,MinTemperature,Precipitation,Snowfall,SnowDepth
1/1/1990,35, M,0,0,8
1/2/1990,33,15,0,0,8
1/3/1990,36,-5,0,0,7
1/4/1990,36, M,0,0,7
1/5/1990,37,-1,0,0,6
1/6/1990,43,16,0,0,5
1/7/1990,46,31,0,0,4
1/8/1990,42,32,0,0,4
1/9/1990,44,26,0,0,3
1/10/1990,36,27,0,0,3
1/11/1990,32,17,0,0,3
1/12/1990,24,4,0,0,3
1/13/1990,41,18,0.01, T,2
1/14/1990, M,22,0,0,2
1/15/1990,30,24,0,0,2
1/16/1990,26,20, T, T,2
1/17/1990,27,16,0.04,1,3
1/18/1990,30,2,0,0,3
1/19/1990,19,7,0,0,3
1/20/1990, M,3,0,0,3
1/21/1990,45, M,0,0,3
1/22/1990,44,28,0.02, T,1
1/23/1990,39,23, T, T,1
1/24/1990,39,21,0,0,1
1/25/1990,44,27,0,0, T
1/26/1990,42,21, T, T, T
1/27/1990,37,10,0,0, T
1/28/1990, M, M,0,0, T
1/29/1990,36,-9, T, T, T
1/30/1990,-6,-16,0.12,3,3
1/31/1990,-13,-19,0.03,0.5,3
2/1/1990,-6,-31, T, T,3
2/2/1990,14,-14,0,0,3
2/3/1990,40,2,0,0,3
2/4/1990, M, M,0,0,3
2/5/1990, M, M,0,0,3
2/6/1990, M, M,0,0,2
2/7/1990,34,13,0,0,1
2/8/1990,31,15,0,0,1
2/9/1990,29,9,0,0,1
2/10/1990,49,13,0,0,1
2/11/1990,53,21,0,0, T
2/12/1990,27,-2, T, T, T
2/13/1990,-2,-10, T, T, T
2/14/1990,18,-12,0,0, T
2/15/1990,16,-6,0,0, T
2/16/1990,8,2,0.07,1,1
2/17/1990, M,-15,0,0,1
2/18/1990,30, M,0,0,1
2/19/1990,39,19,0,0, T
2/20/1990,45,26,0,0,0
2/21/1990,47,20,0,0,0
2/22/1990,54,24,0,0,0
2/23/1990,55,30,0,0,0
2/24/1990, M, M,0,0,0
2/25/1990, M,22,0,0,0
2/26/1990,34, M, T, T,0
2/27/1990,44,16,0,0,0
2/28/1990,53,23,0,0,0
3/1/1990,51,21,0,0,0
3/2/1990,46,24,0,0,0
3/3/1990, M,23,0,0,0
3/4/1990,52, M,0,0,0
3/5/1990,44,28,0,0,0
3/6/1990,53,31,0,0,0
3/7/1990,53,27,0,0,0
3/8/1990,53,28,0,0,0
3/9/1990,49,26,0,0,0
3/10/1990,65,24,0,0,0
3/11/1990,42, M,0,0,0
3/12/1990,29,23,0,0,0
3/13/1990, M, M,0.41,6,6
3/14/1990,40,0,0,0,5
3/15/1990,39, M,0,0,4
3/16/1990,46,23,0,0,2
3/17/1990, M, M, T, T,2
3/18/1990,47,20,0,0,2
3/19/1990,56,26,0,0, T
3/20/1990,53, M,0,0, T
3/21/1990, M,16, T, T, T
3/22/1990,16,10, T, T, T
3/23/1990,20,6,0,0,0
3/24/1990, M,7,0,0,0
3/25/1990,45, M,0,0,0
3/26/1990,54,19,0,0,0
3/27/1990, M, M,0,0,0
3/28/1990,53,26,0,0,0
3/29/1990,61,24,0,0,0
3/30/1990,64,28,0,0,0
3/31/1990, M,32,0,0,0
4/1/1990,65, M,0,0,0
4/2/1990,76,29,0,0,0
4/3/1990,68,38,0,0,0
4/4/1990,50,33,0,0,0
4/5/1990,46,17,0,0,0
4/6/1990,57,19,0,0,0
4/7/1990,61,29,0,0,0
4/8/1990,55,34, T,0,0
4/9/1990,37,23,0.2,2,2
4/10/1990,33,7,0,0, T
4/11/1990,44,14,0,0,0
4/12/1990,42,24, T, T,0
4/13/1990,62,29,0,0,0
4/14/1990,58,38,0,0,0
4/15/1990,64,37,0,0,0
4/16/1990,48,23,0,0,0
4/17/1990,65,20,0,0,0
4/18/1990,74,30,0,0,0
4/19/1990,74,33,0,0,0
4/20/1990,80,37,0,0,0
4/21/1990,77,50, T,0,0
4/22/1990,79,50,0.04,0,0
4/23/1990,70,43,0,0,0
4/24/1990,66,43,0.18,0,0
4/25/1990,64,39,0,0,0
4/26/1990,58,38,0.04,0,0
4/27/1990,51,30,0,0,0
4/28/1990, M, M, S,0,0
4/29/1990,30,25, 0.33A,2, T
4/30/1990, M,26,0,0,0
5/1/1990,64, M,0,0,0
5/2/1990,63,26,0,0,0
5/3/1990,68,34,0,0,0
5/4/1990,71,43,0,0,0
5/5/1990,82,34,0,0,0
5/6/1990,75,53,0,0,0
5/7/1990,63,33,0.2, T,0
5/8/1990,44,30, T, T,0
5/9/1990, M,27,0,0,0
5/10/1990,63,40,0,0,0
5/11/1990,64,26,0,0,0
5/12/1990,60,35,0.03,0,0
5/13/1990,62,26,0,0,0
5/14/1990,62,37,0,0,0
5/15/1990, M, M,0.15,0,0
5/16/1990,63,30,0,0,0
5/17/1990,72,30,0,0,0
5/18/1990,67,46,0.16,0,0
5/19/1990,59,41,0,0,0
5/20/1990, M,35,0.25,0,0
5/21/1990,74,45,0,0,0
5/22/1990,72,35,0,0,0
5/23/1990,80,41,0,0,0
5/24/1990,78,49,0.04,0,0
5/25/1990, M, M,0.75,0,0
5/26/1990, M, M,0,0,0
5/27/1990, M, M,0,0,0
5/28/1990,78,45,0,0,0
5/29/1990,75,55,0,0,0
5/30/1990,75,51,0.02,0,0
5/31/1990,77,51,0,0,0
6/1/1990, M, M,0.04,0,0
6/2/1990, M,37,0,0,0
6/3/1990,70, M,0,0,0
6/4/1990, M,50, T,0,0
6/5/1990, M, M,0,0,0
6/6/1990,74,35,0,0,0
6/7/1990,72,50,0.2,0,0
6/8/1990,75,50,0,0,0
6/9/1990,88, M,0,0,0
6/10/1990, M, M,0.05,0,0
6/11/1990,66,45,0,0,0
6/12/1990,67,50,0,0,0
6/13/1990,61,45,0.14,0,0
6/14/1990,63,46,0.13,0,0
6/15/1990,65,45,0,0,0
6/16/1990,79,38,0,0,0
6/17/1990,80,45,0,0,0
