Date, MaxTemperature, MinTemperature, Precipitation, Snowfall, SnowDepth
1990-01-01, 35, M, 0.00, 0.0, 8
1990-01-02, 33, 15, 0.00, 0.0, 8
1990-01-03, 36, -5, 0.00, 0.0, 7
1990-01-04, 36, M, 0.00, 0.0, 7
1990-01-05, 37, -1, 0.00, 0.0, 6
1990-01-06, 43, 16, 0.00, 0.0, 5
1990-01-07, 46, 31, 0.00, 0.0, 4
1990-01-08, 42, 32, 0.00, 0.0, 4
1990-01-09, 44, 26, 0.00, 0.0, 3
1990-01-10, 36, 27, 0.00, 0.0, 3
1990-01-11, 32, 17, 0.00, 0.0, 3
1990-01-12, 24, 4, 0.00, 0.0, 3
1990-01-13, 41, 18, 0.01, T, 2
1990-01-14, M, 22, 0.00, 0.0, 2
1990-01-15, 30, 24, 0.00, 0.0, 2
1990-01-16, 26, 20, T, T, 2
1990-01-17, 27, 16, 0.04, 1.0, 3
1990-01-18, 30, 2, 0.00, 0.0, 3
1990-01-19, 19, 7, 0.00, 0.0, 3
1990-01-20, M, 3, 0.00, 0.0, 3
1990-01-21, 45, M, 0.00, 0.0, 3
1990-01-22, 44, 28, 0.02, T, 1
1990-01-23, 39, 23, T, T, 1
1990-01-24, 39, 21, 0.00, 0.0, 1
1990-01-25, 44, 27, 0.00, 0.0, T
1990-01-26, 42, 21, T, T, T
1990-01-27, 37, 10, 0.00, 0.0, T
1990-01-28, M, M, 0.00, 0.0, T
1990-01-29, 36, -9, T, T, T
1990-01-30, -6, -16, 0.12, 3.0, 3
1990-01-31, -13, -19, 0.03, 0.5, 3
1990-02-01, -6, -31, T, T, 3
1990-02-02, 14, -14, 0.00, 0.0, 3
1990-02-03, 40, 2, 0.00, 0.0, 3
1990-02-04, M, M, 0.00, 0.0, 3
1990-02-05, M, M, 0.00, 0.0, 3
1990-02-06, M, M, 0.00, 0.0, 2
1990-02-07, 34, 13, 0.00, 0.0, 1
1990-02-08, 31, 15, 0.00, 0.0, 1
1990-02-09, 29, 9, 0.00, 0.0, 1
1990-02-10, 49, 13, 0.00, 0.0, 1
1990-02-11, 53, 21, 0.00, 0.0, T
1990-02-12, 27, -2, T, T, T
1990-02-13, -2, -10, T, T, T
1990-02-14, 18, -12, 0.00, 0.0, T
1990-02-15, 16, -6, 0.00, 0.0, T
1990-02-16, 8, 2, 0.07, 1.0, 1
1990-02-17, M, -15, 0.00, 0.0, 1
1990-02-18, 30, M, 0.00, 0.0, 1
1990-02-19, 39, 19, 0.00, 0.0, T
1990-02-20, 45, 26, 0.00, 0.0, 0
1990-02-21, 47, 20, 0.00, 0.0, 0
1990-02-22, 54, 24, 0.00, 0.0, 0
1990-02-23, 55, 30, 0.00, 0.0, 0
1990-02-24, M, M, 0.00, 0.0, 0
1990-02-25, M, 22, 0.00, 0.0, 0
1990-02-26, 34, M, T, T, 0
1990-02-27, 44, 16, 0.00, 0.0, 0
1990-02-28, 53, 23, 0.00, 0.0, 0
1990-03-01, 51, 21, 0.00, 0.0, 0
1990-03-02, 46, 24, 0.00, 0.0, 0
1990-03-03, M, 23, 0.00, 0.0, 0
1990-03-04, 52, M, 0.00, 0.0, 0
1990-03-05, 44, 28, 0.00, 0.0, 0
1990-03-06, 53, 31, 0.00, 0.0, 0
1990-03-07, 53, 27, 0.00, 0.0, 0
1990-03-08, 53, 28, 0.00, 0.0, 0
1990-03-09, 49, 26, 0.00, 0.0, 0
1990-03-10, 65, 24, 0.00, 0.0, 0
1990-03-11, 42, M, 0.00, 0.0, 0
1990-03-12, 29, 23, 0.00, 0.0, 0
1990-03-13, M, M, 0.41, 6.0, 6
1990-03-14, 40, -0, 0.00, 0.0, 5
1990-03-15, 39, M, 0.00, 0.0, 4
1990-03-16, 46, 23, 0.00, 0.0, 2
1990-03-17, M, M, T, T, 2
1990-03-18, 47, 20, 0.00, 0.0, 2
1990-03-19, 56, 26, 0.00, 0.0, T
1990-03-20, 53, M, 0.00, 0.0, T
1990-03-21, M, 16, T, T, T
1990-03-22, 16, 10, T, T, T
1990-03-23, 20, 6, 0.00, 0.0, 0
1990-03-24, M, 7, 0.00, 0.0, 0
1990-03-25, 45, M, 0.00, 0.0, 0
1990-03-26, 54, 19, 0.00, 0.0, 0
1990-03-27, M, M, 0.00, 0.0, 0
1990-03-28, 53, 26, 0.00, 0.0, 0
1990-03-29, 61, 24, 0.00, 0.0, 0
1990-03-30, 64, 28, 0.00, 0.0, 0
1990-03-31, M, 32, 0.00, 0.0, 0
1990-04-01, 65, M, 0.00, 0.0, 0
1990-04-02, 76, 29, 0.00, 0.0, 0
1990-04-03, 68, 38, 0.00, 0.0, 0
1990-04-04, 50, 33, 0.00, 0.0, 0
1990-04-05, 46, 17, 0.00, 0.0, 0
1990-04-06, 57, 19, 0.00, 0.0, 0
1990-04-07, 61, 29, 0.00, 0.0, 0
1990-04-08, 55, 34, T, 0.0, 0
1990-04-09, 37, 23, 0.20, 2.0, 2
1990-04-10, 33, 7, 0.00, 0.0, T
1990-04-11, 44, 14, 0.00, 0.0, 0
1990-04-12, 42, 24, T, T, 0
1990-04-13, 62, 29, 0.00, 0.0, 0
1990-04-14, 58, 38, 0.00, 0.0, 0
1990-04-15, 64, 37, 0.00, 0.0, 0
1990-04-16, 48, 23, 0.00, 0.0, 0
1990-04-17, 65, 20, 0.00, 0.0, 0
1990-04-18, 74, 30, 0.00, 0.0, 0
1990-04-19, 74, 33, 0.00, 0.0, 0
1990-04-20, 80, 37, 0.00, 0.0, 0
1990-04-21, 77, 50, T, 0.0, 0
1990-04-22, 79, 50, 0.04, 0.0, 0
1990-04-23, 70, 43, 0.00, 0.0, 0
1990-04-24, 66, 43, 0.18, 0.0, 0
1990-04-25, 64, 39, 0.00, 0.0, 0
1990-04-26, 58, 38, 0.04, 0.0, 0
1990-04-27, 51, 30, 0.00, 0.0, 0
1990-04-28, M, M, S, 0.0, 0
1990-04-29, 30, 25, 0.33A, 2.0, T
1990-04-30, M, 26, 0.00, 0.0, 0
1990-05-01, 64, M, 0.00, 0.0, 0
1990-05-02, 63, 26, 0.00, 0.0, 0
1990-05-03, 68, 34, 0.00, 0.0, 0
1990-05-04, 71, 43, 0.00, 0.0, 0
1990-05-05, 82, 34, 0.00, 0.0, 0
1990-05-06, 75, 53, 0.00, 0.0, 0
1990-05-07, 63, 33, 0.20, T, 0
1990-05-08, 44, 30, T, T, 0
1990-05-09, M, 27, 0.00, 0.0, 0
1990-05-10, 63, 40, 0.00, 0.0, 0
1990-05-11, 64, 26, 0.00, 0.0, 0
1990-05-12, 60, 35, 0.03, 0.0, 0
1990-05-13, 62, 26, 0.00, 0.0, 0
1990-05-14, 62, 37, 0.00, 0.0, 0
1990-05-15, M, M, 0.15, 0.0, 0
1990-05-16, 63, 30, 0.00, 0.0, 0
1990-05-17, 72, 30, 0.00, 0.0, 0
1990-05-18, 67, 46, 0.16, 0.0, 0
1990-05-19, 59, 41, 0.00, 0.0, 0
1990-05-20, M, 35, 0.25, 0.0, 0
1990-05-21, 74, 45, 0.00, 0.0, 0
1990-05-22, 72, 35, 0.00, 0.0, 0
1990-05-23, 80, 41, 0.00, 0.0, 0
1990-05-24, 78, 49, 0.04, 0.0, 0
1990-05-25, M, M, 0.75, 0.0, 0
1990-05-26, M, M, 0.00, 0.0, 0
1990-05-27, M, M, 0.00, 0.0, 0
1990-05-28, 78, 45, 0.00, 0.0, 0
1990-05-29, 75, 55, 0.00, 0.0, 0
1990-05-30, 75, 51, 0.02, 0.0, 0
1990-05-31, 77, 51, 0.00, 0.0, 0
1990-06-01, M, M, 0.04, 0.0, 0
1990-06-02, M, 37, 0.00, 0.0, 0
1990-06-03, 70, M, 0.00, 0.0, 0
1990-06-04, M, 50, T, 0.0, 0
1990-06-05, M, M, 0.00, 0.0, 0
1990-06-06, 74, 35, 0.00, 0.0, 0
1990-06-07, 72, 50, 0.20, 0.0, 0
1990-06-08, 75, 50, 0.00, 0.0, 0
1990-06-09, 88, M, 0.00, 0.0, 0
1990-06-10, M, M, 0.05, 0.0, 0
1990-06-11, 66, 45, 0.00, 0.0, 0
1990-06-12, 67, 50, 0.00, 0.0, 0
1990-06-13, 61, 45, 0.14, 0.0, 0
1990-06-14, 63, 46, 0.13, 0.0, 0
1990-06-15, 65, 45, 0.00, 0.0, 0
1990-06-16, 79, 38, 0.00, 0.0, 0
1990-06-17, 80, 45, 0.00, 0.0, 0
1990-06-18, 81, 48, 0.00, 0.0, 0
1990-06-19, 77, 54, 0.00, 0.0, 0
1990-06-20, 72, 51, T, 0.0, 0
1990-06-21, 79, 44, 0.00, 0.0, 0
1990-06-22, 88, 42, 0.00, 0.0, 0
1990-06-23, 90, 56, 0.00, 0.0, 0
1990-06-24, 94, 55, 0.00, 0.0, 0
1990-06-25, 92, 55, 0.00, 0.0, 0
1990-06-26, 99, 54, 0.00, 0.0, 0
1990-06-27, 96, 63, T, 0.0, 0
1990-06-28, 84, 54, 0.14, 0.0, 0
1990-06-29, 86, 45, 0.00, 0.0, 0
1990-06-30, 103, 55, T, 0.0, 0
1990-07-01, 101, 55, 0.00, 0.0, 0
1990-07-02, 98, 54, T, 0.0, 0
1990-07-03, 74, 52, 0.40, 0.0, 0
1990-07-04, 75, 42, 0.00, 0.0, 0
1990-07-05, 85, 42, 0.00, 0.0, 0
1990-07-06, 82, 61, 0.30, 0.0, 0
1990-07-07, 78, 50, 0.00, 0.0, 0
1990-07-08, M, M, 0.00, 0.0, 0
1990-07-09, M, M, 0.00, 0.0, 0
1990-07-10, M, M, 0.00, 0.0, 0
1990-07-11, 90, M, 0.00, 0.0, 0
1990-07-12, 96, 52, 0.00, 0.0, 0
1990-07-13, 94, 53, 0.00, 0.0, 0
1990-07-14, 93, 59, 0.00, 0.0, 0
1990-07-15, 86, 47, 0.00, 0.0, 0
1990-07-16, 91, 58, 0.12, 0.0, 0
1990-07-17, 84, 51, 0.00, 0.0, 0
1990-07-18, 81, 48, 0.00, 0.0, 0
1990-07-19, 68, 52, 0.00, 0.0, 0
1990-07-20, 73, 47, T, 0.0, 0
1990-07-21, 75, 42, 0.00, 0.0, 0
1990-07-22, 85, 42, 0.00, 0.0, 0
1990-07-23, 92, 44, 0.00, 0.0, 0
1990-07-24, 90, 62, T, 0.0, 0
1990-07-25, 86, 60, T, 0.0, 0
1990-07-26, 72, 50, 0.53, 0.0, 0
1990-07-27, 76, 50, 0.06, 0.0, 0
1990-07-28, 81, 56, 0.00, 0.0, 0
1990-07-29, 82, 47, 0.00, 0.0, 0
1990-07-30, 91, 48, 0.00, 0.0, 0
1990-07-31, 90, 53, 0.00, 0.0, 0
1990-08-01, 87, 55, 0.00, 0.0, 0
1990-08-02, 85, 51, T, 0.0, 0
1990-08-03, 83, 48, T, 0.0, 0
1990-08-04, 89, 49, 0.00, 0.0, 0
1990-08-05, 97, 47, 0.00, 0.0, 0
1990-08-06, 103, 54, 0.00, 0.0, 0
1990-08-07, 101, 63, 0.00, 0.0, 0
1990-08-08, 94, 53, 0.00, 0.0, 0
1990-08-09, 91, 62, 0.00, 0.0, 0
1990-08-10, 89, 55, 0.00, 0.0, 0
1990-08-11, 88, 58, 0.00, 0.0, 0
1990-08-12, 92, 59, 0.00, 0.0, 0
1990-08-13, 92, 55, 0.00, 0.0, 0
1990-08-14, 98, 54, 0.00, 0.0, 0
1990-08-15, 95, 59, 0.00, 0.0, 0
1990-08-16, 94, 66, 0.00, 0.0, 0
1990-08-17, 91, 60, 0.21, 0.0, 0
1990-08-18, 78, 54, 0.00, 0.0, 0
1990-08-19, 83, 53, 0.00, 0.0, 0
1990-08-20, 83, 55, 0.00, 0.0, 0
1990-08-21, 84, 56, 0.02, 0.0, 0
1990-08-22, 83, 50, 0.00, 0.0, 0
1990-08-23, 83, 48, 0.00, 0.0, 0
1990-08-24, 75, 51, 0.00, 0.0, 0
1990-08-25, M, M, 0.52, 0.0, 0
1990-08-26, 69, 49, 0.00, 0.0, 0
1990-08-27, 78, 45, 0.00, 0.0, 0
1990-08-28, 83, 49, 0.00, 0.0, 0
1990-08-29, 86, 49, 0.00, 0.0, 0
1990-08-30, 82, 52, 0.00, 0.0, 0
1990-08-31, 79, 52, 0.00, 0.0, 0
1990-09-01, M, M, 0.00, 0.0, 0
1990-09-02, 92, M, 0.00, 0.0, 0
1990-09-03, 80, 40, 0.00, 0.0, 0
1990-09-04, 89, 51, 0.00, 0.0, 0
1990-09-05, 92, 50, 0.00, 0.0, 0
1990-09-06, 87, 48, 0.00, 0.0, 0
1990-09-07, 94, 43, 0.00, 0.0, 0
1990-09-08, 87, 49, 0.00, 0.0, 0
1990-09-09, M, M, 0.00, 0.0, 0
1990-09-10, 89, 44, 0.00, 0.0, 0
1990-09-11, 90, 43, 0.00, 0.0, 0
1990-09-12, 92, 46, 0.00, 0.0, 0
1990-09-13, M, M, 0.00, 0.0, 0
1990-09-14, M, 36, 0.00, 0.0, 0
1990-09-15, 84, M, 0.00, 0.0, 0
1990-09-16, M, 44, 0.00, 0.0, 0
1990-09-17, 72, 36, 0.00, 0.0, 0
1990-09-18, 79, 35, 0.00, 0.0, 0
1990-09-19, 75, 39, 0.00, 0.0, 0
1990-09-20, 66, 40, T, 0.0, 0
1990-09-21, 71, 38, 0.00, 0.0, 0
1990-09-22, M, 28, 0.00, 0.0, 0
1990-09-23, 90, M, 0.00, 0.0, 0
1990-09-24, 89, 51, 0.00, 0.0, 0
1990-09-25, 88, 40, 0.00, 0.0, 0
1990-09-26, 84, 46, 0.00, 0.0, 0
1990-09-27, 73, 49, 0.00, 0.0, 0
1990-09-28, 66, 37, 0.00, 0.0, 0
1990-09-29, 83, 37, 0.00, 0.0, 0
1990-09-30, 70, 33, 0.00, 0.0, 0
1990-10-01, 77, 37, 0.00, 0.0, 0
1990-10-02, M, 27, 0.10, 0.0, 0
1990-10-03, 68, M, 0.00, 0.0, 0
1990-10-04, 74, 35, 0.02, 0.0, 0
1990-10-05, 68, 37, 0.00, 0.0, 0
1990-10-06, 40, 23, 0.00, 0.0, 0
1990-10-07, 50, 19, 0.00, 0.0, 0
1990-10-08, 57, 18, 0.00, 0.0, 0
1990-10-09, 69, 39, 0.00, 0.0, 0
1990-10-10, 63, 33, 0.00, 0.0, 0
1990-10-11, M, 20, 0.00, 0.0, 0
1990-10-12, 60, 30, 0.00, 0.0, 0
1990-10-13, 57, 30, 0.00, 0.0, 0
1990-10-14, 52, 22, 0.00, 0.0, 0
1990-10-15, 52, 19, 0.00, 0.0, 0
1990-10-16, 44, M, 0.05, 0.0, 0
1990-10-17, 51, 16, 0.02, T, 0
1990-10-18, 67, 38, 0.00, 0.0, 0
1990-10-19, 47, 33, 0.00, 0.0, 0
1990-10-20, 50, 14, 0.00, 0.0, 0
1990-10-21, 55, 13, 0.00, 0.0, 0
1990-10-22, 56, 28, 0.00, 0.0, 0
1990-10-23, 53, 25, 0.00, 0.0, 0
1990-10-24, 71, 16, 0.00, 0.0, 0
1990-10-25, 81, 34, 0.00, 0.0, 0
1990-10-26, 72, 44, 0.00, 0.0, 0
1990-10-27, M, 18, 0.00, 0.0, 0
1990-10-28, 74, 31, 0.00, 0.0, 0
1990-10-29, 59, 25, 0.00, 0.0, 0
1990-10-30, 68, 25, 0.00, 0.0, 0
1990-10-31, 59, 38, 0.00, 0.0, 0
1990-11-01, 42, 31, 0.07, T, 0
1990-11-02, 33, 20, T, T, T
1990-11-03, 37, 5, 0.00, 0.0, 0
1990-11-04, 46, M, 0.00, 0.0, 0
1990-11-05, M, M, 0.00, 0.0, 0
1990-11-06, 41, -2, 0.00, 0.0, 0
1990-11-07, 50, 19, 0.00, 0.0, 0
1990-11-08, 52, 27, 0.00, 0.0, 0
1990-11-09, 37, 18, T, 0.0, 0
1990-11-10, 55, 29, 0.00, 0.0, 0
1990-11-11, 47, 23, 0.00, 0.0, 0
1990-11-12, 70, 21, 0.00, 0.0, 0
1990-11-13, 71, 40, 0.00, 0.0, 0
1990-11-14, 57, 36, 0.00, 0.0, 0
1990-11-15, 49, 17, 0.00, 0.0, 0
1990-11-16, 54, 25, 0.00, 0.0, 0
1990-11-17, 50, 17, 0.00, 0.0, 0
1990-11-18, 56, 25, 0.00, 0.0, 0
1990-11-19, 53, 9, 0.00, 0.0, 0
1990-11-20, 36, 19, 0.05, 1.0, T
1990-11-21, 55, 13, 0.00, 0.0, 0
1990-11-22, M, M, 0.00, 0.0, 0
1990-11-23, M, M, 0.00, 0.0, 0
1990-11-24, M, M, S, 0.0, 0
1990-11-25, M, 3, 0.45A, 5.0, 5
1990-11-26, 11, -8, 0.09, 1.0, 6
1990-11-27, 7, -16, 0.00, 0.0, 5
1990-11-28, M, -5, 0.00, 0.0, 5
1990-11-29, 47, M, 0.00, 0.0, 4
1990-11-30, 46, 17, T, T, 3
1990-12-01, M, M, 0.00, 0.0, 3
1990-12-02, M, M, 0.00, 0.0, M
1990-12-03, M, M, 0.00, 0.0, M
1990-12-04, M, M, 0.00, 0.0, M
1990-12-05, M, M, 0.00, 0.0, M
1990-12-06, 48, M, T, T, T
1990-12-07, M, 22, 0.00, 0.0, 0
1990-12-08, M, M, 0.00, 0.0, 0
1990-12-09, M, M, 0.00, 0.0, 0
1990-12-10, 35, M, 0.10, 0.0, 0
1990-12-11, 35, 30, 0.05, 0.0, 0
1990-12-12, 30, M, 0.00, 0.0, 0
1990-12-13, 36, 9, 0.00, 0.0, 0
1990-12-14, M, M, 0.00, 0.0, 0
1990-12-15, M, M, 0.00, 0.0, 0
1990-12-16, M, M, 0.00, 0.0, 0
1990-12-17, 38, 4, 0.00, 0.0, 0
1990-12-18, 38, -14, 0.08, 1.0, 1
1990-12-19, -14, M, 0.00, 0.0, 1
1990-12-20, M, M, 0.00, 0.0, T
1990-12-21, M, M, 0.00, 0.0, T
1990-12-22, M, M, T, T, T
1990-12-23, M, M, 0.00, 0.0, T
1990-12-24, M, M, 0.00, 0.0, T
1990-12-25, M, M, 0.00, 0.0, T
1990-12-26, 26, -8, 0.03, 0.5, 1
1990-12-27, M, M, 0.00, 0.0, 1
1990-12-28, M, M, 0.00, 0.0, 1
1990-12-29, M, M, 0.00, 0.0, 1
1990-12-30, 33, M, 0.05, 1.0, 2
1990-12-31, 19, 4, 0.00, 0.0, 2
1991-01-01, M, M, 0.34, 7.5, 8
1991-01-02, M, M, 0.00, 0.0, 8
1991-01-03, -3, M, 0.00, 0.0, 8
1991-01-04, M, M, 0.00, 0.0, 8
1991-01-05, M, M, 0.00, 0.0, 8
1991-01-06, -8, -34, 0.00, 0.0, 8
1991-01-07, -3, -18, 0.28, 4.0, 12
1991-01-08, M, M, 0.00, 0.0, 12
1991-01-09, M, M, 0.00, 0.0, 12
1991-01-10, M, M, 0.00, 0.0, 12
1991-01-11, 7, M, 0.00, 0.0, 12
1991-01-12, 42, -3, 0.00, 0.0, 12
1991-01-13, M, M, 0.00, 0.0, 12
1991-01-14, M, M, 0.00, 0.0, 12
1991-01-15, M, M, 0.00, 0.0, 12
1991-01-16, M, M, 0.00, 0.0, 10
1991-01-17, M, M, 0.00, 0.0, 7
1991-01-18, 47, 13, 0.00, 0.0, 3
1991-01-19, M, M, 0.00, 0.0, 3
1991-01-20, M, M, 0.00, 0.0, 3
1991-01-21, M, M, 0.00, 0.0, 3
1991-01-22, M, M, 0.00, 0.0, 3
1991-01-23, M, M, T, T, 3
1991-01-24, 20, 9, 0.05, 0.5, 3
1991-01-25, M, M, T, T, 3
1991-01-26, M, M, 0.00, 0.0, 3
1991-01-27, M, M, 0.00, 0.0, 3
1991-01-28, M, M, 0.00, 0.0, 3
1991-01-29, M, M, T, T, 3
1991-01-30, M, M, 0.00, 0.0, 3
1991-01-31, 46, M, 0.00, 0.0, 3
1991-02-01, 50, 37, 0.00, 0.0, 2
1991-02-02, M, 40, 0.00, 0.0, 2
1991-02-03, M, M, 0.00, 0.0, 1
1991-02-04, M, M, 0.00, 0.0, 1
1991-02-05, M, M, 0.00, 0.0, T
1991-02-06, M, M, 0.00, 0.0, T
1991-02-07, 62, M, 0.00, 0.0, 0
1991-02-08, 50, 28, 0.00, 0.0, 0
1991-02-09, M, M, 0.00, 0.0, 0
1991-02-10, 42, M, 0.00, 0.0, 0
1991-02-11, 44, 20, 0.00, 0.0, 0
1991-02-12, 52, 26, 0.00, 0.0, 0
1991-02-13, 40, 32, 0.03, T, 0
1991-02-14, 32, 18, 0.00, 0.0, 0
1991-02-15, 37, 16, 0.00, 0.0, 0
1991-02-16, 44, 31, 0.00, 0.0, 0
1991-02-17, M, M, 0.17, 2.0, 1
1991-02-18, 40, 22, 0.00, 0.0, 1
1991-02-19, 56, 24, 0.00, 0.0, T
1991-02-20, 53, M, 0.00, 0.0, 0
1991-02-21, 35, M, 0.00, 0.0, 0
1991-02-22, 40, 23, 0.00, 0.0, 0
1991-02-23, 45, 17, 0.00, 0.0, 0
1991-02-24, M, 13, 0.00, 0.0, 0
1991-02-25, 39, M, 0.00, 0.0, 0
1991-02-26, 47, M, 0.00, 0.0, 0
1991-02-27, M, M, 0.03, 0.5, T
1991-02-28, 21, 5, 0.04, 0.5, T
