Date,MaxTemperature,MinTemperature,Precipitation,Snowfall,SnowDepth
1/1/1990,44,32,0.22,0,0
1/2/1990,43,26,0,0,0
1/3/1990,47,26,0,0,0
1/4/1990,52,27,0.01,0,0
1/5/1990,47,35,0,0,0
1/6/1990,46,35, T,0,0
1/7/1990,42,27,0,0,0
1/8/1990,37,31,0.76,0.5,0
1/9/1990,51,28,0,0, T
1/10/1990,50,37,0.01,0,0
1/11/1990,48,33,0,0,0
1/12/1990,43,30, T, T,0
1/13/1990,37,25,0,0,0
1/14/1990,42,22,0,0,0
1/15/1990,43,32,0.16,0.6, T
1/16/1990,61,28,0,0,0
1/17/1990,59,33,0,0,0
1/18/1990,65,44,0,0,0
1/19/1990,45,32,0,0,0
1/20/1990,39,31,0.28,0.2, T
1/21/1990,48,35,0.02,0,0
1/22/1990,48,30,0,0,0
1/23/1990,49,28,0,0,0
1/24/1990,58,42, T,0,0
1/25/1990,58,45,1.31,0,0
1/26/1990,58,31,0.28,0.2,0
1/27/1990,49,25,0,0,0
1/28/1990,57,30,0,0,0
1/29/1990,52,41,0.51,0,0
1/30/1990,48,40, T,0,0
1/31/1990,56,29,0,0,0
2/1/1990,53,28,0,0,0
2/2/1990,58,43,0.02,0,0
2/3/1990,49,40,0.2,0,0
2/4/1990,44,30,0.15,0,0
2/5/1990,41,23,0,0,0
2/6/1990,57,28,0,0,0
2/7/1990,60,38,0,0,0
2/8/1990,56,33,0,0,0
2/9/1990,64,35, T,0,0
2/10/1990,63,32,0.6,0,0
2/11/1990,47,26,0,0,0
2/12/1990,46,29, T,0,0
2/13/1990,59,27,0,0,0
2/14/1990,67,44,0,0,0
2/15/1990,44,42, T,0,0
2/16/1990,67,43,0.04,0,0
2/17/1990,60,30,0,0,0
2/18/1990,39,22,0,0,0
2/19/1990,60,37,0,0,0
2/20/1990,40,26,0,0,0
2/21/1990,50,21,0,0,0
2/22/1990,64,31,0.14,0,0
2/23/1990,65,45,0.1,0,0
2/24/1990,46,33,0.05,0.4,0
2/25/1990,33,16, T, T, T
2/26/1990,29,10,0,0,0
2/27/1990,36,20,0.05,0.6,0
2/28/1990,43,29,0,0, T
3/1/1990,44,22,0,0,0
3/2/1990,49,27, T,0,0
3/3/1990,60,36,0,0,0
3/4/1990,38,24,0,0,0
3/5/1990,48,26,0,0,0
3/6/1990,40,27, T, T,0
3/7/1990,36,17,0,0,0
3/8/1990,47,19,0,0,0
3/9/1990,54,32,0.05,0,0
3/10/1990,56,41,0.1,0,0
3/11/1990,66,41,0.01,0,0
3/12/1990,85,47,0,0,0
3/13/1990,85,56,0,0,0
3/14/1990,77,52,0,0,0
3/15/1990,80,47,0,0,0
3/16/1990,79,57,0.02,0,0
3/17/1990,76,53,0.88,0,0
3/18/1990,60,44,0.21,0,0
3/19/1990,58,40,0.01,0,0
3/20/1990,47,33,0.23, T,0
3/21/1990,55,33, T, T,0
3/22/1990,63,31,0,0,0
3/23/1990,67,42,0,0,0
3/24/1990,42,30,0.18,1, T
3/25/1990,45,32,0.03,0.3, T
3/26/1990,53,32,0,0,0
3/27/1990,44,26,0,0,0
3/28/1990,53,24,0,0,0
3/29/1990,46,40,0.02,0,0
3/30/1990,43,40,0.22,0,0
3/31/1990,46,38,0.19,0,0
4/1/1990,48,43,0.11,0,0
4/2/1990,54,45,0.4,0,0
4/3/1990,49,42,0.47,0,0
4/4/1990,46,40,0.07,0,0
4/5/1990,62,42, T,0,0
4/6/1990,51,33,0.26,0.4,0
4/7/1990,47,33,0.26,1.2, T
4/8/1990,52,31,0,0,0
4/9/1990,63,32,0,0,0
4/10/1990,69,45,0.04,0,0
4/11/1990,65,36,0.19,0,0
4/12/1990,49,31, T, T,0
4/13/1990,52,28,0,0,0
4/14/1990,59,38,0.09,0,0
4/15/1990,64,48,0.86,0,0
4/16/1990,68,46,0,0,0
4/17/1990,66,40,0.08,0,0
4/18/1990,54,34,0,0,0
4/19/1990,62,33,0,0,0
4/20/1990,67,43, T,0,0
4/21/1990,66,53,0.21,0,0
4/22/1990,70,48,0,0,0
4/23/1990,81,49,0,0,0
4/24/1990,72,51,0,0,0
4/25/1990,74,48,0,0,0
4/26/1990,92,62,0,0,0
4/27/1990,91,64,0,0,0
4/28/1990,89,62,0,0,0
4/29/1990,68,53,0.37,0,0
4/30/1990,67,53,0.01,0,0
5/1/1990,76,56,0,0,0
5/2/1990,68,57,0,0,0
5/3/1990,60,52,0.01,0,0
5/4/1990,57,50,0.25,0,0
5/5/1990,76,49,0.42,0,0
5/6/1990,68,48, T,0,0
5/7/1990,72,48,0,0,0
5/8/1990,81,57,0,0,0
5/9/1990,81,56,0.02,0,0
5/10/1990,68,56,1.51,0,0
5/11/1990,68,50,0,0,0
5/12/1990,60,40, T,0,0
5/13/1990,71,54,0.79,0,0
5/14/1990,77,53,0,0,0
5/15/1990,72,49,0,0,0
5/16/1990,78,61,0.04,0,0
5/17/1990,83,63,0.23,0,0
5/18/1990,72,52,0.01,0,0
5/19/1990,76,50,0,0,0
5/20/1990,75,56,0.01,0,0
5/21/1990,56,51,0.19,0,0
5/22/1990,65,49,0,0,0
5/23/1990,69,45,0,0,0
5/24/1990,73,51,0,0,0
5/25/1990,74,50,0,0,0
5/26/1990,63,55,0.83,0,0
5/27/1990,74,56,0,0,0
5/28/1990,73,53, T,0,0
5/29/1990,62,56,2.72,0,0
5/30/1990,70,53,0,0,0
5/31/1990,73,45,0,0,0
6/1/1990,80,51,0,0,0
6/2/1990,83,64,0,0,0
6/3/1990,83,67,0.34,0,0
6/4/1990,75,55,0,0,0
6/5/1990,71,46,0,0,0
6/6/1990,79,55,0,0,0
6/7/1990,83,65,0.07,0,0
6/8/1990,79,61,0.21,0,0
6/9/1990,88,68,0.21,0,0
6/10/1990,82,66,0,0,0
6/11/1990,74,60, T,0,0
6/12/1990,82,51,0,0,0
6/13/1990,80,55,0,0,0
6/14/1990,75,60,0.6,0,0
6/15/1990,79,57,1.09,0,0
6/16/1990,83,64,0,0,0
6/17/1990,84,64,0,0,0
6/18/1990,85,66,0.18,0,0
6/19/1990,82,65,0.31,0,0
6/20/1990,80,63,0,0,0
6/21/1990,85,64,0.24,0,0
6/22/1990,86,65,0.67,0,0
6/23/1990,84,68, T,0,0
6/24/1990,79,62,0,0,0
6/25/1990,77,59,0,0,0
6/26/1990,85,61,0,0,0
6/27/1990,89,68,0.02,0,0
6/28/1990,90,69,0,0,0
6/29/1990,92,72, T,0,0
6/30/1990,90,72, T,0,0
7/1/1990,87,66,0,0,0
7/2/1990,83,63,0,0,0
7/3/1990,87,63,0,0,0
7/4/1990,94,69,0,0,0
7/5/1990,98,72,2.43, T,0
7/6/1990,88,68, T,0,0
7/7/1990,80,65,0,0,0
7/8/1990,80,67,0,0,0
7/9/1990,95,73,0.23,0,0
7/10/1990,89,73,0.05,0,0
7/11/1990,76,66,0.1,0,0
7/12/1990,81,63,0.73,0,0
7/13/1990,65,60,0.37,0,0
7/14/1990,79,64,0.16,0,0
7/15/1990,87,76,0.09,0,0
7/16/1990,84,69, T,0,0
7/17/1990,86,67,0,0,0
7/18/1990,89,68,0,0,0
7/19/1990,92,73,0,0,0
7/20/1990,91,73, T,0,0
7/21/1990,89,70,0.01,0,0
7/22/1990,88,73,0,0,0
7/23/1990,92,74,0.09,0,0
7/24/1990,87,69, T,0,0
7/25/1990,89,68,0,0,0
7/26/1990,89,69,0,0,0
7/27/1990,85,71,0,0,0
7/28/1990,84,70,0,0,0
7/29/1990,85,72,0.01,0,0
7/30/1990,85,69,0,0,0
