Date,MaxTemperature,MinTemperature,Precipitation,Snowfall,SnowDepth
1/1/1991,36,14,0,0, T
1/2/1991,23,6, T, T, T
1/3/1991,21,2,0,0, T
1/4/1991,28,9,0.21,1.1, T
1/5/1991,33,18,0.02, T,1
1/6/1991,21,11,0,0,1
1/7/1991,23,4,0.01, T,1
1/8/1991,29,23,0.02,0.1,1
1/9/1991,27,17, T,0.1,1
1/10/1991,28,20,0.17,1.1,1
1/11/1991,26,22, T, T,2
1/12/1991,25,15, T, T,2
1/13/1991,39,22,0,0,2
1/14/1991,44,28,0,0,1
1/15/1991,35,30,0.37,2.4,1
1/16/1991,30,24,0.01,0.2,3
1/17/1991,32,29, T,0,3
1/18/1991,38,29,0,0,2
1/19/1991,44,31,0,0,1
1/20/1991,35,10,0.02,0.1, T
1/21/1991,20,5,0,0, T
1/22/1991,42,13,0,0, T
1/23/1991,37,24,0,0, T
1/24/1991,32,19, T, T, T
1/25/1991,24,-1,0.48,6.2,1
1/26/1991,25,-6,0,0,6
1/27/1991,33,10,0,0,5
1/28/1991,46,13,0,0,5
1/29/1991,23,0,0.06,0.8,3
1/30/1991,29,-6,0,0,4
1/31/1991,43,11,0,0,4
2/1/1991,51,31,0,0,2
2/2/1991,57,32,0,0, T
2/3/1991,61,39,0,0,0
2/4/1991,58,37,0.2,0,0
2/5/1991,56,32,0,0,0
2/6/1991,43,26,0,0,0
2/7/1991,51,25,0,0,0
2/8/1991,56,24,0,0,0
2/9/1991,50,34,0,0,0
2/10/1991,51,29,0,0,0
2/11/1991,58,29,0,0,0
2/12/1991,62,23,0,0,0
2/13/1991,53,38, T,0,0
2/14/1991,38,17, T, T,0
2/15/1991,24,9,0,0,0
2/16/1991,51,17,0,0,0
2/17/1991,48,35,0,0,0
2/18/1991,47,34, T,0,0
2/19/1991,44,28,0,0,0
2/20/1991,66,27,0,0,0
2/21/1991,71,38,0,0,0
2/22/1991,49,30,0,0,0
2/23/1991,62,28,0,0,0
2/24/1991,38,22,0,0,0
2/25/1991,33,20, T, T,0
2/26/1991,38,19, T, T,0
2/27/1991,60,17,0,0,0
2/28/1991,63,27,0,0,0
3/1/1991,57,35,0.99,0,0
3/2/1991,35,24,0.01,0,0
